RPKI filtering threshold,373.20000000000005
Full feeder threshold,140479
rpki_invalids,pos,asn
0,0,42
7,168007,209
912,182187,293
824,173769,513
6,171776,553
144,78019,559
6,171886,680
706,171218,701
0,319,714
0,18,766
58,171961,852
499,49181,1031
3,172685,1103
0,0,1126
13,171270,1140
3,171246,1239
0,16,1241
810,171489,1273
720,181213,1280
9,170473,1299
82,180678,1351
3,170581,1403
1379,183234,1798
1595,181761,1828
0,22,1836
0,71,1853
2,22,2018
1251,182509,2027
0,0,2044
0,0,2116
0,141,2119
0,0,2152
10,174775,2497
13,29010,2500
4717,187306,2516
863,181754,2518
0,0,2603
39,181399,2613
0,12,2686
0,16,2854
1,61,2856
0,3,2857
4,166902,2914
0,0,3130
500,172287,3170
570,181514,3214
0,0,3216
1,109,3233
3,171389,3257
1,44,3267
0,118,3292
0,0,3301
0,0,3303
72,151932,3320
0,34,3327
3,180900,3333
3,171399,3399
3,171486,3491
0,0,3549
0,0,3561
0,0,3741
0,0,3856
3,2019,4134
872,179768,4181
0,0,4608
0,14354,4637
6,195,4775
35,174320,4777
6,723,4788
0,0,4805
8,181369,4826
0,2,4844
0,10,4862
0,0,5390
0,1,5392
0,4,5394
1,99,5400
0,0,5403
192,170945,5413
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,9,5524
0,69,5578
0,1,5583
0,28,5603
1210,172400,5645
0,0,5650
1559,181598,6057
0,0,6079
782,167364,6082
580,181664,6233
0,2,6325
0,3,6391
0,0,6423
132,170563,6453
492,172353,6461
1,171842,6667
0,13,6677
558,181985,6720
734,171464,6762
0,338,6774
0,0,6798
2,170961,6830
0,11,6866
209,171952,6894
523,172536,6908
16,178528,6939
3,170492,7018
0,4004,7195
0,0,7500
834,183804,7575
2,54765,7606
162,180629,7660
1055,173550,7713
0,0,7795
1,87,8075
61,171408,8218
397,181253,8220
0,0,8224
0,0,8245
115,181499,8283
0,0,8289
4,181904,8298
0,3,8319
9,421,8359
0,13,8365
0,0,8387
0,44,8400
0,0,8422
4,172096,8426
0,131,8447
5,171557,8455
0,17,8470
0,0,8492
0,983,8529
0,0,8551
0,0,8560
103,178000,8607
0,0,8648
0,0,8660
0,6,8674
1,111,8708
4,181077,8758
0,17,8763
0,332,8781
3,27205,8803
0,0,8816
0,5,8821
0,0,8851
0,0,8859
1022,185029,8888
64,171531,8896
22,556,8966
2,177873,9002
0,11,9009
0,0,9026
0,0,9031
0,0,9063
24,936,9121
0,28,9264
0,0,9266
998,183711,9268
1282,182524,9304
0,0,9318
2,888,9505
0,227,9583
0,6,9658
100,34854,9902
2,136,9930
59,229,10075
0,127,10310
1278,183287,11039
0,385,11164
0,0,11403
0,0,11537
0,0,11686
0,0,11708
0,0,12306
76,181023,12307
0,0,12350
0,9,12355
0,1,12401
0,9,12414
0,0,12470
0,0,12577
0,0,12605
42,180406,12637
0,0,12713
4,171682,12779
83,171611,12859
0,0,12895
0,10,12897
0,1,12902
0,0,12956
861,181414,12969
73,63144,13004
24,171510,13030
0,2,13041
0,0,13101
0,0,13150
0,0,13189
0,0,13237
0,0,13285
1,465,13335
0,0,13727
1470,173214,13760
4,181538,13786
14,180955,13830
0,0,14026
0,0,14041
789,173896,14061
17,89814,14315
0,0,14537
51,181005,14630
718,181128,14840
3,181763,14907
0,21,15133
12,64050,15280
82,180201,15435
70,181326,15547
2,166193,15562
0,0,15600
14,181095,15605
242,181176,15623
3,92955,15692
0,1,15695
0,4,15699
0,0,15703
0,106,15830
0,17,15943
0,1,16004
0,0,16030
0,45,16086
0,0,16265
0,1,16298
0,0,16314
30,96399,16347
4,2438,16509
905,183284,16552
0,10,16637
0,2,16700
885,178063,16735
44,172348,17350
1349,184346,17639
322,181907,18106
1,263,18403
1375,174404,19151
823,181888,19653
72,140639,19754
0,0,19782
735,181371,20080
0,0,20130
45,177106,20205
0,169,20495
0,1,20514
0,0,20562
108,181915,20612
0,0,20704
0,0,20751
24,172889,20764
68,171607,20811
46,180327,20912
109,181208,20932
0,38,20940
0,0,21013
0,0,21099
20,60050,21232
0,16,21263
0,234,21320
0,0,21336
0,0,21360
0,72,21385
278,181903,21412
0,0,21473
0,0,21478
3,180152,21700
82,6319,22388
0,0,22548
485,171236,22652
176,174272,23106
911,181406,23367
2098,187284,23673
1,107,23764
0,0,24115
0,46,24441
1249,182056,24482
649,181862,24516
0,1,24592
0,0,24753
0,13,24875
0,0,24880
0,0,24953
626,172240,24961
0,0,25061
801,172832,25091
0,0,25139
27,183250,25152
