RPKI filtering threshold,261.0
Full feeder threshold,58685
rpki_invalids,pos,asn
0,0,42
671,68619,174
801,72536,209
1,70686,286
770,73027,293
655,54217,513
0,71632,553
0,12,559
817,72231,680
735,71066,701
0,97,714
0,17,766
742,71693,852
17,71652,1103
0,0,1126
751,74243,1140
0,0,1221
0,0,1239
746,71307,1273
767,74084,1280
736,70903,1299
787,74119,1351
1,70481,1403
744,74140,1798
1,95,1836
0,49,1853
826,74870,1916
108,16350,2018
0,0,2044
0,0,2116
0,92,2119
0,0,2152
738,71674,2497
80,19353,2500
754,78247,2516
754,74081,2518
0,0,2603
727,72463,2613
0,9,2686
0,19,2854
0,32,2856
754,74107,2857
0,0,2895
0,0,2905
752,71451,2914
0,0,3130
734,71326,3257
1,280,3267
785,74818,3277
0,121,3292
0,0,3301
0,0,3303
0,25,3327
749,74311,3333
0,0,3402
802,68844,3491
0,0,3549
0,0,3561
744,71854,3741
0,0,3856
750,73938,4181
0,0,4608
118,2480,4637
848,74666,4739
0,18,4775
734,71509,4777
0,0,4780
750,74386,4826
0,4,4844
0,0,5056
0,0,5390
0,5,5392
0,5,5394
429,29669,5396
0,80,5400
0,0,5403
743,71405,5413
0,0,5418
0,0,5430
0,0,5466
0,0,5503
0,0,5511
0,8,5524
0,0,5583
0,0,5588
0,8,5602
743,70615,5645
0,0,5650
744,71274,5769
0,0,6067
0,0,6079
743,74057,6082
730,72605,6233
0,0,6423
736,71121,6453
70,4003,6461
0,0,6539
743,71651,6667
1068,75876,6720
0,102,6730
739,71282,6762
0,55,6774
0,0,6798
831,71422,6830
6,11,6866
752,73973,6881
733,74041,6894
730,73069,6939
5,70334,7018
0,0,7500
821,74347,7575
15,1410,7606
89,24918,7660
888,72798,7713
0,0,7795
6,60,8075
735,71550,8218
1305,74526,8220
0,0,8222
0,0,8224
0,0,8245
3,73522,8283
0,2,8319
0,0,8339
3,590,8359
1,12,8365
0,0,8387
0,0,8422
735,71682,8426
0,96,8447
96,71265,8455
0,12,8470
0,0,8492
21,93,8529
0,0,8551
0,0,8560
728,72490,8607
0,0,8648
0,5,8674
0,31,8708
143,34437,8758
0,13,8763
0,40,8781
0,0,8816
0,3,8821
0,0,8851
748,73990,8896
0,0,8897
0,0,8966
739,71902,9002
0,2,9009
0,0,9026
0,0,9031
0,0,9063
0,25,9264
0,0,9266
0,29,9268
785,74108,9304
0,0,9318
5,159,9505
0,46,9583
0,3,9658
742,71199,9902
0,86,9930
738,71156,10102
0,106,10310
0,1,10848
883,75138,11039
0,0,11403
84,2304,11537
0,0,11686
0,0,11708
0,0,11995
0,0,12306
749,74488,12307
0,0,12350
0,9,12355
0,1,12401
0,7,12414
0,0,12577
0,0,12605
739,72481,12637
0,0,12713
0,71456,12779
743,74055,12859
0,0,12895
0,1,12902
0,0,12956
0,0,12971
1,302,12989
431,29612,13004
737,60188,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,1,13703
0,0,13727
0,221,13760
751,74269,13830
0,0,14026
0,0,14061
0,0,14361
0,0,14537
729,72483,14630
0,0,14633
735,72452,14840
756,74612,14907
0,0,15008
0,3,15133
757,74029,15435
750,74331,15547
1,70234,15562
0,0,15600
778,74855,15605
0,2,15695
0,3,15699
0,0,15703
1,52,15830
0,7,15943
0,1,16004
0,2,16030
0,40,16086
0,0,16265
0,1,16298
0,0,16314
141,38733,16347
0,0,16570
0,6,16637
0,1,16700
843,75396,16735
0,0,17451
887,76023,17639
925,75996,18106
452,34044,19016
857,75405,19151
0,0,19551
866,75051,19653
607,63639,19754
0,0,19782
852,74164,20080
737,74182,20495
0,0,20504
0,1,20514
0,0,20562
743,72511,20612
0,1,20704
0,0,20751
840,74108,20764
735,71518,20811
749,74044,20912
840,74908,20932
0,19,20940
724,71440,20953
0,0,21013
0,0,21099
430,30382,21232
0,9,21263
1,182,21320
0,0,21336
0,0,21360
0,48,21385
0,0,21478
739,71438,22652
0,0,22691
0,0,22822
883,75521,23106
728,72465,23367
0,0,23673
0,0,24115
850,73986,24441
793,74685,24482
753,74515,24516
0,1,24592
0,0,24753
741,71875,24875
0,0,24880
0,0,24953
0,0,25061
749,74210,25091
756,74300,25152
734,71153,25160
0,1,25178
748,74232,25220
0,0,25227
0,127,25933
0,33103,26162
0,2,26415
0,4,26744
0,0,27257
0,0,27446
0,0,27678
734,72796,28186
0,0,28220
0,0,28260
0,81,28283
742,72913,28329
843,75158,28571
0,7,28589
0,0,28634
0,0,28760
0,0,28788
0,0,28792
