RPKI filtering threshold,749.0
Full feeder threshold,154161
rpki_invalids,pos,asn
0,0,42
85,170380,174
10,175232,209
2263,193756,293
1146,183526,513
4,178958,553
107,82351,559
11,179000,680
21,177711,701
0,302,714
0,19,766
748,191768,835
57,179019,852
3396,195546,924
1,191258,955
2,3903,1003
961,170169,1031
1,186280,1103
0,0,1126
1,180734,1140
1,190977,1221
1,178590,1239
0,16,1241
0,0,1257
1149,179041,1273
758,191089,1280
2,177742,1299
124,190858,1351
1,177767,1403
2335,194383,1798
2544,190240,1828
0,100,1836
0,70,1853
2,22,2018
1674,190837,2027
0,0,2044
0,0,2116
0,134,2119
0,0,2152
2,181728,2497
908,192459,2500
4956,197829,2516
0,0,2603
29,191545,2613
0,10,2686
0,16,2854
0,55,2856
0,3,2857
2,174028,2914
11,190573,3130
748,179736,3170
227,192067,3212
1,190669,3214
0,0,3216
0,106,3233
1,178468,3257
0,36,3267
0,122,3292
0,0,3303
172,166188,3320
0,29,3327
1,191350,3333
1,178604,3399
1,178758,3491
0,0,3549
0,0,3561
0,0,3741
0,0,3856
5,2023,4134
1581,190362,4181
0,3,4455
0,0,4608
1,16398,4637
12,221,4775
0,0,4777
6,766,4788
0,0,4805
5,191220,4826
0,2,4844
0,10,4862
0,0,5390
0,1,5392
0,4,5394
0,92,5400
0,0,5403
0,31,5408
823,179007,5413
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,8,5524
0,68,5578
0,2,5583
0,26,5603
3,26,5610
1,178349,5645
2537,190117,6057
0,0,6079
1490,175265,6082
91,191364,6233
0,2,6325
0,2,6391
0,0,6423
188,177836,6453
737,179832,6461
34,178739,6667
0,14,6677
798,192433,6720
1092,179192,6762
0,333,6774
0,0,6798
2,178117,6830
0,30,6866
0,0,6881
265,179321,6894
761,180114,6908
6,188654,6939
2,177696,7018
0,5606,7195
0,0,7500
1004,193883,7575
0,58375,7606
135,184944,7660
3014,183191,7713
0,36,7720
4,3716,7721
0,0,7795
1,97,8075
8,178668,8218
373,182948,8220
0,0,8224
0,0,8245
42,191406,8283
0,0,8289
14,191857,8298
0,3,8319
9,402,8359
0,13,8365
0,0,8387
1,44,8400
0,0,8422
2,179061,8426
0,141,8447
3,178865,8455
0,17,8470
0,0,8492
2,751,8529
0,0,8551
0,0,8560
230,188362,8607
0,0,8648
0,0,8660
0,6,8674
0,109,8708
1,186006,8758
0,16,8763
80,1946,8781
3,28589,8803
0,0,8816
0,5,8821
0,6,8851
0,0,8859
44,192744,8888
127,178758,8896
33,527,8966
1,184656,9002
0,7,9009
0,0,9026
0,0,9031
0,0,9063
25,1043,9121
0,28,9264
0,0,9266
1121,193590,9268
2973,193681,9304
0,0,9318
0,942,9505
18,334,9583
0,5,9658
103,29428,9902
1,132,9930
45,184,10075
0,123,10310
2233,194459,11039
0,405,11164
2525,194368,11399
0,0,11403
1,7707,11537
0,0,11686
0,0,11708
0,0,12306
1,191160,12307
0,0,12350
0,9,12355
0,1,12401
0,9,12414
0,0,12470
0,0,12577
0,0,12605
87,190701,12637
0,0,12713
2,178950,12779
1,180922,12859
0,0,12895
0,10,12897
0,1,12902
0,0,12956
1213,192030,12969
30,64867,13004
32,178654,13030
0,2,13041
1,190475,13058
0,0,13101
0,0,13150
0,0,13189
0,0,13237
0,0,13285
1,494,13335
0,0,13727
1452,180983,13760
2,180515,13786
1,191181,13830
0,0,14026
0,0,14041
1001,180920,14061
13,100072,14315
0,0,14537
53,191226,14630
1082,183136,14840
1,191781,14907
0,25,15133
0,63019,15280
765,191157,15435
781,192614,15547
2,173383,15562
0,0,15600
1,191241,15605
235,191406,15623
2,99032,15692
0,2,15695
0,4,15699
0,0,15703
78,222,15802
0,109,15830
0,14,15943
0,3,15962
0,1,16004
390,397,16010
0,0,16030
0,40,16086
0,0,16265
0,1,16298
0,0,16314
12,103763,16347
4,2882,16509
1381,195526,16552
0,6,16637
0,4,16700
1261,188426,16735
56,179460,17350
6,1369,17557
3029,194862,17639
5,192408,18106
2339,182349,19151
94,190713,19529
1510,192689,19653
114,149856,19754
0,0,19782
1091,191938,20080
0,0,20130
91,184794,20205
2,779,20473
0,197,20495
0,1,20514
0,0,20562
145,192030,20612
0,0,20704
0,0,20751
11,180198,20764
51,178740,20811
141,190600,20912
167,191512,20932
0,123,20940
0,0,21013
0,0,21099
6,63768,21232
0,15,21263
2,8,21277
2888,192957,21282
0,234,21320
0,0,21336
0,0,21360
0,51,21385
380,191968,21412
0,0,21473
0,0,21478
