RPKI filtering threshold,150.20000000000002
Full feeder threshold,53775
rpki_invalids,pos,asn
0,0,42
438,63080,174
501,67485,209
428,65355,286
474,66551,293
394,51403,513
524,66718,553
0,12,559
508,66194,680
440,65080,701
0,86,714
0,17,766
452,65569,852
517,66384,1103
0,0,1126
0,0,1221
0,0,1239
477,65258,1273
516,67707,1280
435,64967,1299
495,67738,1351
443,65158,1403
441,67653,1798
453,65635,1836
0,49,1853
509,68367,1916
72,16130,2018
0,0,2044
0,0,2116
0,0,2152
440,65480,2497
27,18207,2500
444,71700,2516
452,67613,2518
0,0,2603
425,66043,2613
0,9,2686
0,14,2854
0,27,2856
457,67518,2857
0,0,2895
0,0,2905
464,65273,2914
0,0,3130
437,65171,3257
2,225,3267
483,68087,3277
0,118,3292
0,0,3301
0,0,3303
0,23,3327
490,67776,3333
0,0,3402
511,63707,3491
0,0,3549
0,0,3561
457,65911,3741
0,0,3856
459,67579,4181
0,0,4608
93,2674,4637
546,68232,4739
0,15,4775
441,65434,4777
0,0,4780
448,67935,4826
0,1,4844
0,0,5056
0,0,5390
0,2,5392
291,29784,5396
0,63,5400
0,0,5403
443,65375,5413
0,0,5430
0,0,5466
0,0,5503
0,0,5511
0,8,5524
0,0,5583
0,0,5588
0,8,5602
159,36453,5645
0,0,5650
453,65214,5769
0,0,6067
0,0,6079
441,67636,6082
0,0,6083
427,66116,6233
0,0,6423
440,65048,6453
49,3856,6461
0,0,6539
458,65522,6667
751,69320,6720
0,97,6730
438,65292,6762
0,54,6774
513,64495,6830
6,11,6866
449,67468,6881
438,67564,6894
426,66219,6939
0,2,6968
9,64755,7018
0,0,7500
489,67901,7575
7,1222,7606
31,23006,7660
610,66737,7713
0,0,7795
6,59,8075
437,65450,8218
1030,68329,8220
0,0,8222
0,0,8224
0,0,8245
440,67757,8283
0,2,8319
0,2,8330
0,0,8331
0,0,8339
0,325,8359
0,11,8365
0,0,8387
0,0,8422
441,65542,8426
0,93,8447
65,65518,8455
0,11,8470
0,0,8492
20,102,8529
0,0,8551
0,0,8560
425,66062,8607
0,0,8648
0,6,8674
0,28,8708
30,27364,8758
0,13,8763
0,23,8781
0,0,8816
0,0,8851
446,67557,8896
0,0,8897
0,0,8966
446,65907,9002
0,0,9026
0,0,9031
0,0,9063
0,0,9150
0,27,9264
0,0,9266
0,25,9268
476,67468,9304
0,0,9318
5,146,9505
0,45,9583
0,3,9658
443,65165,9902
0,87,9930
273,27794,10026
441,65052,10102
0,94,10310
0,4,10474
0,1,10848
560,68708,11039
0,0,11403
63,1990,11537
0,0,11686
0,0,11708
0,0,11995
0,0,12306
454,67782,12307
0,0,12350
0,9,12355
0,1,12401
0,8,12414
0,0,12577
0,0,12605
452,65934,12637
0,0,12713
446,65917,12779
448,67572,12859
0,0,12895
0,1,12902
0,0,12956
0,0,12971
1,358,12989
301,31396,13004
498,53512,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,1,13703
0,0,13727
0,226,13760
0,0,14026
0,0,14061
0,0,14361
0,0,14537
0,0,14633
418,64857,14840
465,67969,14907
0,0,15008
0,2,15133
454,67696,15435
450,67741,15547
3,64510,15562
0,0,15600
472,68090,15605
0,2,15695
0,3,15699
0,0,15703
0,50,15830
0,1,16004
0,2,16030
0,38,16086
0,0,16265
0,1,16298
0,0,16314
98,35654,16347
0,0,16570
0,6,16637
0,1,16700
573,69105,16735
0,0,17451
468,66417,17639
600,69621,18106
304,34533,19016
546,69060,19151
0,0,19551
527,68632,19653
442,63642,19754
0,0,19782
535,67703,20080
453,67707,20495
0,0,20504
0,1,20514
0,0,20562
460,66379,20612
0,1,20704
0,0,20751
540,67821,20764
449,65449,20811
446,67555,20912
528,68344,20932
0,16,20940
0,0,20953
0,0,21013
0,0,21099
292,30313,21232
0,8,21263
0,180,21320
0,0,21336
0,0,21360
0,82,21385
0,0,21478
445,65387,22652
0,0,22691
0,0,22822
497,66757,23106
426,66046,23367
0,0,23673
0,0,24115
527,67787,24441
484,67978,24482
453,67900,24516
0,1,24592
0,0,24753
525,66609,24875
0,0,24880
0,0,24953
0,0,25061
455,67635,25091
458,67769,25152
437,65217,25160
0,1,25178
445,67677,25220
0,0,25227
0,105,25933
290,31841,26162
0,2,26415
0,4,26744
0,0,27257
0,0,27446
0,0,27678
439,67920,28186
0,0,28220
0,0,28260
0,73,28283
486,67213,28329
529,68637,28571
0,7,28589
0,0,28634
0,0,28760
0,0,28788
450,67427,28917
0,1,28929
438,67537,29140
