RPKI filtering threshold,866.2
Full feeder threshold,696823
rpki_invalids,pos,asn
0,123,42
57,880583,209
1650,913833,293
2747,890299,513
40,883178,553
315,375914,559
68,882585,680
2237,881262,701
0,1056,714
0,121,766
71,882539,852
29,886953,1103
0,5,1126
21,530352,1140
39,882905,1221
34,881268,1239
0,0,1273
2847,914019,1280
54,881206,1299
1671,913624,1351
28,882064,1403
2986,886334,1798
1573,903204,1828
0,192,1836
0,280,1853
0,450,2018
41,198512,2027
0,30,2044
0,503,2116
1718,883955,2152
2326,898557,2497
0,684,2500
11,5466,2516
2504,884908,2518
0,1800,2603
2688,890864,2613
0,563,2686
4,880,2856
0,0,2857
31,882563,2914
70,882500,3130
965,883691,3170
516,893603,3214
2761,888808,3216
299,187872,3233
42,882304,3257
1231,885387,3267
3155,919578,3280
28,881912,3292
0,878,3301
51,908771,3303
2534,886509,3320
0,267,3327
29,889148,3333
28,881839,3399
29,884037,3491
76,879978,3549
58,879817,3561
1216,886427,3741
0,1,3856
76,13389,4134
34,866471,4181
2928,922224,4608
6,77635,4637
17,1432,4775
2584,900932,4777
43,4156,4788
0,11,4844
0,7,5390
75,881703,5392
2376,884550,5396
1,1780,5400
0,24,5403
1501,883114,5413
0,1,5418
0,60,5430
0,0,5459
0,65,5466
0,19,5503
2,146364,5511
0,20,5524
0,32,5583
2386,884476,5602
1,266,5603
2789,740844,5645
71,881408,5650
2954,898676,6057
46,881994,6079
115,882941,6082
714,893988,6233
0,168,6325
0,41,6391
181,881535,6423
560,881181,6453
794,127477,6461
484,882820,6667
2612,914932,6720
2419,883772,6762
2,2896,6774
0,5,6798
34,882172,6830
0,190,6866
2538,898419,6894
1414,885211,6908
32,911987,6939
60,880748,7018
0,8504,7195
2479,885034,7489
2636,914476,7500
2924,895199,7575
3,107526,7606
518,719102,7660
2127,891706,7713
0,405,7795
0,332,8075
3012,893948,8218
299,885712,8220
0,4,8224
0,41,8245
332,887530,8283
134,896865,8298
0,13,8319
21,7128,8359
1,72,8365
0,12,8387
0,1152,8400
0,97,8422
58,883909,8426
1,1127,8447
31,884080,8455
3058,901741,8492
2,2312,8529
0,2662,8551
0,294,8560
363,654347,8607
0,7,8648
1786,885213,8660
0,50,8674
1,1080,8708
30,913677,8758
0,0,8763
0,728,8781
55,914585,8803
0,10,8816
0,40,8851
501,891349,8888
598,883020,8896
14,4944,8966
31,882944,9002
0,14,9009
0,3,9026
0,51,9031
0,130,9063
0,0,9264
2958,891037,9268
1472,889648,9304
0,6635,9318
13,2478,9505
25,3303,9583
2,487,9658
851,194876,9902
4,1147,9930
0,352,10310
2875,887127,11039
3,5460,11164
0,33,11403
20,21842,11537
2909,907357,11686
139,886248,11708
2682,916488,12307
381,883528,12350
0,8,12355
0,0,12401
0,21,12414
0,2,12470
0,14,12577
0,14,12605
100,881054,12637
1,957,12713
28,882929,12779
374,883530,12859
0,2,12895
0,3,12902
195,45297,12956
434,167105,13004
2652,886859,13030
0,10,13041
0,249,13101
0,51,13189
1667,885501,13237
0,173,13285
1,2770,13335
0,15,13727
2337,885976,13760
36,899854,13786
43,881671,13830
0,2,14026
28,881615,14041
1751,891780,14061
193,321676,14315
1357,884770,14537
2654,899932,14630
2367,894739,14840
30,901278,14907
0,44,15133
7,184679,15280
1606,883686,15435
786,913119,15547
9,880734,15562
0,123,15600
29,912394,15605
697,912570,15623
27,588668,15692
0,9,15695
0,26,15699
0,27,15703
3,651,15830
0,0,16004
0,122,16030
0,280,16086
3,569,16265
0,2,16298
0,1,16314
379,883139,16347
3,2412,16509
1439,892202,16552
0,295,16637
0,17,16700
