RPKI filtering threshold,177.4
Full feeder threshold,76959
rpki_invalids,pos,asn
0,0,42
17,91404,174
455,92013,209
0,94227,286
395,97911,293
463,98105,513
0,94740,553
0,13,559
4,95035,680
361,94185,701
0,163,714
0,18,766
362,95200,852
0,95702,1103
0,0,1126
1,95643,1140
0,0,1221
0,0,1239
393,94676,1273
402,97599,1280
0,94333,1299
158,97307,1351
0,94167,1403
599,98579,1798
0,97,1836
0,60,1853
0,13,2018
0,0,2044
0,0,2116
0,96,2119
0,0,2152
441,95262,2497
2,21313,2500
376,102035,2516
367,97681,2518
0,0,2603
528,98008,2613
0,9,2686
0,21,2854
0,40,2856
438,97590,2857
0,0,2895
0,0,2905
76,94780,2914
0,0,3130
41,95575,3214
0,63,3233
142,94314,3257
0,444,3267
391,98478,3277
555,98682,3280
0,99,3292
0,0,3301
0,0,3303
0,25,3327
336,98220,3333
0,0,3402
252,94745,3491
0,0,3549
0,0,3561
363,95360,3741
0,0,3856
0,1391,4134
236,97150,4181
0,0,4608
115,5886,4637
264,98287,4739
2,29,4775
434,94927,4777
0,0,4780
457,98152,4826
0,2,4844
0,0,5056
0,0,5390
0,1,5392
0,5,5394
0,36878,5396
0,74,5400
0,0,5403
359,94743,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,9,5524
0,0,5583
0,0,5588
0,7,5602
140,93822,5645
0,0,5650
184,94353,5769
128,46060,6057
0,0,6067
0,0,6079
79,97104,6082
96,96347,6233
0,4,6391
0,0,6423
57,94123,6453
78,7437,6461
0,0,6539
498,94992,6667
574,98765,6720
0,150,6730
370,94758,6762
0,63,6774
0,0,6798
461,94670,6830
96,101,6866
463,97917,6881
370,97568,6894
274,95161,6908
0,95767,6939
1,94109,7018
0,894,7195
568,97761,7489
0,0,7500
499,98450,7575
0,36007,7606
68,30010,7660
532,95275,7713
0,0,7795
0,62,8075
373,95000,8218
789,97906,8220
0,0,8224
0,0,8245
19,97624,8283
0,2,8319
0,0,8339
0,625,8359
0,11,8365
0,0,8387
0,0,8422
13,94597,8426
0,158,8447
40,94881,8455
0,12,8470
0,0,8492
6,152,8529
0,0,8551
0,0,8560
40,95607,8607
0,0,8648
0,0,8660
0,5,8674
0,58,8708
31,55624,8758
0,13,8763
0,163,8781
0,0,8816
0,3,8821
0,0,8851
0,0,8859
383,97538,8896
0,0,8897
0,73,8966
432,95268,9002
0,2,9009
0,0,9026
0,0,9031
0,0,9063
0,31,9264
0,0,9266
0,30,9268
498,98411,9304
3,423,9505
0,3,9583
0,3,9658
38,14644,9902
2,84,9930
66,94143,10102
0,133,10310
0,1,10848
598,98612,11039
36,2297,11537
0,0,11686
0,0,11708
0,0,12306
0,97929,12307
0,0,12350
0,9,12355
0,1,12401
0,8,12414
0,0,12577
0,0,12605
288,94821,12637
0,0,12713
0,94685,12779
114,94694,12859
0,0,12895
0,1,12902
0,0,12956
0,0,12971
29,37769,13004
285,47585,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,0,13727
0,446,13760
406,98434,13786
358,97778,13830
0,0,14026
600,98849,14061
0,0,14361
0,0,14537
352,97643,14630
483,97228,14840
0,98468,14907
0,0,15008
0,18,15133
144,97186,15435
388,97671,15547
0,94062,15562
0,0,15600
391,97661,15605
514,95235,15623
76,51871,15692
0,2,15695
0,2,15699
0,0,15703
0,83,15830
0,10,15943
0,1,16004
0,0,16030
0,38,16086
0,0,16265
0,1,16298
0,0,16314
153,49882,16347
457,98468,16552
0,0,16570
0,6,16637
0,1,16700
387,96648,16735
0,48,16814
0,3,17639
14,97745,18106
0,438,18403
183,72467,19016
526,96191,19151
0,66,19551
518,98343,19653
111,85042,19754
0,0,19782
466,97703,20080
355,97140,20205
0,18,20495
0,1,20514
0,0,20562
132,95620,20612
0,0,20704
0,0,20751
448,97130,20764
358,94898,20811
140,97141,20912
363,97516,20932
0,22,20940
26,94330,20953
0,0,21013
0,0,21099
490,98374,21232
0,10,21263
0,222,21320
0,0,21336
0,0,21360
0,60,21385
443,98015,21412
0,0,21473
0,0,21478
0,0,22548
356,94745,22652
0,0,22691
0,0,22822
386,97663,23106
520,98248,23367
0,0,23673
0,0,24115
0,7,24322
279,96360,24441
365,98704,24482
179,97990,24516
0,1,24592
0,0,24753
287,94705,24875
0,0,24880
0,0,24931
0,0,24953
420,94982,24961
0,0,25061
388,97762,25091
434,97614,25152
0,0,25160
0,1,25178
365,97668,25220
0,0,25885
0,16,25933
0,95570,26073
