RPKI filtering threshold,1422.8000000000002
Full feeder threshold,596769
rpki_invalids,pos,asn
0,194,42
4567,742628,174
4648,747426,209
3889,749447,286
4911,773459,293
2497,477934,513
4664,759760,553
0,117,559
4659,751705,680
4641,746285,701
0,751,714
0,119,766
4634,748165,852
4856,754738,1103
0,4,1126
4647,748185,1221
4626,745702,1239
0,0,1273
4881,774756,1280
4584,741107,1299
4909,773362,1351
4642,757025,1403
4824,759096,1798
4709,751611,1836
0,252,1853
4683,763269,1916
53,27727,2018
0,28,2044
0,451,2116
4632,748265,2152
4692,754338,2497
2,698,2500
100,6016,2516
4807,748490,2518
2,1792,2603
4735,756748,2613
0,483,2686
0,232,2854
0,696,2856
0,0,2857
4857,757589,2895
125,15913,2905
4644,747696,2914
368,741512,3130
4626,746545,3257
4859,756052,3267
4854,764814,3277
4627,747884,3292
0,781,3301
5072,758683,3303
0,256,3327
4828,755582,3333
4638,747311,3402
4827,756580,3491
4656,746814,3549
4658,747230,3561
4809,750741,3741
0,1,3856
4634,747314,4181
4920,777397,4608
944,56120,4637
4937,772584,4739
27,217,4775
4727,756202,4777
22,1399,4780
4886,772478,4826
0,7,4844
1,246,5056
0,7,5390
4648,747337,5392
4652,748022,5396
1,1390,5400
0,21,5403
4675,750663,5413
0,1,5418
0,20,5430
0,77,5466
0,19,5503
433,71266,5511
0,17,5524
0,42,5583
31,1923,5588
4651,747799,5602
4635,741672,5645
4617,747499,5650
4630,747832,5769
0,15,6067
4618,748006,6079
4639,748634,6082
0,11,6083
4738,759675,6233
4660,758159,6423
4624,746210,6453
493,62547,6461
309,186466,6539
4859,751378,6667
4694,761143,6720
10,545,6730
4681,748225,6762
3,1643,6774
4631,749247,6830
0,140,6866
4919,774414,6881
4613,753950,6894
4890,772160,6939
0,3,6968
189,742457,7018
4878,747623,7500
4910,762585,7575
13,12083,7606
317,638055,7660
4993,763979,7713
0,358,7795
0,217,8075
4642,758220,8218
5171,751936,8220
4648,750919,8222
0,4,8224
0,90,8245
161,748223,8283
0,14,8319
0,115,8331
0,31,8339
7,6840,8359
0,54,8365
0,21,8387
0,108,8422
4670,752377,8426
3,952,8447
7,746486,8455
0,55,8470
4853,766323,8492
3,1422,8529
0,1434,8551
0,310,8560
4650,747955,8607
0,7,8648
0,47,8674
0,908,8708
4857,764937,8758
0,0,8763
0,1073,8781
0,11,8816
0,30,8851
4739,748753,8896
1,59,8897
13,3513,8966
4646,752420,9002
0,5,9026
0,64,9031
2,118,9063
0,0,9264
3,2818,9266
0,193,9268
4845,750147,9304
0,36,9318
30,4768,9505
8,1760,9583
0,406,9658
1712,115183,9902
0,364,9930
4658,750461,10026
0,0,10102
0,197,10310
0,102,10474
0,4,10848
4913,776894,11039
0,73,11403
30,19447,11537
4860,773513,11686
4909,780481,11708
0,2,11995
0,74,12306
4721,764950,12307
4672,749463,12350
0,15,12355
0,0,12401
0,22,12414
0,7,12577
0,29,12605
4645,747141,12637
9,3888,12713
4715,751211,12779
4627,751554,12859
0,2,12895
0,2,12902
168,36390,12956
0,7,12971
2,1274,12989
510,90981,13004
4181,722173,13030
0,10,13041
0,250,13101
0,68,13189
4748,752354,13237
0,137,13285
0,61,13703
0,9,13727
1,1848,13760
0,2,14026
5178,753556,14061
4677,748296,14361
4726,749320,14537
0,2,14633
4646,758397,14840
4832,762877,14907
532,127397,15008
0,33,15133
4639,750478,15435
4887,764607,15547
921,742769,15562
0,129,15600
5087,760218,15605
0,17,15695
0,32,15699
0,36,15703
1,305,15830
0,0,16004
0,103,16030
0,288,16086
4,265,16265
0,2,16298
0,1,16314
4846,760055,16347
0,11,16570
0,327,16637
0,12,16700
4696,751228,16735
0,537,17451
4893,773238,17639
5030,776040,18106
3374,558134,19016
4836,751581,19151
0,407,19551
4823,757797,19653
4806,748437,19754
37,20592,19782
4632,747950,20080
1,96,20495
0,2,20504
4763,751602,20514
1579,222260,20562
4886,766387,20612
0,13,20704
0,27,20751
4834,761240,20764
4671,748616,20811
4737,752320,20912
4648,751297,20932
0,157,20940
0,1,20953
0,117,21013
0,2,21099
4855,765087,21232
0,27,21263
2,1461,21320
0,2,21336
0,3,21360
0,501,21385
0,1,21478
4635,750043,22652
0,73,22691
1,218,22822
4829,768968,23106
533,123686,23367
5031,785704,23673
1731,89942,24115
4236,693928,24441
4962,759178,24482
4900,755558,24516
0,6,24592
0,78,24753
4749,754181,24875
0,1,24880
0,84,24953
1,19,25061
4756,752624,25091
4927,776136,25152
4739,750403,25160
0,0,25178
4678,759968,25220
4829,764474,25227
4652,757071,25933
0,106843,26162
0,2,26415
0,207,26744
0,125,27257
4904,771433,27446
4784,764389,27678
4644,763396,28186
4733,769148,28220
4647,758232,28260
0,912,28283
4637,756883,28329
4649,764150,28571
0,17,28589
4487,751941,28634
0,5,28760
0,5,28788
4917,762156,28917
641,131411,28929
4666,751502,29140
5090,759990,29222
0,2,29449
4745,754643,29479
4655,760183,29504
0,10,29527
0,31,29550
1237,328864,29608
4851,762273,29680
4660,750334,29686
4650,751531,29691
1,132,29838
4896,774820,30132
0,50,30733
5000,781019,30844
0,6,30892
0,748204,31019
13,427,31027
0,407,31042
0,0,31122
7,10323,31133
0,2,31383
3461,698478,31424
0,4,31449
55,3332,31500
0,71,31727
4721,747877,31742
0,3,31800
4157,711858,32097
4,3415,32098
0,26,32212
4813,747824,32354
391,104404,32653
4905,772386,32709
1,1885,32787
0,57,32869
0,50,32934
1,736,33132
0,5,33764
0,5,33845
1,4727,33891
1820,379095,34019
4722,750208,34177
4757,751064,34224
0,20,34245
4862,767643,34288
0,10,34305
0,25,34347
0,755149,34549
0,9,34790
5079,758158,35054
0,132,35228
4719,747958,35266
1,2424,35320
0,12,35332
4650,759207,35369
4641,749079,35699
5886,795692,36236
4863,766059,36351
0,34,36968
0,83,37053
375,746572,37100
40,21167,37105
4984,785506,37239
1214,745641,37271
0,22,37314
4809,771335,37468
0,747764,37474
4772,758766,37497
0,35,37515
0,4,37542
2068,215275,37640
0,23,37650
4,1437,37662
385,90632,37680
542,133264,37697
339,63577,37704
4854,758165,37989
4908,766586,38001
3,214,38182
4972,782840,38726
4878,763774,38880
4908,773206,38883
4649,758161,39122
0,1,39202
4966,750605,39351
0,32,39591
0,21,39651
4829,763049,39821
0,81,39912
4635,747717,40191
4910,773362,40387
7114,759524,41095
4645,747993,41497
0,0,41617
3207,544034,41695
4851,765821,41722
4718,747997,41811
4720,752259,42275
4933,782052,42473
4654,747781,42541
1,597,42708
143,42253,43100
4638,746838,43578
0,0,44030
4616,759772,44794
4651,751026,45177
5001,765441,45352
0,6,45494
0,18,45634
4631,747379,46450
0,747089,47147
4638,759838,47422
4575,755450,47441
4646,760146,47692
0,742700,47950
176,5878,48147
4864,764014,48526
4648,760404,48821
0,5,49375
4587,755841,49432
4636,760757,49463
4647,749395,49515
0,214,49544
4731,755365,49605
4860,768770,49673
927,143999,49709
4881,749818,49788
1,70,49835
4731,749382,50300
4706,747678,50304
1,3153,50384
1571,470283,50763
4769,748401,50877
529,743603,51088
4886,759400,51185
4737,750346,51405
4922,776878,51873
4859,761463,52320
521,161082,52720
4739,767973,52863
0,80,52871
4641,757659,52873
4634,754358,52888
0,56,52940
4771,756384,53013
0,5421,53067
4632,755913,53070
0,555,53237
4627,746533,53364
4642,747267,53767
4806,748198,53828
1,15,54054
4889,771668,54728
4836,754307,56730
0,2,57111
4726,751168,57264
4709,748237,57381
2746,349988,57463
5072,795460,57695
4634,748991,57821
4636,748192,57866
4683,751854,58057
4648,752911,58299
4732,750679,58308
0,10,58436
4873,756241,58511
5,300,58601
194,21306,58682
0,37,58952
191,19218,59318
4643,751391,59414
4646,747045,59469
4829,758372,59605
4630,747430,59715
1657,250230,59891
0,1374,60082
5,127,60169
0,161,60171
0,7,60427
0,19,60458
4840,751547,60501
4638,759838,61218
0,106798,61595
4626,747045,61832
0,9,62166
0,16,62805
347,65996,63055
0,80,63516
4981,766212,63927
0,20,63949
4989,769240,63956
4744,746502,64050
4,11,64096
4567,743622,64463
0,3,134363
50,6741,134708
3,88,136168
0,1,137922
921,760970,196621
94,743707,196753
0,2,197301
508,70958,198249
4714,750136,198290
4890,766308,198385
1318,321135,199283
0,9,199324
0,10,201950
622,138272,202032
4923,780232,202194
4748,764458,202365
0,188,202409
0,51,203201
4632,748028,204028
0,1,204708
4677,748084,205206
4740,765587,205523
366,72713,205593
8,755713,206356
507,756950,206479
523,755580,206499
4738,748103,207044
381,111541,262317
0,8,262427
519,157184,262612
4655,756573,262757
519,157845,263075
0,810,263152
1,107586,263508
4835,771143,263584
1,6298,263651
1,4621,263674
4619,756707,264268
0,103328,264409
519,157859,264911
0,4,267129
4834,770899,267613
0,5,327781
0,2,327872
4652,784461,327960
542,134649,327983
0,9,327984
0,1,327991
4729,750169,328145
0,0,328206
0,2,328220
1038,747681,328320
1662,748348,328474
4890,771043,393950
4903,779994,395152
4885,771097,395570
4642,747987,395766
4891,771261,396503
1416,175410,397143
