RPKI filtering threshold,285.6
Full feeder threshold,65109
rpki_invalids,pos,asn
0,0,42
539,76772,174
906,77693,209
0,78961,286
908,82379,293
578,61142,513
0,79740,553
0,12,559
861,80690,680
840,79412,701
0,114,714
0,17,766
842,80150,852
4,80095,1103
0,0,1126
967,82591,1140
0,0,1221
0,0,1239
829,79818,1273
892,82364,1280
0,78501,1299
910,82405,1351
0,78857,1403
0,0,1798
0,98,1836
0,60,1853
959,83429,1916
0,11,2018
0,0,2044
0,0,2116
0,96,2119
0,0,2152
843,80412,2497
20,20297,2500
910,86813,2516
905,82375,2518
0,0,2603
910,82388,2613
0,8,2686
0,18,2854
0,28,2856
915,82361,2857
0,0,2895
0,0,2905
14,79159,2914
0,0,3130
1,52,3233
839,79708,3257
1,309,3267
891,80603,3277
1010,83154,3280
0,129,3292
0,0,3301
0,0,3303
0,26,3327
906,82653,3333
0,0,3402
510,80360,3491
0,0,3549
0,0,3561
838,80253,3741
0,0,3856
899,82210,4181
0,0,4608
165,5345,4637
934,82637,4739
3,26,4775
841,80126,4777
0,0,4780
917,82768,4826
0,2,4844
0,0,5056
0,0,5390
0,1,5392
0,5,5394
457,34042,5396
0,80,5400
0,0,5403
837,79805,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,9,5524
0,0,5583
0,0,5588
0,7,5602
835,79017,5645
0,0,5650
839,79759,5769
0,0,6067
0,0,6079
890,82192,6082
891,80732,6233
0,5,6391
0,0,6423
432,79173,6453
126,5582,6461
0,0,6539
848,80092,6667
1114,83713,6720
0,142,6730
850,79905,6762
0,54,6774
0,0,6798
843,79803,6830
87,92,6866
906,82261,6881
839,82264,6894
918,80560,6908
892,80988,6939
6,78704,7018
894,82563,7195
843,80049,7489
0,0,7500
963,83079,7575
24,1311,7606
80,27037,7660
915,80635,7713
0,0,7795
6,62,8075
843,80084,8218
1422,82796,8220
0,0,8222
0,0,8224
0,0,8245
0,81685,8283
0,2,8319
0,0,8339
1,710,8359
0,11,8365
0,0,8387
0,0,8422
839,80001,8426
0,91,8447
22,79671,8455
0,13,8470
0,0,8492
0,210,8529
0,0,8551
0,0,8560
895,80656,8607
0,0,8648
0,0,8660
0,5,8674
1,43,8708
47,39755,8758
0,14,8763
0,119,8781
0,0,8816
0,3,8821
0,0,8851
0,0,8859
903,82297,8896
0,0,8897
41,184,8966
853,80798,9002
0,2,9009
0,0,9026
0,0,9031
0,0,9063
0,24,9264
0,0,9266
0,37,9268
905,82217,9304
0,0,9318
7,410,9505
0,77,9583
0,3,9658
487,22833,9902
2,79,9930
438,79227,10102
0,114,10310
0,1,10848
949,83379,11039
16,2236,11537
0,0,11686
0,0,11708
0,0,11995
0,0,12306
916,82774,12307
0,0,12350
0,9,12355
0,1,12401
0,7,12414
0,0,12577
0,0,12605
848,80179,12637
0,0,12713
0,79323,12779
893,82392,12859
0,0,12895
0,1,12902
0,0,12956
0,0,12971
1,284,12989
458,33720,13004
886,56857,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,1,13703
0,0,13727
0,332,13760
865,80989,13786
904,82676,13830
0,0,14026
0,0,14061
0,0,14361
0,0,14537
902,82344,14630
0,0,14633
912,83621,14840
0,82252,14907
0,0,15008
0,3,15133
902,82329,15435
904,82527,15547
1,78587,15562
0,0,15600
177,81003,15605
0,2,15695
0,2,15699
0,0,15703
1,60,15830
0,9,15943
0,1,16004
0,3,16030
0,38,16086
0,0,16265
0,1,16298
0,0,16314
260,42545,16347
0,0,16570
0,5,16637
0,1,16700
989,83044,16735
0,0,17451
1061,84008,17639
926,82865,18106
499,38991,19016
940,81590,19151
0,62,19551
941,83242,19653
610,71624,19754
0,0,19782
1004,82486,20080
903,82093,20205
0,14,20495
0,0,20504
0,1,20514
0,0,20562
858,81059,20612
0,1,20704
0,0,20751
933,81970,20764
837,79849,20811
903,82226,20912
906,82519,20932
0,19,20940
623,79632,20953
0,0,21013
0,0,21099
919,82725,21232
0,10,21263
0,219,21320
0,0,21336
0,0,21360
0,57,21385
0,0,21478
0,0,22548
837,79820,22652
0,0,22691
0,0,22822
918,82689,23106
935,83300,23367
0,0,23673
0,0,24115
924,82037,24441
917,82734,24482
902,82953,24516
0,1,24592
0,0,24753
841,80286,24875
0,0,24880
0,0,24931
0,0,24953
839,80271,24961
0,0,25061
906,82374,25091
905,82312,25152
623,79408,25160
0,1,25178
905,82384,25220
0,0,25227
0,79,25933
451,79975,26073
0,37558,26162
0,2,26415
