RPKI filtering threshold,230.0
Full feeder threshold,84979
rpki_invalids,pos,asn
0,0,42
17,98883,174
410,97633,209
0,0,286
438,106009,293
479,106153,513
8,102489,553
0,13,559
2,102391,680
405,101667,701
0,178,714
0,17,766
417,102585,852
0,103035,1103
0,0,1126
0,102548,1140
0,0,1221
0,0,1239
439,101885,1273
405,105435,1280
0,101512,1299
258,105241,1351
0,101337,1403
588,106404,1798
0,114,1836
0,62,1853
0,17,2018
0,0,2044
0,0,2116
0,96,2119
0,0,2152
0,103772,2497
3,21813,2500
417,110245,2516
415,105744,2518
0,0,2603
10,103683,2613
0,9,2686
0,23,2854
0,42,2856
0,3,2857
0,0,2895
0,0,2905
67,101934,2914
0,0,3130
53,103631,3214
0,97,3233
3,101394,3257
1,341,3267
407,106385,3277
372,106139,3280
0,101,3292
0,0,3301
0,0,3303
130,72039,3320
0,26,3327
357,105954,3333
0,0,3402
171,101994,3491
0,0,3549
0,0,3561
414,102569,3741
0,0,3856
0,2423,4134
230,105081,4181
0,0,4608
238,9201,4637
269,106208,4739
2,32,4775
4,103472,4777
40,105880,4826
0,2,4844
0,0,5056
0,0,5390
0,1,5392
0,5,5394
0,38254,5396
0,76,5400
0,0,5403
416,102143,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,9,5524
0,0,5583
0,0,5588
0,7,5602
11,100802,5645
0,0,5650
297,76972,6057
0,0,6067
0,0,6079
70,104903,6082
97,104418,6233
0,4,6391
0,0,6423
36,101312,6453
169,8973,6461
0,0,6539
428,102248,6667
621,106775,6720
0,169,6730
414,101990,6762
0,85,6774
0,0,6798
0,101374,6830
82,87,6866
13,104901,6881
31,101341,6894
415,102471,6908
0,103864,6939
2,101277,7018
0,1352,7195
512,105734,7489
0,0,7500
506,107008,7575
0,36985,7606
42,31360,7660
526,102873,7713
0,0,7795
0,61,8075
413,102380,8218
832,105953,8220
0,0,8224
0,0,8245
13,105412,8283
0,2,8319
11,619,8359
0,11,8365
0,0,8387
0,0,8422
6,101981,8426
0,156,8447
25,102086,8455
0,13,8470
0,0,8492
4,137,8529
0,0,8551
0,0,8560
37,103657,8607
0,0,8648
0,0,8660
0,5,8674
0,93,8708
247,99023,8758
0,14,8763
0,185,8781
0,0,8816
0,3,8821
0,0,8851
0,0,8859
409,105624,8896
0,0,8897
1,199,8966
0,102200,9002
0,2,9009
0,0,9026
0,0,9031
0,0,9063
0,31,9264
0,0,9266
0,28,9268
525,106153,9304
0,629,9505
0,3,9583
0,4,9658
22,16936,9902
2,89,9930
45,101327,10102
0,142,10310
584,106589,11039
0,0,11403
34,2319,11537
0,0,11686
0,0,11708
0,0,12306
0,105779,12307
0,0,12350
0,9,12355
0,1,12401
0,8,12414
0,1,12470
0,0,12577
0,0,12605
296,101907,12637
0,0,12713
0,102043,12779
110,102044,12859
0,0,12895
0,1,12902
0,0,12956
0,0,12971
15,39043,13004
210,49411,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,0,13727
0,500,13760
425,105661,13786
403,105853,13830
0,0,14026
487,106694,14061
0,0,14361
0,0,14537
402,105734,14630
437,104985,14840
0,106554,14907
0,0,15008
0,18,15133
553,103163,15280
45,104928,15435
423,105751,15547
0,101211,15562
0,0,15600
3,105302,15605
536,102604,15623
67,55428,15692
0,2,15695
0,2,15699
0,0,15703
0,89,15830
0,11,15943
0,1,16004
0,0,16030
0,38,16086
0,0,16265
0,1,16298
0,0,16314
134,54212,16347
401,106390,16552
0,6,16637
0,1,16700
449,104536,16735
0,48,16814
714,107822,17639
0,105414,18106
1,443,18403
152,79898,19016
555,103466,19151
0,66,19551
561,106349,19653
153,89038,19754
0,0,19782
407,105458,20080
16,104598,20205
0,15,20495
0,1,20514
0,0,20562
107,99065,20612
0,0,20704
0,0,20751
483,105007,20764
406,102284,20811
28,104882,20912
411,105609,20932
0,22,20940
15,45291,20953
0,0,21013
0,0,21099
178,105888,21232
0,10,21263
0,226,21320
0,0,21336
0,0,21360
0,57,21385
430,106065,21412
0,0,21473
0,0,21478
0,0,22548
252,101650,22652
0,0,22691
0,0,22822
475,105757,23106
560,106085,23367
0,0,23673
0,0,24115
0,6,24322
208,104125,24441
418,106054,24482
244,105981,24516
0,1,24592
0,0,24753
0,0,24875
0,0,24880
0,0,24931
0,0,24953
433,102142,24961
0,0,25061
344,102528,25091
71,106909,25152
407,102572,25160
0,1,25178
410,105817,25220
0,0,25885
0,12,25933
0,0,26073
0,45192,26162
