RPKI filtering threshold,720.6
Full feeder threshold,682481
rpki_invalids,pos,asn
0,121,42
25,859812,209
1525,887017,293
2373,869763,513
14,862318,553
181,361916,559
16,862092,680
2064,860841,701
0,1048,714
0,164,766
43,862098,852
14,873790,1103
0,5,1126
9,516437,1140
16,870027,1221
38,860511,1239
0,0,1273
2332,892732,1280
21,860397,1299
1261,884496,1351
14,869642,1403
2449,873043,1798
1332,881795,1828
0,177,1836
0,275,1853
0,425,2018
0,31,2044
0,505,2116
0,547,2119
1282,862770,2152
19,868021,2497
0,720,2500
19,5533,2516
1486,863901,2518
0,1743,2603
2252,870366,2613
0,578,2686
0,233,2854
4,927,2856
0,0,2857
2253,870249,2895
29,861670,2914
52,861052,3130
715,862922,3170
567,873427,3214
2348,867398,3216
43,117854,3233
38,861546,3257
894,868121,3267
2616,890356,3280
14,861401,3292
0,849,3301
14,887858,3303
2106,862166,3320
0,249,3327
14,876245,3333
162,865567,3491
126,859747,3549
25,859444,3561
2149,866930,3741
0,1,3856
57,13257,4134
1264,861121,4181
2433,900480,4608
16,72741,4637
1379,884687,4739
19,1391,4775
0,4,4777
14,3300,4788
19,891319,4826
0,10,4844
0,7,5390
41,861264,5392
936,865828,5394
2139,863793,5396
1,1550,5400
0,24,5403
1188,862381,5413
0,1,5418
0,18,5430
0,0,5459
0,69,5466
0,19,5503
235,116546,5511
0,20,5524
0,32,5583
2149,863767,5602
1,181,5603
2293,732887,5645
76,861011,5650
348,190666,6057
32,861546,6079
77,862385,6082
377,865425,6233
0,166,6325
0,41,6391
1971,863923,6423
857,861048,6453
646,109542,6461
247,213992,6539
1801,863689,6667
2255,893924,6720
1,622,6730
2186,863332,6762
2,3011,6774
0,5,6798
15,862061,6830
0,179,6866
2210,869803,6894
1077,863894,6908
24,885432,6939
53,860264,7018
1,7661,7195
2193,864305,7489
2195,886051,7500
2559,882233,7575
1,98597,7606
435,706273,7660
1632,874154,7713
0,429,7795
0,316,8075
2469,872717,8218
288,865718,8220
0,4,8224
0,43,8245
22,852508,8283
163,180275,8289
56,886296,8298
0,13,8319
17,7812,8359
0,69,8365
0,19,8387
0,104,8422
1655,864625,8426
0,1120,8447
15,863381,8455
0,67,8470
2472,881115,8492
2,1875,8529
0,2194,8551
0,264,8560
278,624348,8607
0,8,8648
1356,864092,8660
0,49,8674
1,1122,8708
0,0,8758
0,0,8763
0,719,8781
0,10,8816
0,19,8821
0,40,8851
0,8,8859
1397,864527,8896
10,4147,8966
52,862417,9002
0,9,9009
0,3,9026
0,69,9031
0,151,9063
0,0,9264
19,154067,9266
2463,878043,9268
1419,869195,9304
0,6654,9318
2,2368,9505
25,2777,9583
16,481,9658
522,176191,9902
2,1113,9930
0,355,10310
2437,873985,11039
3,5615,11164
0,18,11403
26,21905,11537
2428,888384,11686
145,887188,11708
2049,895143,12307
244,862961,12350
0,8,12355
0,0,12401
0,23,12414
2103,864436,12470
0,12,12577
0,16,12605
83,860258,12637
0,1406,12713
13,861843,12779
418,862553,12859
0,2,12895
0,2,12902
164,42819,12956
293,153892,13004
2107,864946,13030
0,10,13041
0,135,13101
0,67,13189
1249,864277,13237
0,173,13285
1,1884,13335
0,12,13727
1,3442,13760
14,874369,13786
14,862027,13830
0,2,14026
1218,862256,14041
1583,878416,14061
291,306824,14315
1113,864082,14537
2253,878546,14630
2147,877815,14840
14,875051,14907
0,43,15133
226,172500,15280
1238,862885,15435
634,894118,15547
4,860417,15562
0,124,15600
16,891438,15605
1192,892139,15623
18,556883,15692
0,9,15695
0,30,15699
0,38,15703
0,628,15830
0,81,15943
0,0,16004
0,113,16030
0,273,16086
1,525,16265
0,2,16298
0,1,16314
2277,864976,16347
1,2373,16509
1575,879034,16552
0,243,16637
0,17,16700
2334,867224,16735
1,962,16814
2307,872597,17350
2971,892269,17639
103,895611,18106
1,2838,18403
14,415020,19016
1469,866459,19151
0,469,19551
2391,872648,19653
684,862358,19754
34,24814,19782
2243,863822,20080
75,884062,20130
48,883976,20205
0,94,20495
22,865507,20514
4,246617,20562
286,893581,20612
0,11,20704
0,21,20751
2378,879125,20764
711,864024,20811
2137,864475,20912
579,862733,20932
0,151,20940
0,136,21013
0,2,21099
2011,877247,21232
0,47,21263
0,1551,21320
0,2,21336
0,3,21360
0,321,21385
1514,887875,21412
0,54,21473
0,1,21478
14,861376,21700
27,18541,22388
2378,890887,22548
1305,864884,22652
0,31,22691
0,223,22822
2696,885783,23106
54,176092,23367
3108,909222,23673
542,122443,24115
9,4540,24441
2189,890973,24482
792,877137,24516
0,5,24592
0,33,24753
0,250,24875
0,1,24880
0,73,24953
1915,864519,24961
1,22,25061
2267,868374,25091
82,882440,25152
101,865028,25160
0,12,25198
2238,869679,25220
14,906887,25885
0,109,25933
17,881916,26073
3,166170,26162
0,2,26415
0,337,26744
68,882195,27446
2790,892818,27678
0,700,28000
23,879788,28186
0,1000,28283
40,868679,28329
729,885478,28571
0,17,28589
670,713003,28634
0,7,28760
0,5,28788
57,332704,28792
1026,872735,28917
2262,865395,29075
349,862552,29140
667,891231,29222
0,3,29438
0,2,29449
14,878091,29467
52,863144,29479
314,867827,29504
0,13,29527
0,51,29550
1472,876241,29680
1846,865827,29691
18,1682,29838
1557,852994,30132
48,861297,30286
1,2797,30844
0,6,30892
32,860691,30950
14,871882,31019
26,1371,31027
1,2103,31042
0,0,31122
9,11760,31133
72,863048,31313
0,2,31383
0,6,31424
0,2,31449
86,1916,31500
12,86319,31554
0,89,31727
74,862030,31742
0,3,31800
11,6886,32098
0,5,32261
216,861587,32354
45,172211,32653
581,859791,32709
10,4249,32787
1,57,32869
0,60,32934
0,468,33132
5,65802,33823
0,5,33845
2,5624,33891
9,587724,34019
2175,865252,34177
2199,865588,34224
0,23,34245
874,878510,34288
0,47,34347
182,864621,34549
19,862300,34553
0,4,34723
0,11,34790
0,92,34800
2200,865414,34854
2488,890054,34927
544,864204,34968
0,134,35228
205,862345,35266
5,66017,35267
0,13,35313
7,2740,35320
0,14,35332
2259,868159,35360
2420,873360,35369
12,574901,35426
44,197618,35505
2489,715026,35598
10,430309,35600
2306,866851,35619
1,445,35699
0,90,35708
14,862367,35710
2763,902029,36236
3523,883976,36351
2855,909975,36924
0,27,36968
15,129,37053
0,2243,37100
2712,884358,37239
356,863339,37271
0,28,37314
2465,881149,37468
14,883800,37497
0,22,37546
0,3,37578
24,257063,37640
0,22,37650
4,2835,37662
51,243663,37680
21,97579,37704
77,156521,37721
2507,881276,37989
2373,875340,38001
58,904943,38136
0,0,38173
0,223,38182
0,80,38496
2543,903072,38726
3068,896148,38880
83,891890,38883
2,87962,39107
1182,869485,39120
14,871959,39122
0,1,39202
0,3,39347
14,862901,39351
2150,863507,39533
168,861667,39591
0,41,39651
34,144844,39668
0,2,39821
3,108,39912
1309,884541,40387
25,882536,40630
2345,871925,40934
85,862918,40994
0,7,41028
4407,877718,41095
56,861834,41157
14,745518,41327
0,0,41617
1130,863885,41695
2379,897328,41722
2169,862618,41811
0,5,41953
0,2,42275
14,875206,42473
28,855534,42541
0,531,42708
0,0,42861
0,609,43100
0,62,43578
0,0,44030
801,863918,44103
2618,905430,44393
0,88,44684
3094,887025,45352
81,889577,45437
0,6,45494
0,12,45634
2,1800,45896
152,861060,46450
2574,905550,46997
16,864900,47147
2167,867955,47251
0,47,47422
2645,899015,47441
889,868345,47692
34,863828,47787
523,394573,47957
17,7520,48147
193,190841,48292
342,872830,48362
16,895801,48550
309,401459,48571
0,0,48646
1828,867162,48821
231,896557,48919
59,862763,49102
23,882282,49134
0,7,49375
2353,876647,49420
2192,874678,49432
2148,863724,49434
0,8,49463
0,223,49544
15,862441,49605
2551,882306,49673
522,887687,49697
22,87975,49709
2557,896925,49752
1014,863583,49788
0,52,49835
107,861014,50300
956,863559,50304
6,4265,50384
798,879122,50628
2461,876675,50673
207,614613,50763
38,865167,50877
15,861595,51088
1021,874189,51184
3603,886033,51185
0,12,51333
16,895870,51786
1826,895269,51873
206,330582,51999
2694,871900,52320
0,0,52720
2383,884453,52814
14,869127,52863
2031,875360,52873
0,5,52888
0,65,52940
2318,864877,53013
2164,875045,53070
1,219,53237
0,10,53274
312,859105,53767
653,862726,53828
0,13,54054
2417,877784,54574
16,892662,55222
2406,899542,55720
1872,867656,56430
0,8,56444
0,0,56662
2463,878435,56665
0,0,57050
2145,863607,57111
37,125317,57199
0,1,57351
1154,863890,57381
846,391251,57463
2415,883781,57695
15,860935,57821
812,862428,57866
2485,870320,58057
0,1,58280
1989,887245,58299
2173,865410,58308
