RPKI filtering threshold,313.20000000000005
Full feeder threshold,104153
rpki_invalids,pos,asn
0,0,42
24,117551,174
19,119324,209
198,128938,293
340,129362,513
9,124639,553
88,62321,559
3,127076,680
591,124916,701
0,199,714
0,17,766
4,125024,852
1,125897,1103
0,0,1126
0,126138,1140
0,0,1221
1,124678,1239
663,125183,1273
596,129331,1280
1,124324,1299
342,128869,1351
1,124407,1403
724,130238,1798
626,128824,1828
1,126,1836
0,63,1853
0,17,2018
0,0,2044
0,0,2116
0,98,2119
0,0,2152
1,126969,2497
9,26983,2500
602,133839,2516
596,129256,2518
0,0,2603
9,127012,2613
0,8,2686
0,19,2854
0,50,2856
0,3,2857
0,0,2895
13,120691,2914
0,0,3130
142,125214,3170
87,129556,3214
0,0,3216
5,94,3233
6,124404,3257
0,310,3267
688,130253,3280
0,100,3292
0,0,3301
0,0,3303
33,103591,3320
0,25,3327
3,129166,3333
211,124913,3491
0,0,3549
0,0,3561
0,0,3741
0,0,3856
0,1573,4134
120,128490,4181
0,0,4608
2,8939,4637
802,130691,4739
2,63,4775
10,127154,4777
3,129379,4826
0,2,4844
0,0,5390
0,1,5392
0,4,5394
0,51102,5396
0,85,5400
0,0,5403
61,124670,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,8,5524
0,0,5583
0,7,5602
17,123927,5645
0,0,5650
337,85454,6057
0,0,6079
40,120374,6082
152,129117,6233
0,2,6325
0,4,6391
0,0,6423
38,124355,6453
113,11131,6461
0,0,6539
163,124910,6667
812,130447,6720
0,189,6730
610,124509,6762
0,59,6774
0,0,6798
1,124553,6830
59,64,6866
7,128447,6881
314,124710,6894
54,125094,6908
5,127425,6939
1,123518,7018
0,1958,7195
700,129160,7489
0,0,7500
743,131854,7575
0,48673,7606
9,37572,7660
1011,126761,7713
0,0,7795
0,69,8075
616,125575,8218
1275,130023,8220
0,0,8224
0,0,8245
2,128784,8283
0,0,8289
0,1,8319
5,699,8359
0,10,8365
0,0,8387
0,0,8422
137,125511,8426
1,152,8447
2,125022,8455
0,15,8470
0,0,8492
3,242,8529
0,0,8551
0,0,8560
38,126958,8607
0,0,8648
0,0,8660
0,5,8674
5,92,8708
834,130011,8758
0,14,8763
0,218,8781
0,0,8816
0,3,8821
0,0,8851
0,0,8859
125,128711,8896
1,199,8966
1,125200,9002
0,4,9009
0,0,9026
0,0,9031
0,0,9063
0,31,9264
0,0,9266
1157,126819,9268
3561,132731,9304
0,0,9318
0,960,9505
0,3,9583
0,6,9658
4,29450,9902
2,112,9930
0,137,10310
720,130328,11039
0,350,11164
0,0,11403
74,6846,11537
0,0,11686
0,0,11708
2,128771,12307
0,0,12350
0,9,12355
0,1,12401
0,11,12414
0,1,12470
0,0,12577
0,0,12605
148,128621,12637
0,0,12713
1,125215,12779
61,124766,12859
0,0,12895
0,1,12902
0,0,12956
11,51208,13004
367,125450,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,0,13727
0,531,13760
259,128602,13786
100,129012,13830
0,0,14026
805,130205,14061
1,49015,14315
0,0,14537
32,128863,14630
616,128388,14840
2,129653,14907
0,0,15008
0,18,15133
187,126099,15280
44,128534,15435
149,128933,15547
1,120028,15562
0,0,15600
5,128704,15605
339,129179,15623
13,67596,15692
0,2,15695
0,4,15699
0,0,15703
0,104,15830
0,11,15943
0,1,16004
0,0,16030
0,50,16086
0,0,16265
0,1,16298
0,0,16314
74,70607,16347
0,568,16509
892,130866,16552
0,6,16637
0,1,16700
610,127083,16735
0,122,16814
54,125790,17350
3713,135069,17639
2,126875,17920
2,129243,18106
1,461,18403
244,101808,19016
189,126305,19151
0,75,19551
651,130254,19653
36,101009,19754
0,0,19782
598,129379,20080
0,0,20130
25,127925,20205
0,190,20495
0,1,20514
0,0,20562
835,130043,20612
0,0,20704
0,0,20751
712,128767,20764
115,124872,20811
598,129685,20912
67,128702,20932
0,20,20940
0,0,21013
0,0,21099
2,52300,21232
0,12,21263
0,213,21320
0,0,21336
0,0,21360
0,56,21385
0,0,21473
0,0,21478
2,128334,21700
74,6118,22388
0,0,22548
125,124602,22652
0,0,22691
0,0,22822
661,129184,23106
12,129187,23367
1038,129996,23673
247,122100,24441
867,130635,24482
702,130235,24516
0,1,24592
0,0,24753
0,0,24875
0,0,24880
0,0,24931
0,0,24953
245,125113,24961
627,125899,25091
523,131187,25152
57,125200,25160
0,0,25198
41,128803,25220
0,0,25885
0,8,25933
0,0,26073
0,59675,26162
0,2,26415
