RPKI filtering threshold,385.20000000000005
Full feeder threshold,114147
rpki_invalids,pos,asn
0,0,42
69,134807,209
680,138595,293
656,140038,513
15,138245,553
62,70382,559
8,139060,680
860,138328,701
0,215,714
0,15,766
25,138611,852
12,139938,1103
0,0,1126
21,138263,1140
0,0,1221
7,137854,1239
952,138545,1273
868,143306,1280
8,137423,1299
721,143102,1351
7,137604,1403
1092,144701,1798
1310,143485,1828
0,67,1836
0,65,1853
0,21,2018
0,0,2044
0,0,2116
0,96,2119
0,0,2152
7,142445,2497
22,27489,2500
889,148886,2516
891,143750,2518
0,0,2603
18,140694,2613
0,9,2686
0,18,2854
0,74,2856
0,3,2857
0,0,2895
65,133935,2914
0,0,3130
621,139286,3170
375,143574,3214
0,0,3216
5,91,3233
13,137765,3257
1,46,3267
948,145378,3280
0,108,3292
0,0,3301
0,0,3303
178,115813,3320
0,24,3327
8,143157,3333
7,138341,3399
7,137906,3491
0,0,3549
0,0,3561
0,0,3741
0,0,3856
0,1901,4134
0,0,4608
0,12428,4637
526,144067,4739
5,116,4775
31,142573,4777
2,295,4788
7,143396,4826
0,2,4844
0,0,5390
0,1,5392
0,5,5394
0,0,5396
0,112,5400
0,0,5403
131,138227,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,9,5524
0,0,5583
0,6,5602
0,29,5603
897,90064,5645
0,0,5650
949,144809,6057
0,0,6079
111,143220,6233
0,2,6325
0,3,6391
0,0,6423
456,137945,6453
536,16466,6461
631,139089,6667
1078,144847,6720
883,138566,6762
0,92,6774
0,0,6798
7,137726,6830
52,57,6866
496,130302,6894
617,139007,6908
9,141060,6939
9,137266,7018
0,2535,7195
979,143239,7489
0,0,7500
1095,148569,7575
1,50913,7606
19,39906,7660
1455,140294,7713
0,0,7795
0,68,8075
917,139036,8218
464,142911,8220
0,0,8224
0,0,8245
3,143019,8283
106,143623,8298
0,2,8319
4,368,8359
0,13,8365
0,0,8387
0,52,8400
0,0,8422
8,138702,8426
0,131,8447
11,138628,8455
0,15,8470
0,0,8492
0,205,8529
0,0,8551
0,0,8560
55,140654,8607
0,0,8648
0,0,8660
0,6,8674
5,91,8708
8,143310,8758
0,17,8763
0,249,8781
0,0,8816
0,5,8821
0,0,8851
0,0,8859
588,143149,8896
4,228,8966
7,138839,9002
0,4,9009
0,0,9026
0,0,9031
0,0,9063
0,33,9264
0,0,9266
1585,141559,9268
1754,144915,9304
0,0,9318
0,879,9505
0,2,9583
0,2,9658
25,27281,9902
2,135,9930
0,125,10310
1088,144783,11039
0,371,11164
0,0,11403
98,7127,11537
0,0,11686
0,0,11708
669,143767,12307
0,0,12350
0,9,12355
0,1,12401
0,8,12414
0,1,12470
0,0,12577
0,0,12605
594,142927,12637
0,0,12713
7,138228,12779
95,138271,12859
0,0,12895
0,1,12902
0,0,12956
134,57463,13004
746,138931,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,182,13335
0,0,13727
877,139205,13760
64,142927,13786
7,142825,13830
0,0,14026
0,0,14041
1316,145270,14061
3,51365,14315
0,0,14537
72,142819,14630
866,142499,14840
7,144078,14907
0,19,15133
676,140112,15280
165,142259,15435
586,143500,15547
7,133104,15562
0,0,15600
156,143025,15605
636,143421,15623
65,76025,15692
0,2,15695
0,4,15699
0,0,15703
0,99,15830
0,12,15943
0,1,16004
0,0,16030
0,49,16086
0,0,16265
0,1,16298
0,0,16314
78,75864,16347
0,654,16509
1267,145559,16552
0,7,16637
287,140519,16735
1,161,16814
85,139416,17350
1926,148650,17639
183,143024,18106
1,546,18403
11,60650,19016
679,140372,19151
0,75,19551
987,144714,19653
182,114470,19754
0,0,19782
867,143297,20080
0,0,20130
157,141040,20205
0,112,20495
0,1,20514
0,0,20562
104,143434,20612
0,0,20704
0,0,20751
1259,143685,20764
577,138819,20811
867,143680,20912
259,143040,20932
0,20,20940
0,0,21013
0,0,21099
2,55011,21232
0,13,21263
0,211,21320
0,0,21336
0,0,21360
0,68,21385
710,144027,21412
0,0,21473
0,0,21478
7,142170,21700
100,6442,22388
0,0,22548
550,138195,22652
0,0,22691
0,0,22822
980,143237,23106
19,142443,23367
1785,145975,23673
0,0,24115
41,135398,24441
1375,144322,24482
1179,144493,24516
0,1,24592
0,0,24753
0,0,24875
0,0,24880
0,0,24953
714,139320,24961
0,0,25061
904,139787,25091
0,0,25139
625,147245,25152
231,138860,25160
0,0,25198
221,143261,25220
0,0,25885
0,5,25933
0,0,26073
