RPKI filtering threshold,230.60000000000002
Full feeder threshold,107044
rpki_invalids,pos,asn
0,0,42
54,120766,174
32,125005,209
178,127960,293
441,129418,513
9,128027,553
79,62865,559
3,128579,680
717,128388,701
0,206,714
0,15,766
6,128318,852
1,129561,1103
0,0,1126
1,129540,1140
0,0,1221
1,127881,1239
781,128642,1273
722,133207,1280
3,127572,1299
662,133095,1351
1,127591,1403
955,134129,1798
154,132545,1828
0,147,1836
0,63,1853
0,17,2018
0,0,2044
0,0,2116
0,96,2119
0,0,2152
1,132249,2497
11,27036,2500
726,137763,2516
724,133161,2518
0,0,2603
9,130714,2613
0,9,2686
0,18,2854
0,54,2856
0,3,2857
0,0,2895
24,124038,2914
0,0,3130
332,128777,3170
155,133082,3214
0,0,3216
6,107,3233
9,127737,3257
1,320,3267
773,134129,3280
0,102,3292
0,0,3301
0,0,3303
63,108727,3320
0,26,3327
2,132821,3333
94,128196,3491
0,0,3549
0,0,3561
0,0,3741
0,0,3856
0,1607,4134
190,132298,4181
0,0,4608
0,10486,4637
278,134211,4739
2,76,4775
12,132318,4777
0,267,4788
2,132894,4826
0,2,4844
0,0,5390
0,1,5392
0,5,5394
0,0,5396
0,86,5400
0,0,5403
93,127527,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,8,5524
0,0,5583
0,7,5602
747,128154,5645
0,0,5650
139,86841,6057
0,0,6079
67,123672,6082
162,133028,6233
0,2,6325
0,3,6391
0,0,6423
47,127599,6453
276,12458,6461
0,0,6539
260,128324,6667
939,134238,6720
0,186,6730
728,128071,6762
0,49,6774
0,0,6798
95,127914,6830
15,20,6866
17,132119,6881
367,127399,6894
81,128419,6908
1,131122,6939
5,126590,7018
1,2217,7195
823,133016,7489
0,0,7500
825,137937,7575
0,49384,7606
12,21537,7660
379,130062,7713
0,0,7795
0,68,8075
749,129053,8218
533,132839,8220
0,0,8224
0,0,8245
7,132433,8283
0,0,8289
0,1,8319
5,737,8359
0,13,8365
0,0,8387
0,0,8422
220,128649,8426
1,151,8447
3,128215,8455
0,15,8470
0,0,8492
3,173,8529
0,0,8551
0,0,8560
24,130685,8607
0,0,8648
0,0,8660
0,5,8674
6,105,8708
382,133845,8758
0,14,8763
0,228,8781
0,0,8816
0,3,8821
0,0,8851
0,0,8859
234,132561,8896
3,205,8966
1,128221,9002
0,4,9009
0,0,9026
0,0,9031
0,0,9063
0,31,9264
0,0,9266
775,130904,9268
3075,136438,9304
0,0,9318
0,883,9505
0,2,9583
0,6,9658
6,14745,9902
1,133,9930
0,131,10310
973,134329,11039
0,361,11164
0,0,11403
71,6870,11537
0,0,11686
0,0,11708
25,132461,12307
0,0,12350
0,9,12355
0,1,12401
0,8,12414
0,1,12470
0,0,12577
0,0,12605
230,132194,12637
0,0,12713
1,128451,12779
84,128049,12859
0,0,12895
0,1,12902
0,0,12956
12,51978,13004
322,128726,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,0,13727
0,629,13760
16,132500,13786
96,132677,13830
0,0,14026
0,0,14041
287,134063,14061
2,49802,14315
0,0,14537
48,132435,14630
750,131655,14840
1,133344,14907
0,0,15008
0,19,15133
386,129636,15280
78,132216,15435
196,132692,15547
1,123268,15562
0,0,15600
7,132086,15605
370,132522,15623
23,68599,15692
0,2,15695
0,4,15699
0,0,15703
0,111,15830
0,11,15943
0,1,16004
0,0,16030
0,51,16086
0,0,16265
0,1,16298
0,0,16314
100,71762,16347
0,585,16509
293,134632,16552
0,6,16637
0,1,16700
725,130894,16735
0,174,16814
68,129056,17350
3307,138803,17639
1,130605,17920
1,132635,18106
448,98289,19016
387,129934,19151
0,75,19551
890,134152,19653
69,104029,19754
0,0,19782
715,133222,20080
0,0,20130
52,131444,20205
0,193,20495
0,1,20514
0,0,20562
382,133970,20612
0,0,20704
0,0,20751
400,132524,20764
182,128277,20811
716,133579,20912
109,132137,20932
0,19,20940
0,0,21013
0,0,21099
1,53048,21232
0,12,21263
0,211,21320
0,0,21336
0,0,21360
0,58,21385
113,132822,21412
0,0,21473
0,0,21478
1,131989,21700
67,5857,22388
0,0,22548
242,128052,22652
0,0,22691
0,0,22822
800,132915,23106
24,132816,23367
408,133719,23673
0,0,24115
131,125527,24441
325,134521,24482
192,134097,24516
0,1,24592
0,0,24753
0,0,24875
0,0,24880
0,0,24953
261,128526,24961
0,0,25061
739,129275,25091
14,136735,25152
101,128489,25160
0,0,25198
72,132460,25220
0,0,25885
0,9,25933
