RPKI filtering threshold,157.20000000000002
Full feeder threshold,70923
rpki_invalids,pos,asn
0,0,42
3,84754,174
530,85379,209
1,87153,286
475,90276,293
133,65343,513
122,87975,553
0,12,559
457,88424,680
377,87264,701
0,147,714
0,17,766
440,88275,852
2,88235,1103
0,0,1126
527,90727,1140
0,0,1221
0,0,1239
453,87710,1273
439,90443,1280
1,87193,1299
269,89969,1351
1,87107,1403
0,0,1798
0,120,1836
0,63,1853
179,91221,1916
0,10,2018
0,0,2044
0,0,2116
0,92,2119
0,0,2152
444,88471,2497
1,20916,2500
443,94565,2516
442,90390,2518
0,0,2603
468,90189,2613
0,9,2686
0,20,2854
0,36,2856
405,90290,2857
0,0,2895
0,0,2905
66,87880,2914
0,0,3130
26,88045,3214
1,57,3233
10,87178,3257
2,391,3267
8,89915,3277
461,91105,3280
0,92,3292
0,0,3301
0,0,3303
0,24,3327
407,90624,3333
0,0,3402
180,87798,3491
0,0,3549
0,0,3561
438,88494,3741
0,0,3856
0,1323,4134
233,89740,4181
0,0,4608
129,5705,4637
320,90733,4739
3,27,4775
440,88098,4777
0,0,4780
486,90623,4826
0,2,4844
0,0,5056
0,0,5390
0,1,5392
0,5,5394
3,34498,5396
0,71,5400
0,0,5403
439,87709,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,9,5524
0,0,5583
0,0,5588
0,5,5602
11,86706,5645
0,0,5650
189,87334,5769
114,23164,6057
0,0,6067
0,0,6079
68,87332,6082
34,88563,6233
0,5,6391
0,0,6423
31,87025,6453
158,7154,6461
0,0,6539
467,87852,6667
652,91660,6720
0,149,6730
447,87819,6762
0,71,6774
0,0,6798
437,87600,6830
104,109,6866
18,89870,6881
440,90113,6894
529,88672,6908
1,88334,6939
2,86988,7018
1,90395,7195
548,88329,7489
0,0,7500
547,91187,7575
10,32646,7606
49,28531,7660
440,88668,7713
0,0,7795
0,62,8075
451,87929,8218
786,90431,8220
0,0,8224
0,0,8245
1,90130,8283
0,2,8319
0,0,8339
0,663,8359
0,11,8365
0,0,8387
0,0,8422
446,87859,8426
0,158,8447
25,87999,8455
0,12,8470
0,0,8492
7,253,8529
0,0,8551
0,0,8560
37,88005,8607
0,0,8648
0,0,8660
0,5,8674
1,51,8708
35,50899,8758
0,13,8763
0,141,8781
0,0,8816
0,3,8821
0,0,8851
0,0,8859
455,90105,8896
0,0,8897
5,48,8966
482,88202,9002
0,2,9009
0,0,9026
0,0,9031
0,0,9063
0,31,9264
0,0,9266
0,30,9268
533,91076,9304
2,416,9505
0,2,9583
0,3,9658
4,24748,9902
2,74,9930
31,87059,10102
0,125,10310
657,91278,11039
39,2355,11537
0,0,11686
0,0,11708
0,0,11995
0,0,12306
1,90035,12307
0,0,12350
0,11,12355
0,1,12401
0,7,12414
0,1,12470
0,0,12577
0,0,12605
246,87897,12637
0,0,12713
1,87738,12779
104,87833,12859
0,0,12895
0,1,12902
0,0,12956
0,0,12971
16,34774,13004
267,44304,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,0,13727
0,394,13760
507,91156,13786
436,90481,13830
0,0,14026
489,91105,14061
0,0,14361
0,0,14537
434,90163,14630
0,0,14633
546,90029,14840
1,90890,14907
0,0,15008
0,18,15133
35,89644,15435
391,90089,15547
0,87240,15562
0,0,15600
457,90523,15605
0,2,15695
0,2,15699
0,0,15703
1,91,15830
0,9,15943
0,1,16004
0,5,16030
0,37,16086
0,0,16265
0,1,16298
0,0,16314
86,46122,16347
475,91005,16552
0,0,16570
0,6,16637
0,1,16700
455,89304,16735
0,43,16814
0,0,17451
552,90682,17639
160,90476,18106
1,469,18403
13,39810,19016
565,89672,19151
0,64,19551
573,91267,19653
89,79140,19754
0,0,19782
536,90567,20080
435,89865,20205
0,17,20495
0,1,20514
0,0,20562
470,89045,20612
0,0,20704
0,0,20751
517,90291,20764
441,88001,20811
12,89558,20912
389,90254,20932
0,15,20940
16,87219,20953
0,0,21013
0,0,21099
449,90441,21232
0,10,21263
0,224,21320
0,0,21336
0,0,21360
0,59,21385
0,0,21473
0,0,21478
0,0,22548
440,87666,22652
0,0,22691
0,0,22822
460,90738,23106
573,91125,23367
0,0,23673
0,0,24115
231,88913,24441
408,90960,24482
110,90319,24516
0,1,24592
0,0,24753
488,88192,24875
0,0,24880
0,0,24953
467,87971,24961
0,0,25061
330,90321,25091
441,90324,25152
21,87242,25160
0,1,25178
442,90434,25220
0,49,25933
1,87933,26073
0,41185,26162
