RPKI filtering threshold,140.4
Full feeder threshold,52380
rpki_invalids,pos,asn
0,0,42
391,61098,174
455,65666,209
386,63587,286
424,64635,293
375,50365,513
478,64785,553
0,12,559
462,64311,680
396,63286,701
0,83,714
0,17,766
395,63828,852
465,64509,1103
0,0,1126
0,0,1221
0,0,1239
427,63498,1273
460,65797,1280
398,63285,1299
438,65776,1351
395,63405,1403
395,65672,1798
396,63720,1836
0,49,1853
463,66523,1916
66,16133,2018
0,0,2044
0,0,2116
0,0,2152
397,63716,2497
27,17983,2500
399,69840,2516
156,18740,2518
0,0,2603
384,64200,2613
0,9,2686
0,14,2854
0,28,2856
398,65645,2857
0,0,2895
0,0,2905
407,63489,2914
0,0,3130
395,63428,3257
2,231,3267
432,66089,3277
0,121,3292
0,0,3301
0,0,3303
0,24,3327
435,65849,3333
0,0,3402
469,62279,3491
0,0,3549
0,0,3561
410,64129,3741
0,0,3856
398,65660,4181
0,0,4608
95,2711,4637
478,66245,4739
0,14,4775
395,63651,4777
0,0,4780
396,66068,4826
0,1,4844
0,0,5056
0,0,5390
0,5,5392
282,29904,5396
0,63,5400
0,0,5403
396,63577,5413
0,0,5430
0,0,5466
0,0,5503
0,0,5511
0,8,5524
0,0,5583
0,0,5588
0,8,5602
125,34521,5645
0,0,5650
398,63460,5769
0,0,6067
0,0,6079
395,65714,6082
0,0,6083
385,64274,6233
0,0,6423
396,63260,6453
49,3841,6461
0,0,6539
399,63748,6667
702,67302,6720
0,98,6730
396,63565,6762
0,52,6774
470,62973,6830
4,9,6866
413,65615,6881
394,65697,6894
385,64364,6939
0,2,6968
7,63010,7018
0,0,7500
430,65929,7575
7,1176,7606
31,22681,7660
568,64952,7713
0,0,7795
6,58,8075
393,63638,8218
970,66421,8220
0,0,8222
0,0,8224
365,60321,8268
391,65808,8283
0,1,8319
0,2,8330
0,0,8331
0,0,8339
0,322,8359
0,11,8365
0,0,8387
0,0,8422
396,63743,8426
0,93,8447
53,63669,8455
0,11,8470
0,0,8492
20,87,8529
0,0,8551
0,0,8560
385,64218,8607
0,0,8648
0,6,8674
0,28,8708
198,27652,8758
0,13,8763
0,23,8781
0,0,8816
0,0,8851
395,65669,8896
0,0,8897
0,0,8966
402,64079,9002
0,0,9026
0,0,9031
0,0,9063
0,0,9150
0,31,9264
0,0,9266
0,24,9268
430,65599,9304
0,0,9318
5,146,9505
0,39,9583
0,5,9658
398,63395,9902
0,76,9930
370,60536,10026
396,63264,10102
0,93,10310
0,4,10474
0,1,10848
508,66788,11039
0,0,11403
63,2053,11537
397,63588,11666
0,0,11686
0,0,11708
0,0,11995
0,0,12306
395,65821,12307
0,0,12350
0,9,12355
0,1,12401
0,8,12414
0,0,12577
0,0,12605
399,64134,12637
0,0,12713
402,64222,12779
394,65634,12859
0,0,12895
0,1,12902
0,0,12956
0,0,12971
1,364,12989
292,31506,13004
405,51568,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,1,13703
0,0,13727
0,223,13760
0,0,14026
0,0,14061
0,0,14361
0,0,14537
0,0,14633
378,63065,14840
406,65985,14907
0,0,15008
0,2,15133
403,65798,15435
400,65965,15547
1,62803,15562
0,0,15600
402,65837,15605
0,1,15695
0,3,15699
0,0,15703
0,48,15830
0,1,16004
0,2,16030
0,37,16086
0,0,16265
0,1,16298
0,0,16314
86,34640,16347
0,0,16570
0,6,16637
0,1,16700
499,67053,16735
0,0,17451
425,64579,17639
536,67480,18106
297,34487,19016
486,67080,19151
0,0,19551
475,66692,19653
399,63595,19754
0,0,19782
461,65868,20080
415,66045,20495
0,0,20504
0,1,20514
0,0,20562
396,64352,20612
0,1,20704
0,0,20751
489,65876,20764
396,63700,20811
395,65680,20912
479,66380,20932
0,16,20940
0,0,20953
0,0,21013
0,0,21099
283,30395,21232
0,8,21263
0,179,21320
0,0,21336
0,0,21360
0,83,21385
0,0,21478
395,66073,22548
420,64050,22652
0,0,22691
0,0,22822
447,66734,23106
385,64201,23367
0,0,23673
0,0,24115
477,65869,24441
440,66030,24482
407,66088,24516
0,1,24592
0,0,24753
477,64593,24875
0,0,24880
0,0,24953
0,0,25061
400,65749,25091
400,65826,25152
393,63423,25160
0,1,25178
394,65750,25220
0,0,25227
0,97,25933
276,31713,26162
0,2,26415
0,4,26744
0,0,27257
0,0,27446
0,0,27678
395,66098,28186
0,0,28220
0,0,28260
0,72,28283
446,65479,28329
461,66850,28571
0,7,28589
0,0,28634
0,0,28760
0,0,28788
400,65561,28917
0,1,28929
