RPKI filtering threshold,738.0
Full feeder threshold,683380
rpki_invalids,pos,asn
0,121,42
13,862863,209
1237,896022,293
2281,872447,513
3,865323,553
226,354924,559
3,865150,680
2065,863726,701
0,1048,714
0,167,766
35,865246,852
3,876644,1103
0,5,1126
408,511526,1140
4,872907,1221
25,863419,1239
0,0,1273
2408,896300,1280
74,863288,1299
1001,895641,1351
3,872612,1403
2570,876059,1798
1422,885356,1828
0,179,1836
0,278,1853
0,427,2018
0,31,2044
0,500,2116
0,560,2119
974,865554,2152
7,878595,2497
0,718,2500
16,5551,2516
1553,867044,2518
0,1767,2603
2243,873045,2613
0,577,2686
0,236,2854
5,933,2856
0,0,2857
2264,873220,2895
14,864672,2914
29,864244,3130
535,865851,3170
2141,877129,3214
2384,871112,3216
32,158968,3233
14,864480,3257
2,734,3267
721,867199,3280
3,864313,3292
0,854,3301
27,893174,3303
2119,865373,3320
0,254,3327
3,879091,3333
3,864560,3399
139,868586,3491
93,862796,3549
13,862465,3561
2023,869889,3741
0,1,3856
64,13404,4134
1004,863888,4181
2460,904000,4608
7,72483,4637
1086,895801,4739
21,1413,4775
2238,882611,4777
16,3231,4788
5,894918,4826
0,11,4844
0,7,5390
48,864323,5392
1014,868900,5394
2136,866912,5396
2,1553,5400
0,24,5403
987,865174,5413
0,1,5418
0,18,5430
0,0,5459
0,67,5466
0,19,5503
257,123731,5511
0,20,5524
0,32,5583
2152,866892,5602
1,273,5603
2410,737958,5645
62,864049,5650
322,187713,6057
9,864683,6079
67,865480,6082
406,866604,6233
0,166,6325
0,41,6391
1804,866781,6423
839,864081,6453
366,102016,6461
182,214559,6539
1635,866704,6667
2295,897329,6720
2258,866250,6762
2,3058,6774
0,5,6798
4,865028,6830
0,182,6866
2237,880635,6894
881,866757,6908
39,894712,6939
42,863166,7018
0,7945,7195
2186,867234,7489
2192,896435,7500
2585,885163,7575
0,98918,7606
330,713024,7660
1710,879879,7713
0,367,7795
0,315,8075
2571,875771,8218
275,868671,8220
0,4,8224
0,43,8245
33,868187,8283
188,179198,8289
19,897301,8298
0,13,8319
18,7835,8359
0,63,8365
0,19,8387
0,104,8422
1602,867601,8426
0,1121,8447
5,866496,8455
0,83,8470
2551,883781,8492
0,987,8529
14,2394,8551
0,265,8560
395,632304,8607
0,7,8648
1273,867016,8660
0,49,8674
2,1099,8708
0,0,8758
0,0,8763
0,719,8781
0,10,8816
0,19,8821
0,40,8851
0,8,8859
1267,867809,8896
50,5219,8966
6,865505,9002
0,9,9009
0,3,9026
0,55,9031
0,147,9063
0,0,9264
8,151600,9266
2565,881451,9268
903,870693,9304
0,6592,9318
0,2266,9505
18,2690,9583
16,484,9658
634,178449,9902
2,1130,9930
0,355,10310
2493,877046,11039
6,5615,11164
0,16,11403
33,21765,11537
2545,891695,11686
143,868744,11708
2138,898708,12307
355,866059,12350
0,8,12355
0,0,12401
0,20,12414
2112,867507,12470
0,12,12577
0,16,12605
61,863202,12637
0,1385,12713
3,864902,12779
2504,875946,12859
0,2,12895
0,2,12902
170,44076,12956
290,151032,13004
2086,867967,13030
0,11,13041
0,125,13101
0,67,13189
1015,867171,13237
0,173,13285
2,1934,13335
0,12,13727
1,3555,13760
71,877951,13786
3,865064,13830
0,2,14026
931,865024,14041
1675,882071,14061
103,287002,14315
1261,867280,14537
2279,881759,14630
2141,881374,14840
3,880604,14907
0,43,15133
290,168647,15280
1027,865732,15435
716,897786,15547
4,863424,15562
0,126,15600
3,894958,15605
610,895112,15623
11,562572,15692
0,9,15695
0,26,15699
0,37,15703
0,629,15830
0,82,15943
0,0,16004
0,113,16030
0,275,16086
3,546,16265
0,2,16298
0,1,16314
2145,867840,16347
1,2388,16509
1590,882202,16552
0,243,16637
0,17,16700
1337,869140,16735
0,948,16814
2416,875696,17350
2795,894811,17639
90,899126,18106
1,2935,18403
11,415015,19016
1380,869407,19151
0,462,19551
2441,875686,19653
526,865231,19754
31,24682,19782
2223,866887,20080
52,895473,20130
32,895381,20205
0,92,20495
71,871136,20514
1,242965,20562
366,897229,20612
0,11,20704
0,25,20751
2433,882097,20764
485,866860,20811
2124,867563,20912
696,865944,20932
0,157,20940
0,136,21013
0,2,21099
1997,880237,21232
0,50,21263
0,1585,21320
0,2,21336
0,3,21360
0,330,21385
1491,898930,21412
0,55,21473
0,1,21478
4,864437,21700
24,18387,22388
1330,901222,22548
1028,867678,22652
0,33,22691
0,225,22822
2853,889036,23106
55,162147,23367
2672,910128,23673
652,120634,24115
8,4581,24441
2167,894594,24482
759,879471,24516
0,5,24592
0,33,24753
0,252,24875
0,1,24880
0,76,24953
2013,867633,24961
1,22,25061
2277,871112,25091
51,893949,25152
195,868130,25160
0,11,25198
2253,875446,25220
3,911174,25885
0,108,25933
5,893210,26073
0,162597,26162
0,2,26415
0,343,26744
2803,895579,27678
222,153188,28000
10,883249,28186
0,1029,28283
594,872376,28329
843,888848,28571
0,17,28589
774,700520,28634
0,7,28760
0,5,28788
72,318710,28792
934,875483,28917
2295,868530,29075
383,865669,29140
397,894515,29222
0,3,29438
0,2,29449
3,881771,29467
311,873564,29504
0,13,29527
0,51,29550
1471,879306,29680
1817,868880,29691
18,1531,29838
1679,725208,30132
24,864367,30286
3,2944,30844
0,6,30892
81,863753,30950
3,874876,31019
27,2729,31027
0,2124,31042
0,0,31122
20,13052,31133
0,68,31313
0,2,31383
0,6,31424
0,2,31449
97,1831,31500
21,87249,31554
0,90,31727
152,865124,31742
0,3,31800
12,6478,32098
0,6,32261
241,864725,32354
44,170393,32653
406,828901,32709
2,4287,32787
1,59,32869
0,60,32934
0,467,33132
2,64570,33823
0,5,33845
0,5652,33891
1,579583,34019
2059,868168,34177
2205,868628,34224
0,23,34245
657,881328,34288
0,48,34347
236,867124,34549
13,865290,34553
0,5,34723
0,11,34790
0,79,34800
2068,867777,34854
2624,901889,34927
588,867404,34968
0,134,35228
231,865294,35266
6,64928,35267
0,13,35313
7,2788,35320
0,14,35332
2267,870906,35360
2534,876431,35369
5,568468,35426
29,194972,35505
2523,630340,35598
2,421320,35600
0,1,35619
1,464,35699
0,77,35708
3,865734,35710
2815,901437,36236
3675,887252,36351
2404,909008,36924
0,27,36968
15,130,37053
0,2302,37100
2199,878256,37239
204,866337,37271
0,28,37314
1962,882162,37468
3,877451,37497
0,23,37546
0,3,37578
59,252134,37640
0,22,37650
7,2998,37662
42,239558,37680
28,97377,37704
2387,694906,37721
2604,884375,37989
2439,878603,38001
472,892630,38136
0,0,38173
0,223,38182
0,88,38496
2612,906745,38726
3178,899394,38880
19,895426,38883
0,86389,39107
1282,872460,39120
3,872115,39122
0,1,39202
3,865824,39351
2146,866587,39533
144,864729,39591
0,41,39651
26,142165,39668
0,2,39821
1,126,39912
1014,895753,40387
4,893728,40630
2400,874818,40934
35,865927,40994
0,7,41028
4436,881725,41095
77,864938,41157
3,867872,41327
0,0,41617
906,866658,41695
2433,902391,41722
306,863411,41805
2190,865622,41811
0,5,41953
0,2,42275
3,878780,42473
23,862470,42541
0,531,42708
0,0,42861
0,602,43100
0,67,43578
0,0,44030
1149,867295,44103
2760,907594,44393
0,87,44684
2679,889173,45352
12,895608,45437
0,6,45494
0,12,45634
1,1760,45896
246,864170,46450
2653,893452,46997
3,867590,47147
2175,862622,47251
0,51,47422
2756,902133,47441
907,874167,47692
78,866941,47787
659,380557,47957
20,7533,48147
290,191271,48292
317,867521,48362
19,899032,48550
363,411272,48571
0,0,48646
1799,870187,48821
30,899756,48919
10,865805,49102
5,893717,49134
0,7,49375
2410,879770,49420
2199,869418,49432
2130,866739,49434
0,8,49463
0,222,49544
4,865474,49605
2676,884712,49673
978,899001,49697
22,85737,49709
2613,900416,49752
1152,866791,49788
0,52,49835
89,864098,50300
810,866295,50304
5,4347,50384
3,882052,50628
2590,879670,50673
234,612239,50763
68,867471,50877
4,864666,51088
1080,874352,51184
3690,889446,51185
0,12,51333
2610,901669,51786
1792,898774,51873
298,326541,51999
2844,874431,52320
0,0,52720
2334,885335,52814
3,872399,52863
2175,878938,52873
0,5,52888
0,54,52940
2419,867782,53013
2170,877973,53070
0,220,53237
0,10,53274
116,861930,53767
427,865709,53828
0,11,54054
2561,881070,54574
3,894012,55222
2458,902248,55720
1954,897247,56430
0,8,56444
0,0,56662
2540,881360,56665
0,0,57050
2148,866695,57111
83,110083,57199
0,1,57351
1020,866646,57381
881,388582,57463
2508,891857,57695
5,865050,57821
1163,865688,57866
2614,872864,58057
0,1,58280
2050,898953,58299
2493,877311,58308
0,65,58500
976,876784,58511
