RPKI filtering threshold,212.8
Full feeder threshold,85914
rpki_invalids,pos,asn
0,0,42
242,100486,174
314,98575,209
0,0,286
339,107211,293
373,107451,513
13,103827,553
0,13,559
7,104210,680
308,103078,701
0,179,714
0,17,766
320,103930,852
5,104474,1103
0,0,1126
0,103544,1140
0,0,1221
0,0,1239
340,103273,1273
312,106768,1280
6,102396,1299
283,106634,1351
5,102725,1403
396,107680,1798
3,131,1836
0,62,1853
0,17,2018
0,0,2044
0,0,2116
0,94,2119
0,0,2152
5,104806,2497
1,21984,2500
317,111578,2516
318,107067,2518
0,0,2603
17,104834,2613
0,8,2686
0,23,2854
0,44,2856
0,3,2857
0,0,2895
0,0,2905
16,103186,2914
0,0,3130
47,104786,3214
0,104,3233
7,102689,3257
0,320,3267
1,104713,3277
217,105841,3280
0,101,3292
0,0,3301
0,0,3303
93,72755,3320
0,26,3327
293,107278,3333
0,0,3402
170,103173,3491
0,0,3549
0,0,3561
317,103949,3741
0,0,3856
0,2455,4134
166,106338,4181
0,0,4608
2,8998,4637
292,107534,4739
2,31,4775
7,104534,4777
18,107181,4826
0,2,4844
0,0,5056
0,0,5390
0,1,5392
0,5,5394
3,36221,5396
0,78,5400
0,0,5403
313,103516,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,9,5524
0,0,5583
0,0,5588
0,7,5602
18,102226,5645
0,0,5650
178,79883,6057
0,0,6067
0,0,6079
19,106215,6082
106,105612,6233
0,4,6391
0,0,6423
42,102716,6453
144,8427,6461
0,0,6539
326,103631,6667
523,108118,6720
0,172,6730
320,103316,6762
0,80,6774
0,0,6798
5,102754,6830
78,83,6866
20,106205,6881
309,106248,6894
171,103665,6908
1,104930,6939
6,102651,7018
0,1363,7195
415,107053,7489
0,0,7500
409,108411,7575
0,34904,7606
31,31791,7660
454,104230,7713
0,0,7795
0,63,8075
315,103834,8218
837,107245,8220
0,0,8224
0,0,8245
3,106669,8283
0,0,8289
0,1,8319
10,638,8359
0,11,8365
0,0,8387
0,0,8422
6,103308,8426
0,159,8447
17,103449,8455
0,13,8470
0,0,8492
11,138,8529
0,0,8551
0,0,8560
43,104807,8607
0,0,8648
0,0,8660
0,5,8674
0,100,8708
289,101685,8758
0,14,8763
0,199,8781
0,0,8816
0,3,8821
0,0,8851
0,0,8859
310,106935,8896
0,0,8897
1,193,8966
5,103568,9002
0,4,9009
0,0,9026
0,0,9031
0,0,9063
0,31,9264
0,0,9266
0,34,9268
449,107238,9304
0,631,9505
0,3,9583
0,4,9658
21,16291,9902
2,134,9930
51,102729,10102
0,144,10310
388,107856,11039
0,0,11403
31,2329,11537
0,0,11686
0,0,11708
0,0,12306
327,107566,12307
0,0,12350
0,9,12355
0,1,12401
0,8,12414
0,1,12470
0,0,12577
0,0,12605
277,103332,12637
0,0,12713
5,103409,12779
52,103404,12859
0,0,12895
0,1,12902
0,0,12956
0,0,12971
19,37185,13004
156,50028,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,0,13727
0,466,13760
326,106972,13786
308,107182,13830
0,0,14026
406,107946,14061
0,0,14361
0,0,14537
306,106990,14630
321,106420,14840
5,107782,14907
0,0,15008
0,18,15133
356,104532,15280
252,106518,15435
329,107073,15547
0,102532,15562
0,0,15600
8,106560,15605
386,104021,15623
16,61765,15692
0,2,15695
0,2,15699
0,0,15703
0,93,15830
0,11,15943
0,1,16004
0,0,16030
0,37,16086
0,0,16265
0,1,16298
0,0,16314
122,55160,16347
298,107601,16552
0,6,16637
0,1,16700
317,105908,16735
0,50,16814
314,103984,17350
632,109332,17639
5,106694,18106
1,466,18403
173,82829,19016
359,104728,19151
0,67,19551
364,107654,19653
231,88414,19754
0,0,19782
308,106791,20080
238,106182,20205
0,15,20495
0,1,20514
0,0,20562
252,103240,20612
0,0,20704
0,0,20751
378,106307,20764
313,103673,20811
241,106568,20912
313,106913,20932
0,23,20940
11,43547,20953
0,0,21013
0,0,21099
328,107499,21232
0,10,21263
0,229,21320
0,0,21336
0,0,21360
0,56,21385
331,107395,21412
0,0,21473
0,0,21478
0,0,22548
273,103160,22652
0,0,22691
0,0,22822
323,107244,23106
367,107402,23367
0,0,23673
0,33,24322
213,105434,24441
409,107503,24482
335,107461,24516
0,1,24592
0,0,24753
0,0,24875
0,0,24880
0,0,24931
0,0,24953
329,101958,24961
0,0,25061
223,103821,25091
21,107926,25152
308,103940,25160
0,1,25178
0,0,25198
310,107104,25220
0,0,25885
0,9,25933
