RPKI filtering threshold,217.8
Full feeder threshold,75435
rpki_invalids,pos,asn
0,0,42
297,90213,174
440,90169,209
1,92299,286
378,95872,293
175,68065,513
112,93147,553
0,12,559
370,93465,680
349,92336,701
0,162,714
0,18,766
351,93254,852
1,93708,1103
0,0,1126
1,90469,1140
0,0,1221
0,0,1239
382,92769,1273
397,95771,1280
2,92378,1299
339,95625,1351
1,92277,1403
587,96777,1798
0,119,1836
0,60,1853
0,13,2018
0,0,2044
0,0,2116
0,96,2119
0,0,2152
431,93374,2497
4,21097,2500
364,100180,2516
360,95763,2518
0,0,2603
512,95901,2613
0,9,2686
0,20,2854
0,40,2856
529,95834,2857
0,0,2895
0,0,2905
92,92907,2914
0,0,3130
41,93784,3214
0,61,3233
10,92351,3257
0,389,3267
214,95859,3277
539,96496,3280
0,95,3292
0,0,3301
0,0,3303
0,26,3327
336,95976,3333
0,0,3402
303,93011,3491
0,0,3549
0,0,3561
350,93459,3741
0,0,3856
0,1352,4134
197,95296,4181
0,0,4608
112,6219,4637
302,96261,4739
5,29,4775
424,93001,4777
0,0,4780
465,96153,4826
0,2,4844
0,0,5056
0,0,5390
0,1,5392
0,5,5394
0,35317,5396
0,75,5400
0,0,5403
346,92828,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5503
0,0,5511
0,9,5524
0,0,5583
0,0,5588
0,7,5602
13,91844,5645
0,0,5650
316,92584,5769
130,44498,6057
0,0,6067
0,0,6079
95,92299,6082
33,94259,6233
0,4,6391
0,0,6423
47,92177,6453
86,7003,6461
0,0,6539
477,93080,6667
247,96589,6720
0,149,6730
355,92813,6762
0,65,6774
0,0,6798
451,92751,6830
77,82,6866
295,95521,6881
356,95702,6894
311,93367,6908
4,94116,6939
4,92214,7018
0,804,7195
557,95911,7489
0,0,7500
482,96340,7575
0,34182,7606
65,29561,7660
592,93565,7713
0,0,7795
0,62,8075
358,92949,8218
809,96056,8220
0,0,8224
0,0,8245
23,95626,8283
0,2,8319
0,0,8339
1,602,8359
0,11,8365
0,0,8387
0,0,8422
350,93013,8426
0,158,8447
36,92959,8455
0,12,8470
0,0,8492
5,150,8529
0,0,8551
0,0,8560
47,93797,8607
0,0,8648
0,0,8660
0,5,8674
0,56,8708
53,52384,8758
0,13,8763
0,154,8781
0,0,8816
0,3,8821
0,0,8851
0,0,8859
372,95691,8896
0,0,8897
5,62,8966
414,93332,9002
0,2,9009
0,0,9026
0,0,9031
0,0,9063
0,31,9264
0,0,9266
0,32,9268
475,96412,9304
3,421,9505
0,3,9583
0,2,9658
36,24028,9902
2,74,9930
55,92215,10102
0,127,10310
582,96675,11039
31,2392,11537
0,0,11686
0,0,11708
0,0,12306
3,95814,12307
0,0,12350
0,11,12355
0,1,12401
0,7,12414
0,0,12577
0,0,12605
333,93118,12637
0,0,12713
1,92730,12779
121,92772,12859
0,0,12895
0,1,12902
0,0,12956
0,0,12971
19,36030,13004
298,46250,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,0,13727
0,406,13760
451,96182,13786
350,95938,13830
0,0,14026
485,96567,14061
0,0,14537
343,95763,14630
340,83716,14840
3,96246,14907
0,0,15008
0,18,15133
294,95513,15435
337,95709,15547
1,92187,15562
0,0,15600
387,95969,15605
0,2,15695
0,2,15699
0,0,15703
0,86,15830
0,9,15943
0,1,16004
0,5,16030
0,39,16086
0,0,16265
0,1,16298
0,0,16314
470,96467,16552
0,0,16570
0,6,16637
0,1,16700
376,94786,16735
0,47,16814
0,3,17639
11,95831,18106
0,431,18403
183,71919,19016
510,94489,19151
0,66,19551
507,96502,19653
253,82832,19754
0,0,19782
496,95851,20080
345,95315,20205
0,17,20495
0,1,20514
0,0,20562
322,93928,20612
0,0,20704
0,0,20751
443,95206,20764
346,92965,20811
294,95436,20912
345,95789,20932
0,22,20940
291,92656,20953
0,0,21013
0,0,21099
483,96244,21232
0,10,21263
0,224,21320
0,0,21336
0,0,21360
0,60,21385
0,0,21473
0,0,21478
0,0,22548
345,92828,22652
0,0,22691
0,0,22822
428,95905,23106
507,96460,23367
0,0,23673
0,0,24115
339,94508,24441
551,95977,24482
212,96030,24516
0,1,24592
0,0,24753
439,93138,24875
0,0,24880
0,0,24931
0,0,24953
404,93092,24961
0,0,25061
374,95848,25091
428,95690,25152
293,92695,25160
0,1,25178
355,95804,25220
0,16,25933
5,94045,26073
3,42603,26162
0,2,26415
0,6,26744
0,0,27446
0,0,27678
99,35982,28000
4,97425,28186
0,0,28220
0,151,28283
