RPKI filtering threshold,722.8000000000001
Full feeder threshold,636658
rpki_invalids,pos,asn
1,119,42
38,800045,174
2464,802571,209
12,801398,286
2479,823849,293
816,521377,513
2323,811135,553
0,125,559
2461,805075,680
2444,801488,701
0,882,714
0,134,766
2458,805142,852
18,805772,1103
0,4,1126
1124,457715,1140
14,802300,1221
2258,800946,1239
0,0,1273
2480,824574,1280
11,801112,1299
1322,822189,1351
13,804836,1403
2540,809512,1798
0,150,1836
0,286,1853
412,823050,1916
0,398,2018
0,30,2044
6,455,2116
0,839,2119
2510,804207,2152
2512,812270,2497
0,736,2500
56,5833,2516
2272,805689,2518
0,1866,2603
2548,807711,2613
0,538,2686
0,265,2854
0,777,2856
0,0,2857
2534,810892,2895
14,16259,2905
330,802717,2914
14,799635,3130
184,281821,3214
113,146186,3233
34,802374,3257
2495,810206,3267
2496,810208,3277
2567,832026,3280
2455,804250,3292
0,857,3301
13,805217,3303
0,246,3327
2495,809252,3333
2445,802746,3402
1954,808075,3491
2497,803037,3549
2498,802927,3561
2717,808060,3741
0,1,3856
40,15983,4134
1284,801915,4181
2596,815085,4608
343,55524,4637
1192,821954,4739
119,604,4775
2573,814256,4777
2,1590,4780
2527,825637,4826
0,9,4844
0,281,5056
0,8,5390
2498,804635,5392
875,806347,5394
2520,804853,5396
1,1456,5400
0,24,5403
2536,805010,5413
0,1,5418
0,17,5430
0,0,5459
0,73,5466
0,18,5503
384,108818,5511
0,20,5524
0,34,5583
4,2082,5588
2525,805026,5602
47,685058,5645
2455,803836,5650
709,803059,5769
610,160284,6057
0,16,6067
11,802522,6079
175,801093,6082
408,336859,6233
0,44,6391
2516,808473,6423
599,801487,6453
539,66446,6461
295,196011,6539
2665,806253,6667
2515,826871,6720
3,540,6730
2508,804660,6762
1,2453,6774
0,6,6798
2481,804778,6830
0,164,6866
136,819988,6881
2580,813270,6894
2465,804357,6908
179,820631,6939
132,800786,7018
14,816952,7195
2451,807647,7489
2579,806948,7500
2600,814245,7575
5,79055,7606
424,691550,7660
2097,813380,7713
0,380,7795
0,295,8075
2511,808075,8218
1848,808187,8220
0,4,8224
0,71,8245
18,806671,8283
0,14,8319
0,34,8339
7,7474,8359
0,69,8365
0,19,8387
0,113,8422
2571,805899,8426
0,1312,8447
57,804762,8455
0,65,8470
2579,816610,8492
1,224,8529
2,3142,8551
0,322,8560
2514,804822,8607
0,7,8648
2559,806553,8660
0,48,8674
1,1113,8708
2591,813911,8758
0,0,8763
0,758,8781
0,10,8816
0,17,8821
0,33,8851
0,8,8859
2492,806052,8896
0,49,8897
10,3549,8966
2554,808056,9002
0,6,9009
0,4,9026
0,74,9031
0,148,9063
0,0,9264
1,4038,9266
0,175,9268
2474,808809,9304
54,4757,9505
16,2070,9583
2,439,9658
756,173499,9902
12,613,9930
0,0,10102
0,207,10310
2535,809599,11039
32,20945,11537
2494,822937,11686
2473,830772,11708
0,3,11995
0,80,12306
17,812621,12307
406,804105,12350
0,14,12355
0,0,12401
0,18,12414
2407,804734,12470
0,8,12577
0,27,12605
412,800371,12637
3,1727,12713
13,801850,12779
410,803067,12859
0,2,12895
0,2,12902
126,39282,12956
0,7,12971
65,114498,13004
1695,752127,13030
0,10,13041
0,156,13101
0,67,13189
1320,804399,13237
0,176,13285
0,11,13727
1,2053,13760
2506,822756,13786
2432,825310,13830
0,2,14026
2719,814879,14061
2489,805239,14361
2542,806126,14537
2589,831732,14630
0,2,14633
2464,816696,14840
14,813602,14907
47,800691,15008
0,39,15133
1042,803005,15435
2552,812726,15547
3,800809,15562
0,137,15600
2533,813618,15605
0,17,15695
0,29,15699
0,53,15703
1,622,15830
0,72,15943
0,0,16004
0,106,16030
0,262,16086
3,421,16265
0,2,16298
0,1,16314
2636,821282,16347
2560,811280,16552
0,11,16570
0,287,16637
0,13,16700
2469,808433,16735
8,961,16814
0,188,17451
2879,817047,17639
1225,824146,18106
79,2714,18403
86,475966,19016
2480,808563,19151
0,207,19551
2483,808697,19653
661,804415,19754
34,21868,19782
2455,804151,20080
2411,821913,20205
0,100,20495
15,805690,20514
959,246947,20562
2599,815447,20612
0,11,20704
0,27,20751
2594,814926,20764
2495,805698,20811
55,801636,20912
2492,805945,20932
0,134,20940
728,802801,20953
0,121,21013
0,2,21099
2541,812957,21232
0,31,21263
0,1572,21320
0,2,21336
0,3,21360
0,390,21385
0,45,21473
0,1,21478
2498,829534,22548
2461,807240,22652
0,64,22691
0,239,22822
2528,823873,23106
2479,807688,23367
2694,836048,23673
751,102870,24115
1928,767311,24441
2002,825899,24482
947,808072,24516
0,5,24592
0,66,24753
2375,728997,24875
0,1,24880
0,95,24953
2538,808924,24961
1,25,25061
2532,808745,25091
715,820220,25152
452,804817,25160
0,0,25178
2545,811323,25220
0,215,25933
