RPKI filtering threshold,174.8
Full feeder threshold,81048
rpki_invalids,pos,asn
0,0,42
19,96636,174
455,95406,209
0,0,286
478,103490,293
524,103704,513
0,99938,553
0,13,559
2,99830,680
436,99326,701
0,174,714
0,18,766
457,100040,852
0,100688,1103
0,0,1126
0,100017,1140
0,0,1221
0,0,1239
481,99595,1273
449,103192,1280
1,99073,1299
302,103006,1351
0,99011,1403
669,104178,1798
0,108,1836
0,60,1853
0,15,2018
0,0,2044
0,0,2116
0,94,2119
0,0,2152
0,101014,2497
2,21751,2500
457,107723,2516
457,103248,2518
0,0,2603
8,43943,2613
0,9,2686
0,17,2854
0,41,2856
0,3,2857
0,0,2895
0,0,2905
74,99520,2914
0,0,3130
44,101333,3214
0,79,3233
2,98933,3257
0,416,3267
497,104153,3277
299,103940,3280
0,101,3292
0,0,3301
0,0,3303
135,71127,3320
0,26,3327
389,103676,3333
0,0,3402
177,99574,3491
0,0,3549
0,0,3561
455,100073,3741
0,0,3856
0,1420,4134
274,102794,4181
0,0,4608
234,8071,4637
260,103935,4739
2,30,4775
3,100780,4777
55,103358,4826
0,2,4844
0,0,5056
0,0,5390
0,1,5392
0,5,5394
0,37538,5396
0,77,5400
0,0,5403
453,99644,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,9,5524
0,0,5583
0,0,5588
0,7,5602
9,98491,5645
0,0,5650
119,46663,6057
0,0,6067
0,0,6079
77,102621,6082
88,102106,6233
0,4,6391
0,0,6423
39,98996,6453
215,8855,6461
0,0,6539
484,99792,6667
661,104314,6720
0,172,6730
461,99642,6762
0,236,6774
0,0,6798
2,99030,6830
78,83,6866
15,102613,6881
173,99209,6894
459,100091,6908
0,101477,6939
1,98936,7018
0,1279,7195
552,103268,7489
0,0,7500
549,104895,7575
0,36281,7606
50,31004,7660
561,100405,7713
0,0,7795
0,61,8075
449,100093,8218
869,103648,8220
0,0,8224
0,0,8245
33,103088,8283
0,2,8319
0,581,8359
0,12,8365
0,0,8387
0,0,8422
5,99466,8426
0,137,8447
32,99712,8455
0,13,8470
0,0,8492
50,207,8529
0,0,8551
0,0,8560
40,101358,8607
0,0,8648
0,0,8660
0,5,8674
0,75,8708
322,96700,8758
0,13,8763
0,177,8781
0,0,8816
0,3,8821
0,0,8851
0,0,8859
467,103198,8896
0,0,8897
0,61,8966
0,99675,9002
0,2,9009
0,0,9026
0,0,9031
0,0,9063
0,31,9264
0,0,9266
0,32,9268
531,103295,9304
0,630,9505
0,3,9583
0,4,9658
19,16388,9902
2,84,9930
48,98993,10102
0,135,10310
630,104116,11039
0,0,11403
34,2319,11537
0,0,11686
0,0,11708
0,0,12306
0,103427,12307
0,0,12350
0,11,12355
0,1,12401
0,8,12414
0,0,12577
0,0,12605
365,99671,12637
0,0,12713
0,99661,12779
110,99670,12859
0,0,12895
0,1,12902
0,0,12956
0,0,12971
68,38320,13004
229,48762,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,0,13727
0,479,13760
469,103384,13786
442,103433,13830
0,0,14026
522,104137,14061
0,0,14361
0,0,14537
442,103216,14630
469,102460,14840
0,104112,14907
0,0,15008
0,18,15133
604,100839,15280
28,102603,15435
478,103324,15547
0,98861,15562
0,0,15600
3,102811,15605
594,100174,15623
74,53472,15692
0,2,15695
0,2,15699
0,0,15703
0,85,15830
0,10,15943
0,1,16004
0,0,16030
0,38,16086
0,0,16265
0,1,16298
0,0,16314
137,53305,16347
488,103844,16552
0,0,16570
0,6,16637
0,1,16700
489,102092,16735
0,50,16814
0,3,17639
1,103060,18106
150,77919,19016
606,101058,19151
0,66,19551
607,103895,19653
144,87464,19754
0,0,19782
451,103238,20080
445,102724,20205
0,15,20495
0,1,20514
0,0,20562
399,99068,20612
0,0,20704
0,0,20751
531,102599,20764
450,99752,20811
29,102579,20912
451,103152,20932
0,22,20940
14,45033,20953
0,0,21013
0,0,21099
200,103523,21232
0,10,21263
0,228,21320
0,0,21336
0,0,21360
0,59,21385
463,103604,21412
0,0,21473
0,0,21478
0,0,22548
292,99360,22652
0,0,22691
0,0,22822
500,103270,23106
603,103857,23367
0,0,23673
0,0,24115
0,6,24322
217,101796,24441
473,104192,24482
238,103645,24516
0,1,24592
0,0,24753
0,0,24875
0,0,24880
0,0,24931
0,0,24953
471,99640,24961
0,0,25061
364,99920,25091
79,104234,25152
447,100056,25160
0,1,25178
448,103324,25220
0,0,25885
0,14,25933
0,0,26073
0,44310,26162
0,2,26415
