RPKI filtering threshold,291.8
Full feeder threshold,124324
rpki_invalids,pos,asn
0,0,42
63,150728,209
345,154863,293
917,156230,513
17,154561,553
234,72522,559
120,154515,680
762,154097,701
0,233,714
0,16,766
46,154485,852
10,156401,1103
0,0,1126
8,154295,1140
10,154228,1239
0,15,1241
871,154380,1273
774,160082,1280
10,153273,1299
0,0,1351
10,153468,1403
1103,161369,1798
871,159572,1828
0,34,1836
0,70,1853
1,21,2018
543,159786,2027
0,0,2044
0,0,2116
0,146,2119
0,0,2152
10,157247,2497
11,28444,2500
4637,165766,2516
0,0,2518
0,0,2603
32,160113,2613
0,12,2686
0,18,2854
1,71,2856
0,3,2857
14,149589,2914
0,0,3130
576,154841,3170
419,160170,3214
0,0,3216
0,102,3233
160,153719,3257
1,46,3267
944,161734,3280
0,107,3292
0,0,3301
0,0,3303
88,134067,3320
0,23,3327
11,159494,3333
9,154218,3399
10,153975,3491
0,0,3549
0,0,3561
0,0,3741
0,0,3856
6,1956,4134
364,158209,4181
0,0,4608
3,14333,4637
803,161442,4739
5,284,4775
25,156819,4777
1,583,4788
10,159645,4826
0,2,4844
0,0,5390
0,1,5392
0,4,5394
0,0,5396
1,112,5400
0,0,5403
115,153716,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,9,5524
0,65,5578
0,0,5583
0,6,5602
0,29,5603
944,154054,5645
0,0,5650
831,161035,6057
0,0,6079
187,149639,6082
434,160681,6233
0,2,6325
0,3,6391
0,0,6423
378,153666,6453
850,155161,6461
68,154333,6667
0,11,6677
1185,161216,6720
776,154370,6762
0,186,6774
0,0,6798
9,153569,6830
20,26,6866
453,148784,6894
372,155256,6908
42,158007,6939
10,153294,7018
0,3771,7195
888,159959,7489
0,0,7500
1092,162245,7575
1,50088,7606
29,42505,7660
1041,157089,7713
0,0,7795
0,66,8075
839,155096,8218
435,159667,8220
0,0,8224
0,0,8245
110,159953,8283
12,160422,8298
0,3,8319
5,381,8359
0,15,8365
0,0,8387
0,41,8400
0,0,8422
11,154952,8426
0,127,8447
14,154481,8455
0,15,8470
0,0,8492
0,1019,8529
0,0,8551
0,0,8560
108,157473,8607
0,0,8648
0,0,8660
0,4,8674
0,102,8708
10,159894,8758
0,17,8763
0,353,8781
3,24830,8803
0,0,8816
0,5,8821
0,0,8851
0,0,8859
434,161411,8888
101,154200,8896
21,435,8966
10,154868,9002
0,6,9009
0,0,9026
0,0,9031
0,0,9063
35,962,9121
0,31,9264
0,0,9266
1069,156676,9268
1256,161235,9304
0,0,9318
0,602,9505
0,3,9583
0,5,9658
22,28177,9902
1,124,9930
16,200,10075
0,128,10310
1100,161500,11039
2,371,11164
0,0,11403
0,0,11537
0,0,11686
0,0,11708
10,159765,12307
0,0,12350
0,9,12355
0,1,12401
0,9,12414
0,0,12470
0,0,12577
0,0,12605
572,159772,12637
0,0,12713
11,154640,12779
69,154344,12859
0,0,12895
0,1,12902
0,0,12956
903,160136,12969
131,56734,13004
617,155227,13030
0,2,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
1,284,13335
0,0,13727
918,155708,13760
10,160394,13786
53,159707,13830
0,0,14026
0,0,14041
839,162041,14061
8,80738,14315
0,0,14537
119,159934,14630
3,58285,14840
10,160647,14907
0,20,15133
6,59822,15280
200,159090,15435
450,159796,15547
1,148995,15562
0,0,15600
42,159894,15605
584,160471,15623
13,84192,15692
0,2,15695
0,4,15699
0,0,15703
0,103,15830
0,13,15943
0,1,16004
0,0,16030
0,47,16086
0,0,16265
0,1,16298
0,0,16314
120,85948,16347
3,2052,16509
693,162038,16552
0,10,16637
0,2,16700
810,157050,16735
224,155299,17350
1371,163786,17639
155,163719,18106
1,509,18403
9,52939,19016
665,156613,19151
993,161257,19653
0,0,19754
0,0,19782
777,160118,20080
0,0,20130
58,156951,20205
0,106,20495
0,1,20514
0,0,20562
106,160570,20612
0,0,20704
0,0,20751
61,156988,20764
382,154697,20811
850,162594,20912
157,159953,20932
0,32,20940
0,0,21013
0,0,21099
18,54884,21232
0,15,21263
0,223,21320
0,0,21336
0,0,21360
0,70,21385
385,160444,21412
0,0,21473
0,0,21478
10,158947,21700
101,6443,22388
0,0,22548
530,154070,22652
232,156669,23106
366,160229,23367
1211,165670,23673
1,188,23764
0,0,24115
0,50,24441
933,160237,24482
666,160828,24516
0,1,24592
0,0,24753
0,19,24875
0,0,24880
0,0,24953
635,155242,24961
0,0,25061
842,155765,25091
0,0,25139
54,161825,25152
138,154861,25160
