RPKI filtering threshold,984.0
Full feeder threshold,712125
rpki_invalids,pos,asn
0,121,42
243,894408,209
1858,930041,293
3114,903738,513
345,896814,553
589,387530,559
251,896473,680
2506,895342,701
0,1114,714
245,897231,852
334,909984,1103
0,5,1126
174,534427,1140
336,894907,1239
0,163,1241
0,0,1273
2923,930080,1280
257,871169,1299
2007,929756,1351
213,904650,1403
2972,908706,1798
2355,917772,1828
0,189,1836
0,306,1853
0,446,2018
201,196007,2027
0,22,2044
0,512,2116
0,1115,2119
1804,897861,2152
248,911039,2497
0,676,2500
12,5731,2516
2717,900418,2518
0,1875,2603
337,901494,2613
0,551,2686
1,202,2854
0,0,2857
215,896557,2914
364,896150,3130
1193,897417,3170
1097,905576,3214
3117,902755,3216
407,189735,3233
356,902171,3257
1686,902887,3267
3356,933484,3280
214,896550,3292
0,908,3301
384,925970,3303
2542,896888,3320
0,270,3327
335,912064,3333
212,896027,3399
335,898002,3491
344,894295,3549
244,893741,3561
1560,900596,3741
0,1,3856
212,895225,4181
3081,935783,4608
8,69952,4637
42,1554,4775
2833,915502,4777
65,3963,4788
387,927758,4826
0,11,4844
0,7,5390
254,894083,5392
1410,901579,5394
2593,898574,5396
0,24,5403
1729,896948,5413
0,1,5418
0,47,5430
0,0,5459
0,54,5466
20,139981,5511
0,20,5524
0,435,5578
0,30,5583
2600,898591,5602
1,190,5603
2809,900291,5645
303,895415,5650
3032,927505,6057
266,895660,6079
361,897120,6082
1375,906175,6233
0,170,6325
0,39,6391
3032,899025,6423
776,895174,6453
2816,907308,6461
282,896239,6667
2972,931054,6720
2643,898508,6762
0,2232,6774
0,5,6798
210,895544,6830
0,189,6866
2760,913054,6894
1612,898740,6908
416,928568,6939
214,894658,7018
0,8904,7195
3240,930490,7500
3122,915072,7575
19,111767,7606
433,731611,7660
3048,913833,7713
0,351,7795
1,401,8075
2951,908107,8218
472,900666,8220
0,4,8224
0,41,8245
820,900476,8283
375,931369,8298
0,12,8319
13,6134,8359
0,67,8365
0,16,8387
2,1183,8400
366,897785,8426
0,1469,8447
338,896774,8455
0,82,8470
3144,915735,8492
0,137,8529
0,4385,8551
0,304,8560
0,7,8648
2011,898971,8660
0,51,8674
0,1089,8708
338,929648,8758
0,0,8763
1,803,8781
385,928697,8803
0,10,8816
0,20,8821
0,7,8859
1137,917627,8888
24,4992,8966
210,897257,9002
0,25,9009
0,3,9026
0,46,9031
0,129,9063
66,13853,9121
0,0,9264
94,164293,9266
3116,913338,9268
2182,905256,9304
3,3544,9505
24,3347,9583
5,496,9658
1286,198458,9902
5,1046,9930
7,1196,10075
0,356,10310
3015,910243,11039
4,5364,11164
0,30,11403
44,22428,11537
2876,923027,11686
0,6,11708
0,75,12306
588,897437,12350
0,5,12355
0,0,12401
0,23,12414
0,2,12470
0,14,12577
0,14,12605
465,895621,12637
0,1022,12713
335,896671,12779
571,905858,12859
0,2,12895
0,3,12902
15,47774,12956
486,175035,13004
3157,900602,13030
2,135,13101
0,1,13150
0,50,13189
1756,899006,13237
12,3339,13335
0,14,13727
2976,901820,13760
362,911500,13786
213,896428,13830
0,2,14026
213,895701,14041
2643,915320,14061
407,337078,14315
1949,899259,14537
794,896756,14630
29,205938,14840
334,915940,14907
0,44,15133
21,190034,15280
1588,897355,15435
1420,929349,15547
169,894769,15562
0,156,15600
335,928742,15605
1416,929092,15623
171,547482,15692
0,9,15695
0,30,15703
2,656,15830
0,132,15943
0,0,16004
0,287,16086
5,606,16265
0,2,16298
0,1,16314
707,897494,16347
7,5912,16509
2003,917852,16552
0,252,16637
0,17,16700
3012,901089,16735
2791,908225,17350
4347,935555,17639
1626,934028,18106
49,172117,19016
2603,903882,19151
991,928853,19653
1204,897056,19754
59,26844,19782
2702,899272,20080
510,928971,20130
498,929111,20205
0,68,20495
392,904578,20514
0,2814,20562
796,932024,20612
0,16,20704
0,24,20751
458,910993,20764
1179,898704,20811
2552,899988,20912
1539,897996,20932
0,246,20940
1,139,21013
3202,913918,21232
0,60,21263
1,1819,21320
0,2,21336
0,1,21360
0,309,21385
1917,932394,21412
0,52,21473
0,1,21478
213,895750,21700
39,18576,22388
3045,934803,22548
1485,899543,22652
1489,918289,23106
549,897194,23367
4430,949500,23673
12,3891,23764
1245,209349,24115
0,671,24441
3218,919996,24482
1460,912180,24516
0,13,24753
3,327,24875
0,1,24880
0,42,24953
2755,899628,24961
3036,902452,25091
0,22,25139
445,927269,25152
631,899559,25160
0,21,25198
2729,908722,25220
333,895990,25291
3710,921508,25885
0,0,25933
0,2,26415
0,337,26744
3266,928960,27678
410,364630,28000
339,918780,28186
0,676,28283
9,3391,28329
0,39,28571
3243,860267,28634
0,7,28760
0,6,28788
1633,906598,28917
2723,900029,29075
858,897024,29140
1117,928508,29222
0,3,29438
0,2,29449
336,914235,29467
771,905445,29504
0,4,29505
3094,901063,29691
17,1618,29838
2076,778886,30132
348,895830,30286
133,3210,30844
287,895113,30950
20,148947,31019
0,2118,31042
12,12431,31133
0,69,31313
0,2,31383
0,6,31424
0,2,31449
4,2759,31500
18,65100,31554
470,896470,31742
0,3,31800
33,7146,32098
229,181328,32653
1189,910921,32709
1,52,32869
0,56,32934
1,422,33132
17,64439,33823
0,5,33845
0,6559,33891
336,932482,34019
899,898151,34177
2956,923051,34224
1362,914539,34288
0,37,34347
596,898185,34549
0,3,34615
0,7,34723
0,7,34790
2766,899859,34800
2665,899477,34854
1484,935560,34927
986,897742,34968
583,896627,35266
23,63809,35267
382,914745,35280
0,19,35313
0,3558,35320
0,18,35332
300,310059,35360
2997,908783,35369
137,439255,35426
63,198907,35505
3267,932721,35598
137,431839,35600
278,888439,35619
0,83,35708
334,903610,35710
338,937689,36236
4920,922286,36351
2931,918494,36924
0,29,36968
0,148,37053
299,897965,37100
3607,938575,37239
482,898382,37271
0,24,37314
2380,910987,37468
343,915271,37497
0,29,37546
0,3,37578
610,213331,37640
0,42,37650
91,3666,37662
384,148382,37680
0,20,37697
25,105446,37704
3028,916489,37721
3303,918621,37989
3002,910644,38001
196,892319,38136
0,0,38173
0,231,38182
0,74,38496
3543,914535,38726
3421,933082,38880
546,928182,38883
24,96966,39107
329,903893,39120
324,897381,39122
335,892774,39351
421,896048,39591
83,152127,39668
0,2,39821
0,131,39912
3021,931342,40387
336,927211,40630
124,350685,40934
380,900345,40994
1,8,41028
412,931867,41047
3152,914151,41095
315,896011,41157
335,898841,41327
0,0,41617
35,194589,41666
1863,898074,41695
3148,915010,41722
905,345395,41805
2897,895862,41811
0,6,41953
0,5,42275
267,911718,42473
339,884820,42541
0,539,42708
0,0,42861
0,483,43100
0,0,44030
3074,911145,44103
3296,941651,44393
0,88,44684
3409,923235,45352
356,927561,45437
9,760,45489
0,3,45494
68,1411,45896
417,895467,46450
1852,910126,46997
335,897010,47147
2789,894885,47251
1,43,47422
3222,934637,47441
1092,906368,47692
401,919454,47787
1039,434772,47957
0,6,48070
33,7651,48147
601,138450,48292
820,899400,48362
344,930390,48550
187,459947,48571
0,0,48646
341,899076,48821
342,927884,48919
234,897254,49102
418,928991,49134
0,5,49375
2322,909789,49420
2809,901484,49432
2934,908675,49434
0,8,49463
0,292,49544
335,896894,49605
3393,915914,49673
60,93085,49709
1973,898736,49788
490,897340,50300
1280,896165,50304
3,3995,50384
333,914744,50628
335,897827,50629
2895,909350,50673
592,646715,50763
339,899374,50877
211,895836,51088
1517,906544,51184
3207,923292,51185
0,5,51333
113,128,51375
318,892686,51519
336,928920,51786
3034,932910,51873
702,903429,52320
3196,923454,52814
302,908323,52873
0,5,52888
707,290744,53046
3011,909863,53070
0,20,53274
524,882209,53767
1409,898991,53828
0,11,54054
373,927521,55222
3256,942697,55720
0,5,56381
2798,931120,56430
0,0,56662
5095,916765,56665
1,17941,57050
2692,901807,57111
0,1,57351
1272,896340,57381
1350,424414,57463
3791,924573,57695
333,913772,57777
44,895014,57821
212,897737,57866
2909,902786,58057
0,2,58280
3373,932786,58299
3050,909545,58308
0,68,58500
1762,907186,58511
0,170,58601
577,251548,58682
1510,194078,58952
170,31173,59318
3063,930653,59414
2982,912180,59605
0,10,59816
335,898084,59890
467,927189,59891
2688,902226,59919
0,123,60169
5,387,60171
0,1134,60326
3071,904565,60501
3344,916348,61138
2747,899629,61218
0,8,61232
743,202555,61292
3290,937028,61568
3102,930742,61573
2977,920451,61595
3287,923716,61832
1629,612399,61955
0,10,62166
367,912493,62167
0,26,62955
25,116703,63055
0,126,63516
259,596547,63920
400,899651,63927
2967,904473,63956
0,0,64116
0,0,64271
