RPKI filtering threshold,869.2
Full feeder threshold,694686
rpki_invalids,pos,asn
0,121,42
64,877402,209
1749,910595,293
2702,887237,513
56,879790,553
282,372582,559
71,878653,680
2450,878221,701
0,1064,714
0,121,766
98,879042,852
47,883656,1103
0,5,1126
13,530547,1140
56,879509,1221
44,878088,1239
0,0,1273
2936,910841,1280
141,877882,1299
1631,910129,1351
54,878681,1403
2969,883119,1798
1550,900210,1828
0,191,1836
0,280,1853
0,450,2018
43,195082,2027
0,30,2044
0,501,2116
0,1108,2119
1644,880327,2152
2476,896157,2497
0,682,2500
8,5548,2516
2746,881944,2518
0,1806,2603
2692,887790,2613
0,550,2686
4,882,2856
0,0,2857
62,879182,2914
56,878968,3130
1029,880222,3170
1504,891436,3214
2873,885814,3216
293,187032,3233
67,878841,3257
1287,882096,3267
3062,916463,3280
53,878382,3292
0,873,3301
107,904966,3303
2587,879937,3320
0,267,3327
54,885862,3333
45,878974,3399
56,882972,3491
92,876511,3549
50,876315,3561
2144,884058,3741
0,1,3856
67,13288,4134
57,862040,4181
2985,918927,4608
3,77551,4637
1785,910333,4739
15,1412,4775
2718,897966,4777
28,3884,4788
54,908719,4826
0,11,4844
0,7,5390
75,878269,5392
921,882755,5394
2600,881517,5396
1,1772,5400
0,24,5403
1575,879623,5413
0,1,5418
0,60,5430
0,0,5459
0,67,5466
0,19,5503
15,145438,5511
0,20,5524
0,32,5583
2591,881437,5602
1,262,5603
2897,741245,5645
67,877982,5650
2937,895137,6057
71,878494,6079
122,879506,6082
448,880929,6233
0,167,6325
0,39,6391
243,878052,6423
677,878194,6453
776,127033,6461
2302,880961,6667
2664,911789,6720
2637,881002,6762
2,2728,6774
0,5,6798
62,878835,6830
0,182,6866
2675,895471,6894
1417,881825,6908
63,908426,6939
166,877339,7018
1,7798,7195
2625,882085,7489
2789,911208,7500
3083,892400,7575
1,102774,7606
505,720111,7660
2248,888721,7713
0,403,7795
0,318,8075
2985,891172,8218
326,882148,8220
0,4,8224
0,42,8245
234,883268,8283
109,910867,8298
0,13,8319
100,7031,8359
0,72,8365
0,13,8387
1,1153,8400
0,103,8422
68,880563,8426
0,1139,8447
55,880630,8455
3067,898678,8492
0,1548,8529
0,2137,8551
0,294,8560
343,651961,8607
0,7,8648
1805,881779,8660
0,49,8674
0,1068,8708
57,910502,8758
0,0,8763
2,717,8781
0,10,8816
0,20,8821
0,40,8851
0,8,8859
626,879642,8896
19,5303,8966
53,879484,9002
0,14,9009
0,3,9026
0,52,9031
0,130,9063
0,0,9264
6,159638,9266
3104,888339,9268
1500,886256,9304
0,6650,9318
9,2443,9505
21,3217,9583
2,486,9658
799,193817,9902
4,1189,9930
0,352,10310
2952,883849,11039
2,5411,11164
0,31,11403
17,21819,11537
2911,903922,11686
207,882806,11708
2575,913157,12307
380,880038,12350
0,8,12355
0,0,12401
0,21,12414
0,2,12470
0,14,12577
0,16,12605
116,877611,12637
0,892,12713
40,879631,12779
436,880957,12859
0,2,12895
1,3,12902
259,45724,12956
468,165856,13004
2386,883160,13030
0,10,13041
0,124,13101
0,51,13189
1729,882160,13237
0,173,13285
3,2855,13335
0,15,13727
2456,882819,13760
63,897062,13786
53,878791,13830
0,2,14026
54,878153,14041
1792,889156,14061
157,331322,14315
1277,881579,14537
2856,897113,14630
2490,893133,14840
54,897847,14907
0,44,15133
5,180942,15280
1606,880251,15435
889,909760,15547
6,877326,15562
0,123,15600
40,908906,15605
912,909516,15623
31,578994,15692
0,9,15695
0,26,15699
0,27,15703
4,663,15830
0,86,15943
0,0,16004
0,122,16030
0,282,16086
3,575,16265
0,2,16298
0,1,16314
1452,881159,16347
1,2378,16509
1550,889577,16552
0,301,16637
0,17,16700
2762,884267,16735
2912,882794,17350
3755,911922,17639
760,915818,18106
2,2974,18403
15,416133,19016
1928,884272,19151
0,464,19551
2892,882401,19653
773,880469,19754
22,25907,19782
2566,881526,20080
148,909333,20130
67,909258,20205
0,59,20495
140,886962,20514
0,1434,20562
556,911017,20612
0,7,20704
0,25,20751
987,881530,20811
2509,882251,20912
979,880513,20932
0,168,20940
1,139,21013
0,2,21099
2344,895436,21232
0,53,21263
0,1703,21320
0,2,21336
0,2,21360
0,322,21385
2164,913519,21412
0,51,21473
0,1,21478
40,878417,21700
16,18351,22388
2643,916792,22548
1476,882231,22652
0,22,22691
0,217,22822
2867,895308,23106
273,878657,23367
3801,926249,23673
804,129030,24115
8,4319,24441
2233,901059,24482
1033,886483,24516
0,5,24592
0,13,24753
0,270,24875
0,1,24880
0,75,24953
2348,882519,24961
1,21,25061
2729,886023,25091
0,32,25139
75,907652,25152
178,882389,25160
2625,891242,25220
49,900704,25885
0,0,25933
4,169192,26162
0,2,26415
0,364,26744
3059,904537,27678
316,177267,28000
58,894052,28186
0,1010,28283
100,891668,28329
2768,914856,28571
0,17,28589
2240,779847,28634
0,9,28760
0,5,28788
126,333209,28792
2647,883437,29075
476,879945,29140
880,908904,29222
0,3,29438
0,2,29449
53,896793,29467
304,888171,29504
0,4,29505
0,13,29527
0,51,29550
1562,892320,29680
2363,883853,29691
11,1412,29838
1925,744745,30132
104,878355,30286
3,2914,30844
0,13,30892
160,877662,30950
52,888966,31019
63,2351,31042
0,0,31122
92,13319,31133
0,70,31313
0,2,31383
0,6,31424
0,2,31449
115,3173,31500
8,65804,31554
0,94,31727
117,879036,31742
0,3,31800
7,7113,32098
0,7,32261
96,175528,32653
457,812496,32709
1,4733,32787
1,50,32869
0,59,32934
0,473,33132
7,65312,33823
0,5,33845
0,6122,33891
40,912864,34019
1430,882107,34177
2673,884087,34224
0,23,34245
1164,896533,34288
0,49,34347
273,887805,34549
0,5,34723
0,11,34790
2522,882844,34854
2971,919055,34927
804,881692,34968
0,118,35228
276,879210,35266
70,65549,35267
0,19,35313
1,3770,35320
0,15,35332
2714,885810,35360
2973,891723,35369
14,521356,35426
32,195889,35505
12,430114,35600
50,865885,35619
0,501,35699
0,74,35708
8,886522,35710
3296,909937,36236
4346,894042,36351
2584,899407,36924
0,28,36968
13,140,37053
61,880606,37100
3189,894891,37239
370,880829,37271
0,24,37314
3318,898080,37468
41,903283,37497
0,30,37546
0,3,37578
37,262474,37640
0,22,37650
20,3622,37662
100,233943,37680
25,98437,37704
2843,732941,37721
3224,902657,37989
2991,885231,38001
5,253897,38136
0,0,38173
0,226,38182
0,71,38496
3257,922497,38726
3744,913854,38880
66,909193,38883
5,88816,39107
1115,886079,39120
38,880379,39122
0,1,39202
51,878410,39351
2509,881273,39533
248,878741,39591
0,43,39651
111,143083,39668
1,129,39912
1726,910313,40387
42,907625,40630
132,359273,40934
271,883102,40994
1,8,41028
2513,893359,41095
105,878799,41157
40,881423,41327
5,194201,41666
1565,880517,41695
368,323560,41805
2553,879193,41811
0,6,41953
0,3,42275
128,896446,42473
62,873272,42541
0,533,42708
0,0,42861
0,439,43100
0,66,43578
2510,891929,44103
3147,922385,44393
0,105,44684
3320,904999,45352
70,909705,45437
0,6,45494
378,1853,45896
283,878075,46450
3318,895841,46997
74,880194,47147
2741,877993,47251
0,57,47422
878,888565,47692
40,893963,47787
487,413095,47957
14,7563,48147
3075,915016,48166
366,159763,48292
580,882296,48362
40,912708,48550
232,427938,48571
0,0,48646
2225,884915,48821
44,912231,48919
73,879764,49102
46,909252,49134
0,7,49375
2337,892987,49420
2776,884676,49432
0,8,49463
0,272,49544
53,879847,49605
3132,897741,49673
62,911972,49697
29,96266,49709
1608,881883,49788
0,52,49835
271,879415,50300
1152,880013,50304
5,4154,50384
54,897235,50628
2949,891950,50673
314,634225,50763
40,882469,50877
48,878695,51088
1185,888878,51184
3912,904964,51185
0,6,51333
40,911028,51786
0,4,51809
2260,913144,51873
482,880824,52320
2894,907640,52814
52,885572,52863
2495,894244,52873
0,5,52888
2810,880846,53013
2699,891944,53070
0,220,53237
0,16,53274
187,873642,53767
788,881354,53828
0,11,54054
2969,895905,54574
55,907943,55222
3157,924059,55720
0,2,56381
2385,911338,56430
0,8,56444
0,0,56662
3061,896613,56665
2597,881316,57111
0,1,57351
1343,880519,57381
733,403533,57463
3025,910085,57695
57,904904,57777
49,879462,57821
56,878775,57866
2800,893073,58057
0,2,58280
2553,912940,58299
2933,892405,58308
0,66,58500
1160,891564,58511
1,205,58601
83,33068,58682
855,178388,58952
150,28961,59318
2347,910697,59414
2674,899740,59605
56,907756,59715
0,12,59816
40,881000,59890
2477,912967,59891
2504,885783,59919
4,6321,60082
0,122,60169
0,258,60171
2781,912258,60501
2743,883020,61218
409,194125,61292
