RPKI filtering threshold,297.2
Full feeder threshold,155604
rpki_invalids,pos,asn
0,0,42
60,176181,174
59,181602,209
784,198349,293
874,189251,513
12,184738,553
616,89438,559
12,185097,680
11,183989,701
0,337,714
0,19,766
581,185413,835
78,185281,852
27,194518,917
21,197619,955
0,5,983
3,4345,1003
347,64089,1031
21,192623,1103
0,0,1126
20,187017,1140
21,197345,1221
21,185154,1239
0,16,1241
0,0,1257
863,185057,1273
466,197346,1280
11,184014,1299
107,197242,1351
11,184118,1403
0,3,1798
822,194852,1828
0,105,1836
0,85,1853
2,22,2018
841,200575,2027
0,0,2044
0,0,2116
0,0,2152
11,187953,2497
861,199123,2500
4707,203920,2516
767,198256,2518
0,0,2603
48,197957,2613
0,10,2686
0,14,2854
0,56,2856
0,3,2857
12,180320,2914
22,197333,3130
663,185739,3170
257,198369,3212
21,197099,3214
0,0,3216
0,86,3233
15,184584,3257
1,35,3267
1,120,3292
0,0,3301
0,0,3303
151,173599,3320
0,29,3327
21,197601,3333
21,184989,3399
11,184913,3491
0,0,3549
0,0,3561
0,0,3741
0,0,3856
5,2045,4134
190,195386,4181
0,3,4455
0,0,4608
1,18600,4637
11,221,4775
108,187307,4777
5,802,4788
0,0,4805
24,197485,4826
0,2,4844
0,9,4862
0,0,5390
0,1,5392
0,98,5400
0,0,5403
12,47086,5405
0,31,5408
685,184969,5413
0,1037,5416
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,8,5524
0,73,5578
0,2,5583
0,25,5603
0,30,5610
11,184100,5645
749,194419,6057
0,0,6079
119,180288,6082
161,197812,6233
0,2,6325
37,194838,6360
0,2,6391
0,0,6423
184,184082,6453
596,185765,6461
11,184503,6667
0,14,6677
730,198631,6720
829,185128,6762
0,324,6774
0,0,6798
20,184120,6830
0,30,6866
20,197357,6881
177,186186,6894
601,186356,6908
20,195070,6939
19,183979,7018
0,5949,7195
0,0,7500
940,198437,7575
199,186148,7594
37,59282,7606
129,191546,7660
2444,188624,7713
8,5938,7721
0,0,7795
0,103,8075
33,184852,8218
9,188918,8220
0,0,8224
0,0,8245
132,197866,8283
0,0,8289
124,198348,8298
0,3,8319
1,465,8359
0,13,8365
0,0,8387
0,42,8400
0,0,8422
19,185123,8426
0,151,8447
13,184981,8455
0,17,8470
0,453,8529
0,0,8551
0,0,8560
193,194649,8607
0,0,8648
0,0,8660
0,5,8674
0,89,8708
0,49895,8714
17,191748,8758
0,15,8763
0,1456,8781
0,29428,8803
0,0,8816
0,6,8851
113,198740,8888
775,186121,8896
23,1198,8966
19,190779,9002
0,6,9009
0,0,9026
0,0,9031
0,0,9063
24,986,9121
0,31,9264
0,0,9266
0,0,9268
1312,198492,9304
0,939,9505
23,1279,9583
0,4,9658
376,45583,9902
1,127,9930
48,279,10075
0,118,10310
723,199197,11039
0,400,11164
794,199104,11399
0,0,11403
1,7846,11537
0,0,11686
0,0,11708
0,0,12306
20,197539,12307
0,0,12350
0,9,12355
0,1,12401
0,7,12414
0,0,12470
0,0,12577
0,0,12605
72,197066,12637
0,0,12713
21,184615,12779
22,186673,12859
0,0,12895
0,9,12897
0,1,12902
17,183957,12956
908,198098,12969
35,66434,13004
10,184261,13030
0,2,13041
21,196999,13058
0,0,13101
0,0,13150
0,0,13189
0,0,13237
0,0,13285
1,512,13335
0,0,13727
150,186170,13760
742,185891,13781
9,186922,13786
21,197233,13830
0,0,14026
0,0,14041
975,187266,14061
124,184338,14315
0,0,14537
97,197718,14630
846,189912,14840
99,198759,14907
0,25,15133
1,70607,15280
0,0,15301
597,197564,15435
613,198681,15547
2,179757,15562
0,0,15600
21,197625,15605
511,198031,15623
8,103239,15692
0,2,15695
0,4,15699
0,0,15703
0,216,15802
0,128,15830
0,3,15962
0,9,15994
0,1,16004
390,397,16010
0,0,16030
0,40,16086
0,0,16265
0,0,16298
0,0,16314
103,108013,16347
3,3289,16509
1087,201642,16552
0,5,16637
0,4,16700
1022,194486,16735
223,185871,17350
9,1043,17557
1376,199533,17639
625,191997,17766
25,198929,18106
1,357,18403
0,4,19016
846,187095,19151
75,197188,19529
205,197848,19653
84,149822,19754
0,0,19782
844,197843,20080
0,0,20130
62,190414,20205
3,751,20473
0,193,20495
0,1,20514
0,0,20562
126,198197,20612
0,0,20704
0,0,20751
21,185804,20764
20,185045,20811
782,191880,20912
196,197783,20932
0,123,20940
0,0,21013
0,0,21099
13,64787,21232
0,15,21263
2,8,21277
1135,202150,21282
0,234,21320
0,0,21336
0,0,21360
