RPKI filtering threshold,410.0
Full feeder threshold,153401
rpki_invalids,pos,asn
0,0,42
59,172729,174
77,178303,209
849,194571,293
1212,185306,513
7,181754,553
149,84680,559
5,181759,680
13,180687,701
0,331,714
0,19,766
635,182144,835
61,181978,852
2010,196214,924
1,64903,945
4,193426,955
0,5,983
3,4246,1003
874,177907,1031
4,188957,1103
0,0,1126
4,182658,1140
4,193078,1221
4,181342,1239
0,16,1241
0,0,1257
1224,182084,1273
712,193351,1280
4,180685,1299
112,193039,1351
4,180697,1403
853,194962,1798
891,191609,1828
0,102,1836
0,85,1853
2,22,2018
1795,183806,2027
0,0,2044
0,0,2116
0,137,2119
0,0,2152
4,184587,2497
1075,194860,2500
4988,200100,2516
1034,194346,2518
0,0,2603
29,193717,2613
0,10,2686
0,15,2854
0,54,2856
0,3,2857
5,176915,2914
21,192819,3130
708,182463,3170
298,194174,3212
4,192876,3214
0,0,3216
0,84,3233
11,181473,3257
0,33,3267
0,116,3292
0,0,3301
0,0,3303
257,169840,3320
0,32,3327
4,193572,3333
4,181419,3399
4,181645,3491
0,0,3549
0,0,3561
0,0,3741
0,0,3856
5,2032,4134
549,191572,4181
0,3,4455
0,0,4608
1,17657,4637
12,223,4775
108,183935,4777
5,796,4788
0,0,4805
8,193329,4826
0,2,4844
0,9,4862
0,0,5390
0,1,5392
0,0,5394
0,95,5400
0,0,5403
0,31,5408
761,181741,5413
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,8,5524
0,72,5578
0,2,5583
3,28,5610
4,180816,5645
921,190812,6057
0,0,6079
98,176806,6082
229,193682,6233
0,2,6325
0,2,6391
0,0,6423
275,180850,6453
637,182102,6461
4,181184,6667
0,14,6677
836,194501,6720
1140,182163,6762
1,355,6774
5,37165,6777
0,0,6798
93,180885,6830
0,28,6866
0,0,6881
278,182089,6894
621,182566,6908
21,190997,6939
5,180652,7018
0,5824,7195
0,0,7500
1104,195966,7575
37,57842,7606
250,188696,7660
2887,186018,7713
53,4779,7721
0,0,7795
0,101,8075
5,181477,8218
374,185845,8220
0,0,8224
0,0,8245
65,183560,8283
0,0,8289
28,194001,8298
0,3,8319
9,425,8359
0,13,8365
0,0,8387
4,47,8400
0,0,8422
4,181602,8426
0,136,8447
6,181633,8455
0,17,8470
0,0,8492
0,455,8529
0,0,8551
0,0,8560
237,190629,8607
0,0,8648
0,0,8660
0,5,8674
0,87,8708
0,50288,8714
12,188205,8758
0,14,8763
80,1448,8781
2,29089,8803
0,0,8816
0,21,8821
0,6,8851
0,0,8859
183,194960,8888
169,181728,8896
21,604,8966
4,187346,9002
0,7,9009
0,0,9026
0,0,9031
0,0,9063
26,1063,9121
0,28,9264
0,0,9266
0,0,9268
1520,194556,9304
0,890,9505
110,993,9583
0,4,9658
560,45393,9902
1,131,9930
35,175,10075
0,121,10310
801,195079,11039
0,405,11164
873,194784,11399
0,0,11403
1,7826,11537
0,0,11686
0,0,11708
0,0,12306
4,193322,12307
0,0,12350
0,9,12355
0,1,12401
0,9,12414
0,0,12470
0,0,12577
0,0,12605
66,192836,12637
0,0,12713
4,181893,12779
7,182365,12859
0,0,12895
0,9,12897
0,1,12902
11,180635,12956
1255,194223,12969
54,65916,13004
120,181516,13030
0,2,13041
4,192732,13058
0,0,13101
0,0,13150
0,0,13189
0,0,13237
0,0,13285
1,537,13335
0,0,13727
257,182459,13760
772,182590,13781
4,183851,13786
4,193021,13830
0,0,14026
0,0,14041
1015,183981,14061
122,181020,14315
0,0,14537
116,193526,14630
1164,186537,14840
83,194516,14907
0,25,15133
92,68475,15280
0,0,15301
698,193303,15435
654,194519,15547
2,176315,15562
0,0,15600
4,193395,15605
431,193753,15623
2,100680,15692
0,2,15695
0,4,15699
0,223,15802
0,116,15830
0,14,15943
0,3,15962
0,1,16004
390,397,16010
0,0,16030
0,39,16086
0,0,16265
0,1,16298
0,0,16314
159,105889,16347
4,3202,16509
1359,197886,16552
0,7,16637
0,3,16700
1297,190448,16735
135,182450,17350
8,1067,17557
1576,195659,17639
9,194599,18106
960,183868,19151
81,192933,19529
232,193650,19653
68,149877,19754
0,0,19782
1147,193941,20080
0,0,20130
74,187873,20205
3,763,20473
1,224,20495
0,1,20514
0,0,20562
129,194027,20612
0,0,20704
0,0,20751
4,182381,20764
40,181627,20811
1137,194540,20912
212,193584,20932
0,124,20940
0,0,21013
0,0,21099
17,63265,21232
0,15,21263
2,8,21277
1502,198286,21282
0,234,21320
0,0,21336
0,0,21360
0,50,21385
