RPKI filtering threshold,171.0
Full feeder threshold,77882
rpki_invalids,pos,asn
0,0,42
52,92220,174
438,91594,209
0,0,286
465,99391,293
502,99613,513
1,95375,553
0,13,559
4,96060,680
431,95412,701
0,163,714
0,18,766
440,96225,852
2,96896,1103
0,0,1126
0,96203,1140
0,0,1221
0,0,1239
465,95756,1273
432,99152,1280
2,95229,1299
261,98893,1351
2,95224,1403
647,100059,1798
0,57,1836
0,60,1853
0,14,2018
0,0,2044
0,0,2116
0,95,2119
0,0,2152
435,97672,2497
2,21633,2500
442,103624,2516
439,99211,2518
0,0,2603
8,97122,2613
0,9,2686
0,17,2854
0,41,2856
522,99092,2857
0,0,2895
0,0,2905
81,95679,2914
0,0,3130
42,97091,3214
0,78,3233
3,95169,3257
0,495,3267
472,100082,3277
448,99936,3280
0,101,3292
0,0,3301
0,0,3303
165,68666,3320
0,26,3327
348,99590,3333
0,0,3402
260,95743,3491
0,0,3549
0,0,3561
438,96450,3741
0,0,3856
0,1398,4134
233,98692,4181
0,0,4608
213,9237,4637
239,99777,4739
2,29,4775
52,97012,4777
0,0,4780
55,99324,4826
0,2,4844
0,0,5056
0,0,5390
0,1,5392
0,5,5394
0,35990,5396
0,77,5400
0,0,5403
431,95842,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,9,5524
0,0,5583
0,0,5588
0,7,5602
10,94699,5645
0,0,5650
129,46204,6057
0,0,6067
0,0,6079
83,98566,6082
88,97835,6233
0,4,6391
0,0,6423
48,95157,6453
187,8827,6461
0,0,6539
466,95973,6667
641,100267,6720
0,162,6730
452,95798,6762
0,82,6774
0,0,6798
106,95330,6830
82,87,6866
210,99176,6881
434,99163,6894
411,96249,6908
3,97261,6939
5,95073,7018
0,1134,7195
651,99350,7489
0,0,7500
535,99937,7575
0,35129,7606
66,30593,7660
547,96634,7713
0,0,7795
0,62,8075
436,96186,8218
843,99527,8220
0,0,8224
0,0,8245
45,99028,8283
0,2,8319
0,625,8359
0,11,8365
0,0,8387
0,0,8422
20,95617,8426
0,158,8447
32,95879,8455
0,13,8470
0,0,8492
28,161,8529
0,0,8551
0,0,8560
45,97139,8607
0,0,8648
0,0,8660
0,5,8674
0,74,8708
272,95542,8758
0,13,8763
0,169,8781
0,0,8816
0,3,8821
0,0,8851
0,0,8859
449,99140,8896
0,0,8897
0,63,8966
2,95816,9002
0,2,9009
0,0,9026
0,0,9031
0,0,9063
0,31,9264
0,0,9266
0,31,9268
530,99425,9304
1,629,9505
0,3,9583
0,4,9658
35,16290,9902
2,82,9930
59,95191,10102
0,135,10310
0,1,10848
651,100089,11039
37,2308,11537
0,0,11686
0,0,11708
0,0,12306
1,99527,12307
0,0,12350
0,11,12355
0,1,12401
0,8,12414
0,1,12470
0,0,12577
0,0,12605
322,95834,12637
0,0,12713
2,95928,12779
110,95906,12859
0,0,12895
0,1,12902
0,0,12956
0,0,12971
49,36762,13004
313,48488,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,0,13727
0,464,13760
448,99357,13786
426,99366,13830
0,0,14026
528,97769,14061
0,0,14361
0,0,14537
426,99155,14630
439,98360,14840
2,99910,14907
0,0,15008
0,18,15133
60,98622,15435
461,99261,15547
0,95006,15562
0,0,15600
4,98783,15605
569,96328,15623
80,52179,15692
0,2,15695
0,2,15699
0,0,15703
0,85,15830
0,10,15943
0,1,16004
0,0,16030
0,38,16086
0,0,16265
0,1,16298
0,0,16314
154,51135,16347
459,99834,16552
0,0,16570
0,6,16637
0,1,16700
468,98235,16735
0,48,16814
0,3,17639
61,98991,18106
1,442,18403
12,41083,19016
578,97214,19151
0,66,19551
573,99838,19653
107,85441,19754
0,0,19782
431,99179,20080
428,98696,20205
0,15,20495
0,1,20514
0,0,20562
141,96164,20612
0,0,20704
0,0,20751
509,98511,20764
432,95913,20811
61,99151,20912
431,99116,20932
0,23,20940
7,43006,20953
0,0,21013
0,0,21099
283,99584,21232
0,10,21263
0,227,21320
0,0,21336
0,0,21360
0,61,21385
446,99543,21412
0,0,21473
0,0,21478
0,0,22548
436,95886,22652
0,0,22691
0,0,22822
469,99061,23106
570,99808,23367
0,0,23673
0,0,24115
0,7,24322
294,97892,24441
425,100167,24482
268,99601,24516
0,1,24592
0,0,24753
0,0,24875
0,0,24880
0,0,24931
0,0,24953
456,96377,24961
0,0,25061
370,99127,25091
433,100508,25152
429,96196,25160
0,1,25178
432,99257,25220
0,0,25885
0,12,25933
2,98667,26073
