RPKI filtering threshold,250.8
Full feeder threshold,88271
rpki_invalids,pos,asn
0,0,42
21,102469,174
20,100518,209
0,0,286
146,109168,293
272,109498,513
15,106064,553
0,13,559
9,106388,680
427,105419,701
0,185,714
0,18,766
10,105720,852
7,106861,1103
0,0,1126
7,105406,1140
0,0,1221
0,0,1239
465,105635,1273
431,109239,1280
7,105156,1299
248,108980,1351
7,105070,1403
599,110135,1798
1,133,1836
0,61,1853
0,17,2018
0,0,2044
0,0,2116
0,94,2119
0,0,2152
7,108632,2497
3,22227,2500
441,113807,2516
439,109292,2518
0,0,2603
18,107276,2613
0,8,2686
0,23,2854
0,45,2856
0,3,2857
0,0,2895
0,0,2905
67,105619,2914
0,0,3130
78,105344,3170
58,106900,3214
0,101,3233
10,105114,3257
6,367,3267
264,110073,3277
363,110022,3280
0,101,3292
0,0,3301
0,0,3303
53,75781,3320
0,26,3327
424,109783,3333
0,0,3402
48,105306,3491
0,0,3549
0,0,3561
435,106117,3741
0,0,3856
0,2508,4134
222,108788,4181
0,0,4608
6,8442,4637
609,110304,4739
2,31,4775
11,108317,4777
8,109345,4826
38,108859,4842
0,2,4844
0,0,5056
0,0,5390
0,1,5392
0,4,5394
8,37038,5396
0,80,5400
0,0,5403
70,105319,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,10,5524
0,0,5583
0,0,5588
0,7,5602
18,104550,5645
0,0,5650
262,66862,6057
0,0,6067
0,0,6079
70,108661,6082
105,108080,6233
0,2,6325
0,4,6391
0,0,6423
42,105049,6453
216,8876,6461
0,0,6539
270,105617,6667
650,110403,6720
0,171,6730
443,105747,6762
0,89,6774
0,0,6798
7,105159,6830
67,72,6866
19,108657,6881
253,107951,6894
290,106110,6908
7,107444,6939
8,104985,7018
0,1391,7195
536,109181,7489
0,0,7500
847,111376,7575
6,35834,7606
47,15296,7660
839,106990,7713
0,0,7795
0,68,8075
451,106219,8218
1153,109926,8220
0,0,8224
0,0,8245
9,108944,8283
0,0,8289
0,1,8319
9,656,8359
0,11,8365
0,0,8387
0,0,8422
8,105472,8426
1,155,8447
20,105567,8455
0,13,8470
0,0,8492
3,148,8529
0,0,8551
0,0,8560
45,107248,8607
0,0,8648
0,0,8660
0,5,8674
0,97,8708
261,107923,8758
0,14,8763
0,199,8781
0,0,8816
0,3,8821
0,0,8851
0,0,8859
237,108997,8896
0,0,8897
1,194,8966
7,105673,9002
0,4,9009
0,0,9026
0,0,9031
0,0,9063
1,31,9264
0,0,9266
0,34,9268
913,110022,9304
0,655,9505
0,3,9583
0,4,9658
51,20611,9902
2,135,9930
51,105062,10102
0,149,10310
590,110218,11039
0,341,11164
0,0,11403
36,2504,11537
0,0,11686
0,0,11708
0,0,12306
153,109416,12307
0,0,12350
0,9,12355
0,1,12401
0,8,12414
0,1,12470
0,0,12577
0,0,12605
311,108999,12637
0,0,12713
7,105875,12779
102,105752,12859
0,0,12895
0,1,12902
0,0,12956
0,0,12971
15,38034,13004
169,50306,13030
0,3,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
0,0,13727
0,502,13760
7,109083,13786
89,109114,13830
0,0,14026
720,110277,14061
0,0,14361
0,0,14537
78,108943,14630
465,108705,14840
7,109906,14907
0,0,15008
0,18,15133
332,106775,15280
51,108677,15435
259,109133,15547
0,104858,15562
0,0,15600
452,109315,15605
324,109258,15623
65,63211,15692
0,2,15695
0,2,15699
0,0,15703
0,93,15830
0,11,15943
0,1,16004
0,0,16030
0,49,16086
0,0,16265
0,1,16298
0,0,16314
131,57482,16347
674,110225,16552
0,6,16637
0,1,16700
481,108161,16735
0,116,16814
101,105878,17350
1093,111954,17639
7,109153,18106
1,467,18403
30,42706,19016
335,107108,19151
0,67,19551
563,110133,19653
463,88745,19754
0,0,19782
441,109306,20080
0,0,20130
20,108294,20205
0,15,20495
0,1,20514
0,0,20562
99,105377,20612
0,0,20704
0,0,20751
621,108649,20764
214,105620,20811
30,108695,20912
62,108782,20932
0,23,20940
24,44530,20953
0,0,21013
0,0,21099
144,109370,21232
0,12,21263
0,226,21320
0,0,21336
0,0,21360
0,56,21385
94,109310,21412
0,0,21473
0,0,21478
7,108571,21700
0,0,22548
250,105395,22652
0,0,22691
0,0,22822
502,109618,23106
14,108832,23367
0,0,23673
0,14,24322
90,105927,24441
719,110782,24482
568,110059,24516
0,1,24592
0,0,24753
0,0,24875
0,0,24880
0,0,24931
0,0,24953
259,105659,24961
295,106036,25091
372,112040,25152
