RPKI filtering threshold,753.6
Full feeder threshold,644667
rpki_invalids,pos,asn
1,119,42
2185,809068,174
2538,811537,209
36,810706,286
2546,834281,293
778,524816,513
1275,818651,553
0,125,559
2559,814697,680
2524,810883,701
0,886,714
0,160,766
2540,814091,852
39,817386,1103
0,4,1126
25,460989,1140
39,813839,1221
375,808128,1239
0,0,1273
2605,835050,1280
38,809954,1299
2342,833431,1351
37,813710,1403
2603,818520,1798
0,159,1836
0,290,1853
0,399,2018
0,30,2044
6,455,2116
0,828,2119
2581,813446,2152
2605,821585,2497
0,734,2500
6,5708,2516
2523,814766,2518
0,1886,2603
2600,821081,2613
0,541,2686
0,265,2854
1,756,2856
0,0,2857
2620,819965,2895
11,8818,2905
387,810958,2914
45,809146,3130
192,286167,3214
126,152224,3233
40,810418,3257
2589,819356,3267
2590,819344,3277
2717,844570,3280
2561,813473,3292
0,1109,3301
36,814303,3303
0,252,3327
2576,820532,3333
2520,811787,3402
2314,817362,3491
2567,812244,3549
2565,811711,3561
2780,816885,3741
0,1,3856
43,13285,4134
1259,810769,4181
2733,838320,4608
394,57573,4637
1551,832595,4739
13,1159,4775
2672,823385,4777
2,1585,4780
2619,835772,4826
0,9,4844
0,271,5056
0,8,5390
2566,813775,5392
897,817272,5394
2592,814031,5396
2,1436,5400
0,24,5403
2586,814163,5413
0,1,5418
0,17,5430
0,0,5459
0,18,5503
297,108568,5511
0,20,5524
0,40,5583
4,1965,5588
2596,814034,5602
59,690362,5645
2528,813149,5650
2219,812836,5769
634,167783,6057
0,16,6067
2489,813421,6079
272,809613,6082
220,346701,6233
0,40,6391
2559,813115,6423
1134,810503,6453
536,71621,6461
396,199119,6539
2699,814914,6667
308,834693,6720
3,543,6730
2613,813696,6762
2,2296,6774
0,6,6798
2558,813935,6830
0,162,6866
2180,832395,6881
2647,822435,6894
1591,812746,6908
75,830653,6939
87,809791,7018
0,4417,7195
318,811652,7489
2676,816132,7500
2701,822241,7575
1,82917,7606
584,695474,7660
2608,822821,7713
0,396,7795
0,295,8075
2572,816892,8218
2116,817291,8220
0,4,8224
0,67,8245
97,815537,8283
0,14,8319
0,34,8339
14,7147,8359
0,69,8365
0,19,8387
0,115,8422
2636,815546,8426
0,1289,8447
100,813471,8455
0,63,8470
3475,826658,8492
1,229,8529
3,1496,8551
0,277,8560
2558,813989,8607
0,7,8648
2593,815521,8660
0,48,8674
0,1370,8708
2642,822818,8758
0,0,8763
1,805,8781
0,10,8816
0,17,8821
0,41,8851
0,8,8859
2561,814888,8896
0,44,8897
9,3421,8966
2628,817188,9002
0,6,9009
0,4,9026
0,74,9031
0,152,9063
0,0,9264
0,1484,9266
0,187,9268
2686,817296,9304
31,3510,9505
16,1881,9583
2,474,9658
767,170077,9902
14,714,9930
0,0,10102
0,216,10310
2619,817806,11039
30,20259,11537
2569,832706,11686
2556,841071,11708
0,80,12306
42,821846,12307
2222,814568,12350
0,8,12355
0,0,12401
0,18,12414
0,8,12577
0,29,12605
2256,811189,12637
1,1183,12713
38,810920,12779
461,812075,12859
0,2,12895
0,2,12902
150,38637,12956
0,7,12971
97,119696,13004
1800,754313,13030
0,10,13041
0,155,13101
0,68,13189
1329,813623,13237
0,176,13285
0,12,13727
0,2114,13760
2607,828818,13786
2529,834968,13830
0,2,14026
3006,826130,14061
2598,814988,14537
2696,840303,14630
2575,824175,14840
38,822550,14907
2193,811244,15008
0,39,15133
2239,813278,15435
2645,821818,15547
2,809271,15562
0,137,15600
2622,822414,15605
0,18,15695
0,29,15699
0,51,15703
1,616,15830
0,76,15943
0,0,16004
0,107,16030
0,239,16086
5,435,16265
0,2,16298
0,1,16314
2651,822305,16552
0,11,16570
0,290,16637
0,15,16700
2560,816764,16735
14,1074,16814
2882,854053,17639
98,833785,18106
79,2704,18403
75,412472,19016
2548,817049,19151
0,255,19551
2570,816991,19653
2297,814636,19754
32,21267,19782
2561,813386,20080
2507,832464,20205
0,99,20495
42,814769,20514
753,212653,20562
2642,823429,20612
0,11,20704
0,27,20751
2687,824069,20764
2553,814924,20811
2536,813586,20912
2562,814717,20932
0,143,20940
2195,813256,20953
0,119,21013
0,2,21099
2606,821757,21232
0,31,21263
0,1596,21320
0,2,21336
0,3,21360
1,386,21385
0,45,21473
0,1,21478
2570,838731,22548
2517,815754,22652
0,68,22691
0,239,22822
2634,832343,23106
2556,816460,23367
2766,846880,23673
754,101040,24115
2321,775482,24441
2541,834198,24482
873,819347,24516
0,5,24592
0,35,24753
2392,731829,24875
0,1,24880
0,22,24931
0,91,24953
2585,814765,24961
1,21,25061
2584,817967,25091
795,830820,25152
2242,813920,25160
0,0,25178
2608,820105,25220
0,103,25933
41,834948,26073
6,145108,26162
0,2,26415
0,234,26744
2520,831930,27446
3120,828903,27678
0,127,28000
