RPKI filtering threshold,860.0
Full feeder threshold,692949
rpki_invalids,pos,asn
0,121,42
19,875967,209
1664,908516,293
2586,885691,513
12,878664,553
275,376039,559
32,877314,680
2521,876727,701
0,1075,714
0,121,766
51,877993,852
12,889148,1103
0,5,1126
824,530702,1140
19,883651,1221
66,876500,1239
0,0,1273
2780,908584,1280
39,876371,1299
1614,908205,1351
12,883719,1403
2906,887793,1798
1517,898462,1828
0,182,1836
0,284,1853
0,453,2018
41,193608,2027
0,30,2044
0,499,2116
0,853,2119
1639,879131,2152
17,891823,2497
0,689,2500
18,5479,2516
2554,880430,2518
0,1807,2603
2620,887538,2613
1,555,2686
1,194,2854
4,899,2856
0,0,2857
1131,884262,2895
15,877993,2914
67,877738,3130
911,879021,3170
1491,889904,3214
2813,884481,3216
280,186341,3233
34,877481,3257
1182,880865,3267
3182,915141,3280
12,877400,3292
0,862,3301
31,904373,3303
2426,878614,3320
0,259,3327
12,891425,3333
12,877384,3399
42,881244,3491
70,875525,3549
19,875253,3561
2050,882830,3741
0,1,3856
79,13354,4134
780,876712,4181
2887,916647,4608
1,78444,4637
1615,908273,4739
29,1424,4775
2586,896548,4777
31,3563,4788
12,906801,4826
0,9,4844
0,7,5390
49,877215,5392
817,881374,5394
2450,880070,5396
1,1762,5400
0,24,5403
1505,878629,5413
0,1,5418
0,60,5430
0,0,5459
0,67,5466
0,19,5503
28,135065,5511
0,21,5524
0,32,5583
2461,880056,5602
1,276,5603
2724,741139,5645
35,876932,5650
2917,900367,6057
27,877404,6079
71,878413,6082
403,879666,6233
0,166,6325
0,39,6391
115,876995,6423
505,876494,6453
798,125630,6461
2269,879917,6667
2555,909484,6720
2653,879628,6762
2,2894,6774
0,5,6798
35,877493,6830
0,194,6866
2575,894020,6894
1430,880434,6908
12,906407,6939
146,876034,7018
1,7712,7195
2581,880601,7489
2562,909386,7500
3013,897050,7575
0,108096,7606
451,716411,7660
2041,895109,7713
0,419,7795
0,318,8075
2917,889190,8218
281,880929,8220
0,4,8224
0,42,8245
242,882613,8283
103,909750,8298
0,13,8319
21,7239,8359
0,68,8365
0,13,8387
0,1162,8400
0,103,8422
42,879316,8426
0,1136,8447
17,879620,8455
0,82,8470
2973,897099,8492
0,1541,8529
3,2144,8551
0,277,8560
330,646006,8607
0,7,8648
1770,880660,8660
0,49,8674
0,1103,8708
30,909536,8758
0,0,8763
0,710,8781
0,10,8816
0,20,8821
0,40,8851
0,8,8859
1313,879770,8896
20,5000,8966
12,878421,9002
0,13,9009
0,3,9026
0,52,9031
0,148,9063
0,0,9264
5,163072,9266
2916,893200,9268
1471,885091,9304
0,6519,9318
15,2567,9505
26,3117,9583
18,479,9658
746,176105,9902
4,1188,9930
0,352,10310
2893,888545,11039
2,5334,11164
0,29,11403
19,21674,11537
2872,902158,11686
110,881849,11708
2599,912320,12307
380,878993,12350
0,8,12355
0,0,12401
0,21,12414
0,2,12470
0,14,12577
0,16,12605
69,876490,12637
0,916,12713
12,878610,12779
334,885650,12859
0,2,12895
1,3,12902
221,45252,12956
323,166078,13004
2555,881991,13030
0,10,13041
0,125,13101
0,52,13189
1715,880951,13237
0,173,13285
1,2709,13335
0,15,13727
2497,881140,13760
126,895698,13786
12,877980,13830
0,2,14026
12,877129,14041
1660,893526,14061
89,187051,14315
1230,880221,14537
2695,895528,14630
2435,891594,14840
12,896636,14907
0,43,15133
0,177994,15280
1639,879130,15435
772,909602,15547
8,876204,15562
0,123,15600
12,907432,15605
696,907158,15623
6,579353,15692
0,9,15695
0,26,15699
0,29,15703
1,642,15830
0,82,15943
0,0,16004
0,122,16030
0,282,16086
3,574,16265
0,2,16298
0,1,16314
1419,880302,16347
1,2255,16509
1324,894109,16552
0,271,16637
0,17,16700
557,880705,16735
2743,887367,17350
3610,910207,17639
801,911975,18106
1,2984,18403
14,419568,19016
1909,882991,19151
0,463,19551
2834,887106,19653
727,879524,19754
22,25647,19782
2460,879917,20080
77,907412,20130
35,907397,20205
0,88,20495
40,885948,20514
0,1531,20562
371,909982,20612
0,7,20704
0,25,20751
2821,895191,20764
896,880492,20811
2430,880750,20912
902,879430,20932
0,168,20940
1,142,21013
0,2,21099
2505,895322,21232
0,52,21263
0,1704,21320
0,2,21336
0,2,21360
0,322,21385
2124,911825,21412
0,51,21473
0,1,21478
12,877278,21700
18,18295,22388
610,912529,22548
1253,880795,22652
0,22,22691
1,219,22822
3082,901477,23106
120,877720,23367
3675,923932,23673
749,122591,24115
8,4222,24441
2316,900016,24482
965,891601,24516
0,5,24592
0,13,24753
0,266,24875
0,1,24880
0,75,24953
2345,881173,24961
1,21,25061
2607,884648,25091
0,32,25139
49,905716,25152
112,881251,25160
0,13,25198
2557,889760,25220
12,898597,25885
0,0,25933
3,175077,26162
0,2,26415
0,366,26744
3045,910144,27678
290,179028,28000
17,900212,28186
0,1048,28283
76,897855,28329
2643,912888,28571
0,17,28589
2173,775368,28634
0,9,28760
0,5,28788
61,335468,28792
1205,888969,28917
2658,883251,29075
416,878767,29140
818,906889,29222
0,3,29438
0,2,29449
12,895368,29467
285,886984,29504
0,4,29505
0,13,29527
0,51,29550
1456,891313,29680
2255,882563,29691
25,1544,29838
1848,746884,30132
74,877241,30286
2,2964,30844
0,7,30892
52,876691,30950
12,887750,31019
15,2323,31042
0,0,31122
111,12716,31133
0,69,31313
0,2,31383
0,6,31424
0,2,31449
109,1767,31500
2,61332,31554
0,93,31727
89,877930,31742
0,3,31800
7,6000,32098
0,7,32261
48,180707,32653
591,813512,32709
1,4686,32787
1,50,32869
0,58,32934
0,470,33132
1,60905,33823
0,5,33845
0,6087,33891
12,911966,34019
1475,880740,34177
2573,882210,34224
0,23,34245
1063,896432,34288
0,49,34347
235,886717,34549
0,5,34723
0,11,34790
2382,881344,34854
2922,916528,34927
812,880693,34968
0,133,35228
244,878042,35266
17,61088,35267
0,19,35313
5,3810,35320
0,15,35332
2584,884226,35360
2898,890300,35369
9,520265,35426
0,132263,35505
2550,373420,35598
7,430092,35600
22,869985,35619
0,509,35699
0,62,35708
12,885449,35710
3150,906217,36236
4300,899312,36351
2443,897661,36924
0,28,36968
15,139,37053
39,879531,37100
3033,892879,37239
317,879880,37271
0,24,37314
3302,896185,37468
12,902075,37497
0,30,37546
0,3,37578
50,267523,37640
0,22,37650
25,3595,37662
53,237653,37680
30,103108,37704
2769,722132,37721
3015,898286,37989
2939,890392,38001
26,881886,38136
0,0,38173
1,226,38182
0,71,38496
3146,919703,38726
3493,911584,38880
20,907355,38883
0,87994,39107
1014,885131,39120
12,879266,39122
0,1,39202
20,877041,39351
2446,879771,39533
191,877597,39591
0,42,39651
67,142427,39668
0,2,39821
1,130,39912
1664,908368,40387
13,905637,40630
146,354952,40934
169,881908,40994
1,8,41028
2448,893415,41095
89,877722,41157
13,880133,41327
0,0,41617
22,871737,41666
1474,879427,41695
2815,897014,41722
300,322646,41805
2471,878159,41811
0,6,41953
0,2,42275
24,894770,42473
24,874035,42541
0,534,42708
0,0,42861
0,425,43100
0,69,43578
0,0,44030
2393,890154,44103
3088,920249,44393
0,106,44684
3132,901710,45352
40,907940,45437
0,6,45494
464,2651,45896
221,876997,46450
3391,922336,46997
12,880177,47147
2503,876477,47251
0,49,47422
3223,915692,47441
670,887109,47692
12,898630,47787
414,409694,47957
15,7555,48147
3221,914306,48166
288,170718,48292
355,881053,48362
12,912614,48550
404,421659,48571
0,0,48646
2219,883765,48821
17,909294,48919
17,878680,49102
14,907382,49134
0,7,49375
2359,891685,49420
2536,883196,49432
2462,881548,49434
0,8,49463
0,257,49544
12,878791,49605
3042,896201,49673
45,907851,49697
26,93145,49709
1567,880567,49788
0,52,49835
215,877972,50300
1026,878607,50304
3,4332,50384
12,895701,50628
2915,892392,50673
226,631186,50763
12,881272,50877
12,877497,51088
982,887322,51184
3867,903549,51185
0,5,51333
11,876896,51519
21,910939,51786
0,4,51809
2231,910996,51873
3059,889517,52320
0,0,52720
2628,903079,52814
12,884607,52863
2497,891070,52873
0,5,52888
2808,879584,53013
2532,890595,53070
0,210,53237
0,24,53274
103,875132,53767
742,880501,53828
0,11,54054
2841,895181,54574
12,905929,55222
2983,921410,55720
2327,909455,56430
0,8,56444
0,0,56662
2938,894982,56665
2459,879864,57111
0,1,57351
1403,879158,57381
676,402273,57463
2860,910222,57695
85,905591,57777
12,878412,57821
13,877632,57866
2649,891309,58057
0,2,58280
2546,910777,58299
2860,892171,58308
0,64,58500
1095,889901,58511
1,211,58601
91,33943,58682
820,171865,58952
149,28693,59318
