RPKI filtering threshold,1184.8
Full feeder threshold,640500
rpki_invalids,pos,asn
1,196,42
3298,790741,174
3763,792596,209
19,794435,286
4139,812961,293
1473,516035,513
43,801066,553
0,125,559
3807,799598,680
3765,790861,701
0,860,714
0,120,766
3782,794488,852
13,799041,1103
0,4,1126
1862,463477,1140
3785,793985,1221
3722,790295,1239
0,0,1273
4113,817933,1280
18,776890,1299
4136,812445,1351
12,797210,1403
3833,803369,1798
0,148,1836
0,284,1853
3564,814384,1916
0,400,2018
0,30,2044
2,458,2116
0,848,2119
3811,793688,2152
3851,800136,2497
0,727,2500
47,5793,2516
3638,795028,2518
0,1878,2603
3829,806022,2613
0,564,2686
0,252,2854
0,657,2856
0,0,2857
4095,805851,2895
22,2900,2905
714,790055,2914
12,787471,3130
516,281693,3214
506,145246,3233
1293,789929,3257
4098,804769,3267
4098,804755,3277
4078,822665,3280
3695,793656,3292
0,852,3301
3794,805677,3303
1,244,3327
3780,803486,3333
3776,793548,3402
2693,797035,3491
3796,797057,3549
3784,792978,3561
3872,801658,3741
0,1,3856
3486,791828,4181
4178,822205,4608
492,55324,4637
3902,812152,4739
103,563,4775
3886,806827,4777
4,1558,4780
4155,823190,4826
0,9,4844
0,273,5056
0,8,5390
3804,798414,5392
1910,795606,5394
3797,799168,5396
1,1452,5400
0,24,5403
3804,798826,5413
0,1,5418
0,16,5430
0,0,5459
0,73,5466
0,19,5503
554,89975,5511
0,19,5524
0,44,5583
21,2221,5588
3788,799053,5602
1055,668070,5645
3776,793300,5650
3550,793462,5769
0,15,6067
18,789964,6079
185,788159,6082
640,236260,6233
0,41,6391
3819,801867,6423
1216,789434,6453
536,65666,6461
334,193389,6539
4100,800083,6667
4152,824859,6720
8,531,6730
3835,794085,6762
3,1899,6774
0,6,6798
3794,794445,6830
0,161,6866
4097,816031,6881
3410,805335,6894
3762,793984,6908
3855,811707,6939
150,789068,7018
4098,807849,7195
3737,801217,7489
4143,796911,7500
4145,808336,7575
48,13772,7606
423,685294,7660
3945,808346,7713
0,376,7795
0,268,8075
3805,806234,8218
2596,796785,8220
3748,799458,8222
0,4,8224
0,72,8245
811,800184,8283
0,14,8319
0,35,8339
4,7861,8359
0,70,8365
0,19,8387
0,114,8422
3838,800984,8426
0,1273,8447
26,797166,8455
0,63,8470
4108,814713,8492
3,792,8529
1,2167,8551
0,314,8560
3785,798572,8607
0,7,8648
3811,801344,8660
0,48,8674
2,1119,8708
4124,811316,8758
0,0,8763
0,734,8781
0,10,8816
0,17,8821
0,33,8851
0,8,8859
3800,799806,8896
0,53,8897
7,3369,8966
3817,806390,9002
0,5,9009
0,4,9026
0,73,9031
0,151,9063
0,0,9264
6,4206,9266
0,190,9268
4081,797431,9304
18,5152,9505
18,1624,9583
0,369,9658
1030,156889,9902
14,566,9930
0,0,10102
0,200,10310
0,4,10848
3828,802525,11039
83,20797,11537
4088,815819,11686
4122,824189,11708
0,2,11995
0,80,12306
15,809280,12307
3357,794690,12350
0,14,12355
0,0,12401
0,19,12414
0,8,12577
0,29,12605
3513,791135,12637
5,2025,12713
11,794123,12779
728,797032,12859
0,2,12895
0,2,12902
112,37812,12956
0,7,12971
3,1026,12989
279,102751,13004
2202,769073,13030
0,10,13041
0,150,13101
0,67,13189
2196,799274,13237
0,162,13285
0,14,13703
5,12,13727
1,1970,13760
4096,807338,13786
0,0,13830
0,2,14026
4121,806050,14061
3774,794069,14361
3808,799898,14537
4154,829951,14630
0,2,14633
3779,807648,14840
12,810495,14907
4332,813135,15008
0,39,15133
3493,797717,15435
4100,810874,15547
13,787915,15562
0,134,15600
3805,810452,15605
0,17,15695
0,29,15699
0,52,15703
6,481,15830
0,71,15943
0,0,16004
0,106,16030
0,263,16086
0,369,16265
0,2,16298
0,1,16314
3972,819204,16347
1509,791135,16552
0,11,16570
0,298,16637
0,13,16700
3818,798935,16735
0,138,17451
4176,822791,17639
81,814471,18106
602,461962,19016
4048,798051,19151
0,277,19551
4061,801754,19653
3461,794679,19754
85,21885,19782
3776,794044,20080
4118,811076,20205
0,111,20495
0,1,20504
21,802677,20514
1445,251969,20562
4143,812666,20612
0,11,20704
0,27,20751
4083,813140,20764
4038,797158,20766
3790,800146,20811
3456,792759,20912
3793,800212,20932
0,138,20940
3434,798612,20953
0,127,21013
0,2,21099
3797,809825,21232
0,31,21263
0,1640,21320
0,2,21336
0,3,21360
0,390,21385
0,1,21478
4118,819248,22548
3788,795867,22652
0,67,22691
0,230,22822
3831,817369,23106
3795,801775,23367
4297,832923,23673
1147,99807,24115
2832,743161,24441
3956,824848,24482
3808,798599,24516
0,5,24592
0,68,24753
3480,711799,24875
0,1,24880
0,96,24953
3808,804540,24961
1,20,25061
3817,803327,25091
3860,810864,25152
3384,795514,25160
0,0,25178
3801,804879,25220
4146,816129,25227
0,377,25933
210,812438,26073
1,124598,26162
0,2,26415
0,203,26744
0,129,27257
4124,810519,27446
3926,817444,27678
3809,817711,28186
117,28621,28220
3823,813969,28260
0,1030,28283
11,798648,28329
3641,814978,28571
0,17,28589
3848,815812,28634
0,6,28760
0,5,28788
658,352294,28792
4145,802976,28917
3782,796642,29075
3388,799804,29140
3857,806749,29222
0,1,29438
0,2,29449
12,808239,29467
3818,808559,29479
3494,804318,29504
0,12,29527
0,48,29550
978,347691,29608
4891,809863,29680
2071,796564,29686
3825,801489,29691
5,220,29838
4005,816209,30132
1,2124,30844
0,6,30892
11,803996,31019
12,460,31027
1,420,31042
0,0,31122
13,9793,31133
3799,793908,31313
0,2,31383
1981,735681,31424
0,2,31449
376,126280,31554
0,85,31727
3383,793481,31742
0,3,31800
3266,744623,32097
12,5044,32098
3766,793361,32354
0,22,32653
4106,811866,32709
1,2270,32787
0,60,32869
0,58,32934
1,573,33132
270,88910,33823
0,5,33845
0,5103,33891
101,520512,34019
20,797359,34177
4829,801180,34224
0,22,34245
3817,813221,34288
0,39,34347
11,800888,34549
0,1,34553
4084,828328,34681
0,5,34723
0,9,34790
4087,813819,34800
3900,812845,34854
4075,815491,34872
4128,827505,34927
1569,799362,34968
0,126,35228
1543,791605,35266
277,89260,35267
1,2425,35320
0,12,35332
3784,807891,35369
463,134380,35505
2700,801857,35600
4050,805702,35619
0,286,35699
0,115,35708
4207,827800,36236
