RPKI filtering threshold,824.4000000000001
Full feeder threshold,687636
rpki_invalids,pos,asn
0,121,42
157,868782,209
1425,901899,293
2474,878554,513
21,871219,553
221,362836,559
21,870974,680
2186,869757,701
0,1042,714
0,120,766
62,871026,852
35,883009,1103
0,5,1126
642,524435,1140
28,878829,1221
25,869435,1239
0,0,1273
2581,902167,1280
39,869171,1299
1675,901814,1351
24,878286,1403
2764,882237,1798
2189,891380,1828
0,179,1836
0,283,1853
0,434,2018
0,30,2044
0,500,2116
0,568,2119
1445,871768,2152
23,884266,2497
0,680,2500
22,5601,2516
2412,873821,2518
0,1598,2603
2493,879071,2613
0,565,2686
0,218,2854
4,890,2856
0,0,2857
2460,878258,2895
149,870938,2914
161,870224,3130
804,871734,3170
1380,882389,3214
2644,877071,3216
258,180235,3233
63,870241,3257
2,2016,3267
2929,907494,3280
19,870212,3292
0,847,3301
96,896691,3303
2320,871222,3320
0,255,3327
21,885335,3333
20,870276,3399
54,874335,3491
165,868623,3549
157,868349,3561
1480,874971,3741
0,1,3856
78,13386,4134
2694,910095,4608
2,74403,4637
1734,901919,4739
28,1424,4775
2406,887882,4777
17,3218,4788
27,900702,4826
0,11,4844
0,7,5390
1177,871236,5392
962,874550,5394
2321,872809,5396
1,1518,5400
0,24,5403
1401,871359,5413
0,1,5418
0,64,5430
0,0,5459
0,67,5466
0,19,5503
52,133690,5511
0,21,5524
0,32,5583
2339,872758,5602
0,0,5603
2564,741301,5645
1184,870895,5650
2764,899344,6057
182,870546,6079
640,872987,6233
0,167,6325
0,41,6391
2142,871941,6423
772,869673,6453
594,124471,6461
2301,872861,6667
2417,903110,6720
2381,872283,6762
2,3459,6774
0,5,6798
20,870714,6830
0,187,6866
2507,886576,6894
1285,872981,6908
19,900300,6939
166,869133,7018
0,6908,7195
2402,873153,7489
2424,902617,7500
2899,891587,7575
1,100818,7606
317,714405,7660
2100,885093,7713
0,441,7795
0,316,8075
2792,881914,8218
291,873490,8220
0,4,8224
0,42,8245
203,875581,8283
112,903227,8298
0,13,8319
18,7389,8359
0,68,8365
0,13,8387
0,30,8400
0,102,8422
50,871827,8426
0,1127,8447
22,872281,8455
0,84,8470
2814,889751,8492
0,1573,8529
0,560,8551
0,278,8560
434,643095,8607
0,7,8648
1632,873065,8660
0,49,8674
0,1071,8708
22,902236,8758
0,0,8763
0,716,8781
0,10,8816
0,20,8821
0,40,8851
0,8,8859
1980,874012,8896
12,5087,8966
21,871259,9002
0,11,9009
0,3,9026
0,52,9031
0,148,9063
0,0,9264
7,155087,9266
2742,887514,9268
2103,878469,9304
0,6547,9318
3,2544,9505
23,2948,9583
20,480,9658
723,188080,9902
2,1133,9930
0,353,10310
2756,883111,11039
3,5610,11164
0,29,11403
15,21947,11537
2711,897056,11686
1216,875613,11708
2320,904733,12307
1400,872844,12350
0,8,12355
0,0,12401
0,21,12414
2315,873520,12470
0,14,12577
0,16,12605
1218,870561,12637
2,1330,12713
20,871029,12779
454,880326,12859
0,2,12895
0,2,12902
205,46861,12956
259,155014,13004
2273,874006,13030
0,11,13041
0,119,13101
0,67,13189
1574,873357,13237
0,173,13285
1,2160,13335
0,15,13727
2187,873107,13760
84,887894,13786
20,870827,13830
0,2,14026
22,869939,14041
1571,887366,14061
39,175402,14315
2044,873772,14537
2502,887929,14630
2309,887030,14840
24,885679,14907
0,43,15133
1,170471,15280
1759,872144,15435
1684,904442,15547
5,868966,15562
0,128,15600
21,900700,15605
1551,901707,15623
147,579483,15692
0,9,15695
0,25,15699
0,28,15703
0,637,15830
0,82,15943
0,0,16004
0,113,16030
7,270,16086
2,572,16265
0,2,16298
0,1,16314
1467,872880,16347
1,2491,16509
1447,887938,16552
0,259,16637
1431,874367,16735
0,947,16814
2578,881724,17350
3290,901917,17639
1587,906289,18106
1,2950,18403
60,405037,19016
1874,875771,19151
0,9,19551
2748,881839,19653
1584,872065,19754
21,25125,19782
2330,872616,20080
1201,902033,20130
1151,902027,20205
0,88,20495
38,876051,20514
1,1845,20562
1394,903768,20612
0,11,20704
0,25,20751
2629,887608,20764
821,873366,20811
2307,873419,20912
1442,872484,20932
0,157,20940
0,139,21013
0,2,21099
2173,886145,21232
0,52,21263
0,1547,21320
0,2,21336
0,3,21360
0,326,21385
2197,905602,21412
0,52,21473
0,1,21478
20,870152,21700
14,18427,22388
1528,906786,22548
1880,873661,22652
0,23,22691
0,220,22822
2924,894794,23106
154,870152,23367
3332,916848,23673
737,120803,24115
7,4596,24441
2722,893238,24482
1751,886474,24516
0,5,24592
0,13,24753
0,256,24875
0,1,24880
0,75,24953
2208,873593,24961
1,21,25061
2487,877245,25091
0,32,25139
185,899438,25152
1200,874907,25160
0,12,25198
2486,882666,25220
22,891188,25885
0,111,25933
19,898738,26073
1,167717,26162
0,2,26415
0,343,26744
2888,902151,27678
263,152036,28000
28,894519,28186
0,1034,28283
28,881808,28329
1621,895367,28571
0,17,28589
2137,769402,28634
0,7,28760
0,5,28788
47,333785,28792
1001,881263,28917
2519,874359,29075
1543,872529,29140
773,900547,29222
0,3,29438
0,2,29449
21,888249,29467
1241,880509,29504
0,4,29505
0,13,29527
0,51,29550
2427,887377,29680
1936,874647,29691
29,1533,29838
1811,729279,30132
158,870257,30286
3,3038,30844
0,6,30892
176,869568,30950
23,880481,31019
27,2727,31027
0,2130,31042
0,0,31122
27,12524,31133
0,68,31313
0,2,31383
0,6,31424
0,2,31449
141,1849,31500
220,86433,31554
0,92,31727
1201,871761,31742
0,3,31800
9,6675,32098
0,7,32261
1333,871547,32354
53,175705,32653
1441,815544,32709
2,4367,32787
1,60,32869
0,58,32934
0,456,33132
2,62969,33823
0,5,33845
0,5455,33891
21,905508,34019
1464,873261,34177
2520,871962,34224
0,23,34245
1602,888239,34288
0,48,34347
269,873014,34549
0,5,34723
0,11,34790
1,185786,34800
2271,873764,34854
2760,907949,34927
820,873370,34968
0,133,35228
403,870904,35266
4,63203,35267
0,13,35313
7,3204,35320
0,14,35332
2470,877021,35360
2766,882711,35369
18,517063,35426
23,192745,35505
2427,450858,35598
10,426996,35600
2545,875935,35619
3,488,35699
0,57,35708
19,871794,35710
3126,906047,36236
3965,893483,36351
2313,890305,36924
0,27,36968
15,137,37053
1,2402,37100
2917,885164,37239
208,872152,37271
0,25,37314
3171,888990,37468
22,884612,37497
0,30,37546
0,3,37578
35,260549,37640
0,22,37650
5,2839,37662
50,246462,37680
12,98393,37704
2585,715570,37721
2644,884799,38001
401,913102,38136
0,0,38173
0,224,38182
0,80,38496
2808,912862,38726
3435,907000,38880
35,901149,38883
1,87040,39107
1912,878979,39120
21,871813,39122
0,1,39202
239,871632,39351
2324,872390,39533
1339,871636,39591
0,42,39651
48,140090,39668
0,2,39821
1,127,39912
1769,902073,40387
20,899218,40630
218,106544,40934
167,874569,40994
1,7,41028
4122,888087,41095
1196,871649,41157
49,873608,41327
0,0,41617
2,188679,41666
1619,873025,41695
2617,907870,41722
1358,870191,41805
2363,873393,41811
0,6,41953
0,2,42275
24,884428,42473
30,859278,42541
1,528,42708
0,0,42861
0,648,43100
0,75,43578
0,0,44030
113,872098,44103
2920,914275,44393
0,95,44684
3433,895135,45352
77,901368,45437
0,6,45494
267,2987,45896
278,869898,46450
2815,914313,46997
21,873412,47147
2387,868723,47251
3059,909975,47441
785,880035,47692
24,881702,47787
396,396509,47957
11,7545,48147
3058,907545,48166
295,197595,48292
427,873467,48362
21,905023,48550
299,416296,48571
0,0,48646
1907,876024,48821
51,905046,48919
25,871538,49102
22,898701,49134
0,7,49375
1320,882860,49420
2412,875485,49432
2340,873925,49434
0,8,49463
0,313,49544
19,871188,49605
2904,890998,49673
372,904195,49697
24,93581,49709
1924,873640,49788
0,52,49835
265,871264,50300
990,872061,50304
8,4053,50384
21,888437,50628
2789,885766,50673
290,621340,50763
21,874449,50877
19,870362,51088
1163,880453,51184
3712,895125,51185
0,9,51333
21,903266,51786
1912,904596,51873
304,327934,51999
2919,883383,52320
0,0,52720
2486,898796,52814
20,877981,52863
2236,884808,52873
0,5,52888
0,51,52940
2509,873456,53013
2350,883775,53070
0,211,53237
1180,867166,53767
803,871531,53828
0,11,54054
2774,887385,54574
21,899688,55222
2671,908189,55720
2220,903166,56430
0,8,56444
0,0,56662
2797,887638,56665
0,0,57050
2344,872540,57111
36,110076,57199
0,1,57351
1188,872562,57381
690,390274,57463
2670,900435,57695
20,869696,57821
23,870603,57866
2827,879034,58057
0,2,58280
2348,904431,58299
2652,883297,58308
0,64,58500
1023,882692,58511
1,214,58601
