RPKI filtering threshold,985.6
Full feeder threshold,709302
rpki_invalids,pos,asn
0,123,42
45,891358,209
1830,926923,293
3013,901399,513
22,894139,553
258,386165,559
85,893202,680
2525,892635,701
0,1099,714
0,172,766
55,894116,852
22,898617,1103
0,5,1126
14,533310,1140
24,892541,1239
0,165,1241
0,0,1273
2839,926296,1280
65,892191,1299
2,491,1351
20,893289,1403
2966,897370,1798
2075,915243,1828
1,198,1836
0,305,1853
0,447,2018
186,189779,2027
0,22,2044
0,512,2116
0,1120,2119
1811,895000,2152
76,908037,2497
0,678,2500
11,5731,2516
3,492,2518
2,1885,2603
30,898989,2613
0,607,2686
1,207,2854
2,879,2856
0,0,2857
24,893093,2914
50,893173,3130
1066,894614,3170
1099,904685,3214
2981,899747,3216
366,187513,3233
40,893289,3257
7,4238,3267
3655,931296,3280
20,893613,3292
0,890,3301
108,921015,3303
2539,894292,3320
0,271,3327
22,900596,3333
19,893055,3399
28,894902,3491
83,891296,3549
46,890783,3561
1684,897985,3741
0,1,3856
79,13564,4134
20,892293,4181
2945,932685,4608
13,75168,4637
1515,924352,4739
20,1519,4775
2809,912402,4777
61,3961,4788
58,924119,4826
0,11,4844
0,7,5390
84,892707,5392
985,897344,5394
2571,895734,5396
2,1742,5400
0,24,5403
1737,894216,5413
0,1,5418
0,48,5430
0,0,5459
0,54,5466
0,20,5503
33,141117,5511
0,20,5524
0,435,5578
0,31,5583
2587,895653,5602
1,196,5603
2757,888972,5645
90,892377,5650
2889,916563,6057
65,892588,6079
130,894000,6082
1364,905206,6233
0,168,6325
0,41,6391
2977,896158,6423
693,892257,6453
2774,895919,6461
159,893348,6667
0,59,6677
2902,927617,6720
2603,895488,6762
0,2603,6774
0,5,6798
20,892434,6830
0,192,6866
2737,910108,6894
1500,896315,6908
343,925105,6939
45,891751,7018
0,10040,7195
2657,896287,7489
3194,927054,7500
2955,904358,7575
0,111978,7606
521,732629,7660
2667,902111,7713
0,362,7795
0,390,8075
2888,904888,8218
287,897649,8220
0,4,8224
0,44,8245
446,898641,8283
60,926210,8298
0,12,8319
15,6098,8359
1,70,8365
0,16,8387
0,1172,8400
0,98,8422
50,895104,8426
0,1456,8447
23,895036,8455
0,82,8470
3019,912313,8492
8,2416,8529
1,4390,8551
0,297,8560
385,664631,8607
0,7,8648
1900,896434,8660
0,50,8674
0,1129,8708
24,926254,8758
0,0,8763
0,725,8781
105,925234,8803
0,10,8816
0,20,8821
0,43,8851
0,8,8859
1121,906997,8888
656,894056,8896
30,4824,8966
20,894084,9002
0,26,9009
0,3,9026
0,47,9031
0,131,9063
28,13744,9121
0,0,9264
23,160185,9266
2995,901932,9268
1841,902308,9304
0,5821,9318
2,3495,9505
21,3363,9583
5,496,9658
968,204074,9902
6,1060,9930
6,1256,10075
0,353,10310
2984,898905,11039
4,5362,11164
0,35,11403
39,22351,11537
2865,917771,11686
0,8,11708
20,904091,12307
388,894483,12350
0,5,12355
0,0,12401
0,23,12414
0,2,12470
0,14,12577
0,14,12605
250,892165,12637
0,1101,12713
21,893952,12779
295,894542,12859
0,2,12895
0,3,12902
22,47800,12956
2887,896709,12969
473,174852,13004
3183,899278,13030
0,10,13041
2,134,13101
0,52,13189
1652,896573,13237
0,171,13285
11,3133,13335
0,14,13727
2873,898662,13760
22,908846,13786
19,893403,13830
0,2,14026
0,489,14041
2490,903732,14061
354,332624,14315
1651,896564,14537
3311,912519,14630
17,203500,14840
22,913155,14907
0,44,15133
14,184842,15280
1575,894560,15435
974,925897,15547
4,891849,15562
0,157,15600
29,925394,15605
955,925538,15623
16,562613,15692
0,9,15695
