RPKI filtering threshold,1342.2
Full feeder threshold,608844
rpki_invalids,pos,asn
2,196,42
4438,763908,174
4448,767565,209
15,766372,286
4929,793150,293
2780,496432,513
49,770902,553
0,120,559
4472,771644,680
4462,766699,701
0,792,714
0,79,766
4452,768803,852
233,771435,1103
0,4,1126
2238,453025,1140
4452,768603,1221
4441,766022,1239
0,0,1273
4909,794916,1280
2937,757218,1299
4935,792685,1351
3323,777067,1403
4678,780784,1798
0,149,1836
0,276,1853
4491,788244,1916
33,26728,2018
0,29,2044
2,448,2116
2,825,2119
4456,768202,2152
4514,775218,2497
0,714,2500
91,6015,2516
4855,770005,2518
2,1681,2603
16,773573,2613
0,507,2686
1,248,2854
0,700,2856
0,0,2857
4830,778858,2895
9,13377,2905
4450,768268,2914
476,762193,3130
4450,767151,3257
4829,776953,3267
4829,776942,3277
4400,768111,3292
0,802,3301
4883,778748,3303
0,240,3327
4462,776541,3333
4391,767947,3402
4856,772559,3491
4455,766428,3549
4453,767522,3561
4692,773578,3741
0,1,3856
4446,767781,4181
4974,797403,4608
496,58039,4637
4888,792363,4739
35,231,4775
4553,779427,4777
26,1492,4780
4907,792098,4826
0,9,4844
0,1076,5056
0,9,5390
4469,770378,5392
4614,772449,5394
4476,771004,5396
1,1454,5400
0,23,5403
4456,770685,5413
0,1,5418
0,17,5430
0,80,5466
0,19,5503
435,85103,5511
0,18,5524
0,40,5583
22,1921,5588
4475,770604,5602
4438,761294,5645
4417,767884,5650
4461,768322,5769
4448,768276,6079
4452,766786,6082
1440,232679,6233
0,38,6391
4463,778823,6423
4388,766486,6453
819,72266,6461
390,188251,6539
4708,771852,6667
4537,782206,6720
8,552,6730
4501,768778,6762
3,2577,6774
0,6,6798
4471,768874,6830
0,162,6866
4926,794396,6881
4445,777813,6894
4747,792127,6939
158,763017,7018
4912,770202,7500
4908,783924,7575
13,12824,7606
437,646575,7660
4987,782691,7713
0,355,7795
0,225,8075
4478,778356,8218
5003,772945,8220
4446,772393,8222
0,4,8224
0,101,8245
55,771025,8283
0,14,8319
0,31,8339
11,7582,8359
0,55,8365
0,21,8387
0,106,8422
4453,773185,8426
0,935,8447
22,768521,8455
0,89,8470
4860,787381,8492
5,1120,8529
3,1519,8551
0,310,8560
4452,770791,8607
0,7,8648
0,47,8674
1,1075,8708
4891,785208,8758
0,0,8763
0,908,8781
0,11,8816
0,17,8821
0,31,8851
4605,771710,8896
1,57,8897
20,3591,8966
4467,772926,9002
0,7,9009
0,5,9026
0,69,9031
0,123,9063
0,0,9264
7,3826,9266
0,213,9268
4834,771395,9304
0,28,9318
25,3442,9505
14,1717,9583
