RPKI filtering threshold,258.2
Full feeder threshold,121548
rpki_invalids,pos,asn
0,0,42
54,145085,209
284,148490,293
773,150152,513
10,148644,553
234,70413,559
112,148855,680
608,148325,701
0,227,714
0,16,766
34,148807,852
0,150382,1103
0,0,1126
0,148363,1140
0,148307,1239
0,15,1241
721,148605,1273
622,153718,1280
4,147754,1299
542,153657,1351
0,147796,1403
920,154977,1798
717,153694,1828
0,127,1836
0,68,1853
1,21,2018
852,154409,2027
0,0,2044
0,0,2116
0,147,2119
0,0,2152
1,153324,2497
11,28231,2500
663,159188,2516
683,154079,2518
0,0,2603
699,154557,2613
0,9,2686
0,17,2854
1,71,2856
0,3,2857
3,144059,2914
0,0,3130
341,148851,3170
270,153817,3214
0,0,3216
0,105,3233
56,147937,3257
1,46,3267
716,155832,3280
0,111,3292
0,0,3301
0,0,3303
83,128920,3320
0,24,3327
1,153315,3333
0,148582,3399
0,148370,3491
0,0,3549
0,0,3561
0,0,3741
0,0,3856
0,1947,4134
168,151745,4181
0,0,4608
0,14970,4637
641,155253,4739
15,254,4775
13,152957,4777
14,326,4788
9,153467,4826
0,2,4844
0,0,5390
0,1,5392
0,5,5394
0,0,5396
1,112,5400
0,0,5403
211,148572,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,8,5524
0,63,5578
0,0,5583
0,6,5602
0,28,5603
737,103292,5645
0,0,5650
719,154173,6057
0,0,6079
143,143961,6082
288,154125,6233
0,2,6325
0,3,6391
0,0,6423
197,147865,6453
249,17793,6461
361,148949,6667
0,11,6677
1014,154808,6720
626,148496,6762
0,88,6774
0,0,6798
166,147896,6830
24,30,6866
215,137777,6894
297,149115,6908
0,151481,6939
1,147658,7018
10,3677,7195
732,153592,7489
0,0,7500
1042,159123,7575
0,48942,7606
27,41735,7660
919,150733,7713
0,0,7795
0,68,8075
784,149131,8218
434,153687,8220
0,0,8224
0,0,8245
86,153887,8283
14,154339,8298
0,3,8319
5,402,8359
0,15,8365
0,0,8387
0,45,8400
0,0,8422
2,149242,8426
0,127,8447
4,148859,8455
0,15,8470
0,0,8492
3,780,8529
0,0,8551
0,0,8560
98,151241,8607
0,0,8648
0,0,8660
0,6,8674
0,102,8708
6,153787,8758
0,17,8763
0,298,8781
3,24814,8803
0,0,8816
0,5,8821
0,0,8851
0,0,8859
284,154473,8888
94,148438,8896
22,344,8966
1,149206,9002
0,6,9009
0,0,9026
0,0,9031
0,0,9063
0,31,9264
0,0,9266
942,150849,9268
1157,154606,9304
0,0,9318
0,601,9505
0,2,9583
0,5,9658
73,18859,9902
1,122,9930
17,231,10075
0,123,10310
909,155094,11039
2,370,11164
0,0,11403
0,0,11537
0,0,11686
0,0,11708
1,153776,12307
0,0,12350
0,9,12355
0,1,12401
0,8,12414
0,0,12470
0,0,12577
0,0,12605
400,153346,12637
0,0,12713
0,148859,12779
65,148518,12859
0,0,12895
0,1,12902
0,0,12956
0,3,12969
129,53549,13004
525,149166,13030
0,2,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
1,253,13335
0,0,13727
695,149632,13760
0,154670,13786
57,153494,13830
0,0,14026
0,0,14041
707,155185,14061
23,77015,14315
0,0,14537
76,153446,14630
613,152033,14840
1,154233,14907
0,20,15133
496,150081,15280
124,152801,15435
362,153492,15547
1,143376,15562
0,0,15600
0,153521,15605
530,154126,15623
3,82646,15692
0,2,15695
0,4,15699
0,0,15703
0,101,15830
0,13,15943
0,1,16004
0,0,16030
0,49,16086
0,0,16265
0,1,16298
0,0,16314
124,82128,16347
3,1740,16509
532,155112,16552
0,9,16637
0,1,16700
644,151350,16735
148,149574,17350
1291,156937,17639
163,156943,18106
1,506,18403
43,60256,19016
538,150604,19151
0,75,19551
796,154831,19653
94,122112,19754
0,0,19782
613,153738,20080
0,0,20130
70,150792,20205
0,55,20495
0,1,20514
0,0,20562
123,153983,20612
0,0,20704
0,0,20751
54,149263,20764
293,148755,20811
628,154650,20912
115,153677,20932
0,32,20940
0,0,21013
0,0,21099
11,53535,21232
0,15,21263
0,217,21320
0,0,21336
0,0,21360
0,71,21385
299,154338,21412
0,0,21473
0,0,21478
0,152727,21700
102,6427,22388
0,0,22548
196,148066,22652
626,150670,23106
133,153123,23367
1066,162064,23673
0,0,24115
155,142191,24441
795,154323,24482
532,154186,24516
0,1,24592
0,0,24753
0,17,24875
0,0,24880
0,0,24953
395,149116,24961
0,0,25061
678,150252,25091
0,0,25139
11,157386,25152
115,148936,25160
157,154003,25220
