RPKI filtering threshold,1375.8000000000002
Full feeder threshold,575522
rpki_invalids,pos,asn
0,196,42
4455,728008,209
4392,729702,286
4749,754806,293
4477,737523,513
4482,733628,553
0,117,559
4464,736257,680
4440,726698,701
0,653,714
0,78,766
4441,728608,852
4555,739043,1103
0,4,1126
4458,728898,1221
4443,725981,1239
0,0,1273
4436,722144,1299
4758,754817,1351
4447,736821,1403
4561,738864,1798
4502,732729,1836
0,256,1853
4602,749870,1916
33,19382,2018
0,28,2044
2,444,2116
4465,729226,2152
4513,734703,2497
2,683,2500
90,5922,2516
4563,729148,2518
1,1839,2603
4473,737218,2613
2,478,2686
0,244,2854
0,692,2856
0,0,2857
4483,731003,2895
460,125760,2905
4467,728343,2914
361,722158,3130
4441,726997,3257
4581,740280,3267
4592,749504,3277
4443,728165,3292
2,765,3301
4879,738164,3303
0,295,3327
4573,739993,3333
4451,727577,3402
4573,736700,3491
4460,726997,3549
4444,727572,3561
4448,730189,3741
0,1,3856
4451,727744,4181
4751,758178,4608
300,54467,4637
4796,754064,4739
28,217,4775
4500,736390,4777
5,1425,4780
4769,753906,4826
0,249,5056
0,5,5390
4447,727601,5392
4450,728244,5396
1,1386,5400
0,21,5403
4453,730213,5413
0,20,5430
0,77,5466
0,21,5503
280,51760,5511
0,17,5524
0,42,5583
7,1997,5588
4448,727978,5602
4442,722263,5645
4447,727939,5650
4445,728356,5769
0,15,6067
4447,728451,6079
4457,729096,6082
1,12,6083
4449,737931,6423
4445,727143,6453
344,181830,6539
4538,731237,6667
4497,745992,6720
15,535,6730
4514,728522,6762
2,1521,6774
4456,729626,6830
0,139,6866
4778,755315,6881
4437,734998,6894
4744,753739,6939
0,3,6968
192,723126,7018
4613,726370,7500
4602,742690,7575
19,11341,7606
357,618255,7660
0,366,7795
0,217,8075
4444,738081,8218
4808,730055,8220
4464,730848,8222
0,4,8224
0,52,8268
4412,731611,8283
0,14,8319
0,3,8330
0,120,8331
0,31,8339
3,7028,8359
0,54,8365
0,21,8387
0,108,8422
4476,732068,8426
0,809,8447
37,726604,8455
0,58,8470
4611,746544,8492
4,1350,8551
0,309,8560
4459,728355,8607
0,7,8648
0,47,8674
0,845,8708
4580,742882,8758
0,829,8781
0,11,8816
0,31,8851
4462,729076,8896
1,60,8897
14,3648,8966
4454,732188,9002
0,5,9026
0,63,9031
0,120,9063
0,24,9150
0,0,9264
0,2702,9266
0,165,9268
4582,730190,9304
0,36,9318
29,4838,9505
1,470,9658
0,291,9930
4466,732092,10026
0,0,10102
0,249,10310
0,103,10474
0,4,10848
4765,757510,11039
0,71,11403
62,18533,11537
4452,728079,11666
4563,740957,11686
0,2,11995
0,75,12306
4461,744020,12307
4459,730029,12350
0,12,12355
0,0,12401
0,19,12414
0,6,12577
0,31,12605
4472,730100,12637
10,3789,12713
4466,731311,12779
4468,731385,12859
0,2,12895
0,2,12902
225,36002,12956
0,7,12971
1,1512,12989
464,93043,13004
4462,731947,13030
0,10,13041
0,261,13101
0,68,13189
4455,732333,13237
0,137,13285
0,54,13703
0,9,13727
4762,753424,13760
0,2,14026
4574,731275,14061
4456,728686,14361
4460,729672,14537
0,2,14633
618,150489,14840
4609,743780,14907
4825,751032,15008
0,33,15133
4447,730102,15435
4592,742517,15547
19,722646,15562
0,129,15600
4902,739877,15605
0,16,15695
0,31,15699
0,41,15703
0,324,15830
0,0,16004
0,99,16030
0,289,16086
0,206,16265
0,2,16298
0,1,16314
4589,740196,16347
0,11,16570
0,326,16637
0,11,16700
4588,733173,16735
0,520,17451
4622,753914,17639
4792,758639,18106
3294,574988,19016
4588,733097,19151
4558,737636,19653
4564,728777,19754
114,19595,19782
4583,729893,20080
0,99,20495
0,1,20504
4567,731818,20514
1218,235569,20562
4510,735679,20612
0,13,20704
0,27,20751
4601,741154,20764
4456,729332,20811
4496,734219,20912
4472,730872,20932
0,145,20940
0,1,20953
0,112,21013
0,2,21099
4579,744141,21232
0,24,21263
1,1398,21320
0,2,21336
0,3,21360
0,460,21385
0,1,22548
4446,730289,22652
0,73,22691
2,236,22822
4676,750866,23106
482,132789,23367
5079,766523,23673
4016,667379,24441
4643,738314,24482
4621,734627,24516
0,6,24592
0,96,24753
1,110,24875
0,1,24880
0,15,24931
0,30,24953
1,20,25061
4467,733898,25091
4792,759182,25152
4450,730712,25160
0,0,25178
4475,733840,25220
4596,744099,25227
4470,737274,25933
500,101138,26162
0,2,26415
0,209,26744
0,121,27257
4460,727381,27446
4637,743098,27678
4465,744211,28186
4604,751266,28220
4455,738813,28260
0,706,28283
4439,730180,28329
4592,750346,28571
0,17,28589
4364,720369,28634
0,5,28760
0,5,28788
4641,741602,28917
536,130497,28929
4455,731161,29140
4885,739523,29222
0,2,29449
4475,733823,29479
4467,734067,29504
0,10,29527
0,31,29550
1010,321672,29608
4570,740148,29680
4464,729890,29686
4462,732639,29691
1,131,29838
4753,755457,30132
0,48,30733
4827,764477,30844
0,6,30892
4555,733103,31019
14,437,31027
0,399,31042
0,0,31122
5,9980,31133
0,2,31383
4467,735238,31424
4,2972,31500
0,71,31727
4459,728556,31742
0,3,31800
4764,758282,32097
3,3893,32098
0,7,32212
4549,728186,32354
365,90081,32653
4756,754011,32709
1,1821,32787
0,61,32869
0,50,32934
1,723,33132
0,5,33764
0,5,33845
1,4651,33891
1503,341627,34019
4468,730600,34177
4456,730395,34224
0,21,34245
4604,746621,34288
0,10,34305
0,25,34347
394,729621,34549
0,9,34790
4875,737636,35054
0,130,35228
4456,728830,35266
1,2292,35320
0,13,35332
4468,739110,35369
4461,729507,35699
4868,766455,36236
4668,747962,36351
0,34,36968
25,11238,37049
0,77,37053
4464,731520,37100
26,13194,37105
4625,753836,37239
4420,729382,37271
0,25,37314
