RPKI filtering threshold,280.40000000000003
Full feeder threshold,123046
rpki_invalids,pos,asn
0,0,42
65,149138,209
319,153299,293
803,154465,513
17,152929,553
210,71502,559
121,152932,680
647,152393,701
0,229,714
0,16,766
46,152847,852
9,154665,1103
0,0,1126
9,152707,1140
9,152552,1239
0,15,1241
759,152681,1273
659,158418,1280
9,150814,1299
673,158457,1351
9,151854,1403
1019,159740,1798
775,157815,1828
0,131,1836
0,68,1853
1,21,2018
948,158590,2027
0,0,2044
0,0,2116
0,147,2119
0,0,2152
9,155578,2497
12,28239,2500
689,163945,2516
713,158751,2518
0,0,2603
31,158529,2613
0,11,2686
0,17,2854
1,72,2856
0,3,2857
13,148132,2914
0,0,3130
493,153164,3170
395,158598,3214
0,0,3216
0,104,3233
70,151984,3257
1,45,3267
769,159901,3280
0,105,3292
0,0,3301
0,0,3303
81,132611,3320
0,24,3327
10,157994,3333
10,152634,3399
9,152311,3491
0,0,3549
0,0,3561
0,0,3741
0,0,3856
0,1955,4134
250,156467,4181
0,0,4608
0,14400,4637
618,159861,4739
5,256,4775
22,155188,4777
2,371,4788
9,158123,4826
0,2,4844
0,0,5390
0,1,5392
0,4,5394
0,0,5396
1,115,5400
0,0,5403
168,152785,5413
0,0,5418
0,0,5430
0,6,5459
0,0,5466
0,0,5503
0,0,5511
0,9,5524
0,64,5578
0,0,5583
0,6,5602
0,29,5603
839,106603,5645
0,0,5650
825,158317,6057
0,0,6079
153,148005,6082
416,159056,6233
0,2,6325
0,3,6391
0,0,6423
300,152002,6453
345,18021,6461
77,152713,6667
0,11,6677
1054,159549,6720
661,152774,6762
0,186,6774
0,0,6798
9,151994,6830
18,24,6866
262,149179,6894
390,153475,6908
1,156491,6939
9,151711,7018
0,3736,7195
770,158292,7489
0,0,7500
1141,160707,7575
0,49544,7606
35,42329,7660
965,155454,7713
0,0,7795
0,69,8075
882,153508,8218
437,158065,8220
0,0,8224
0,0,8245
87,158370,8283
12,158792,8298
0,3,8319
5,365,8359
0,15,8365
0,0,8387
0,42,8400
0,0,8422
10,153042,8426
0,125,8447
13,152930,8455
0,15,8470
0,0,8492
4,1039,8529
0,0,8551
0,0,8560
58,155986,8607
0,0,8648
0,0,8660
0,4,8674
0,101,8708
10,158303,8758
0,17,8763
0,316,8781
1,25409,8803
0,0,8816
0,5,8821
0,0,8851
0,0,8859
410,159568,8888
77,152560,8896
22,349,8966
9,153290,9002
0,6,9009
0,0,9026
0,0,9031
0,0,9063
32,836,9121
0,31,9264
0,0,9266
1102,155094,9268
1283,159448,9304
0,0,9318
0,601,9505
0,2,9583
0,5,9658
37,22804,9902
1,122,9930
16,210,10075
0,123,10310
1014,159858,11039
2,377,11164
0,0,11403
0,0,11537
0,0,11686
0,0,11708
9,158203,12307
0,0,12350
0,9,12355
0,1,12401
0,8,12414
0,0,12470
0,0,12577
0,0,12605
461,158063,12637
0,0,12713
10,152963,12779
62,152761,12859
0,0,12895
0,1,12902
0,0,12956
0,3,12969
130,55732,13004
597,153372,13030
0,2,13041
0,0,13101
0,0,13189
0,0,13237
0,0,13285
1,266,13335
0,0,13727
794,153953,13760
10,158708,13786
46,158145,13830
0,0,14026
0,0,14041
795,160231,14061
1,80077,14315
0,0,14537
85,158305,14630
651,156300,14840
9,159116,14907
0,20,15133
660,154506,15280
74,157388,15435
447,158232,15547
1,147373,15562
0,0,15600
9,158164,15605
568,158863,15623
13,83147,15692
0,2,15695
0,4,15699
0,0,15703
0,102,15830
0,13,15943
0,1,16004
0,0,16030
0,49,16086
0,0,16265
0,1,16298
0,0,16314
119,85048,16347
3,1958,16509
645,160080,16552
0,10,16637
0,2,16700
686,155462,16735
131,153644,17350
1402,161832,17639
95,161562,18106
1,510,18403
4,52495,19016
664,154984,19151
0,77,19551
903,159615,19653
40,123918,19754
0,0,19782
658,158444,20080
0,0,20130
10,155358,20205
0,69,20495
0,1,20514
0,0,20562
61,158437,20612
0,0,20704
0,0,20751
65,155379,20764
398,153109,20811
735,159327,20912
111,158377,20932
0,32,20940
0,0,21013
0,0,21099
8,54340,21232
0,15,21263
0,220,21320
0,0,21336
0,0,21360
0,71,21385
268,158748,21412
0,0,21473
0,0,21478
9,157385,21700
104,6433,22388
0,0,22548
425,152362,22652
185,154982,23106
205,157852,23367
1215,164062,23673
0,185,23764
0,0,24115
0,49,24441
848,155779,24482
578,158916,24516
0,1,24592
0,0,24753
0,17,24875
0,0,24880
0,0,24953
524,153499,24961
0,0,25061
718,154318,25091
0,0,25139
